case,cores,question,move,proxy_change_pct,official_time_change_pct,added_spill_bytes
case_032,2,2,swap_s136_s63,31.84842322359105,35.98695652173913,0
case_032,2,3,migrate_s136_to1,34.47765530762814,42.03400364007634,0
case_032,2,3,split_s136_cut8_to1,34.61451773644748,44.169219159231154,0
case_032,2,3,swap_s136_s63,32.9720328143966,36.551693523327565,0
case_032,5,1,migrate_s0_to3,0.0,0.061208154809544446,0
case_032,5,1,split_s5_cut14_to3,3.5361030712003583,14.398041339046097,0
case_032,5,1,swap_s0_s3,0.0,0.0,0
case_032,5,2,migrate_s5_to4,-3.4162659817297047,-3.6525229357798117,0
case_032,5,2,split_s5_cut14_to4,-2.9282960605006236,2.7408256880733894,0
case_032,5,2,swap_s5_s8,-13.662681261287869,-8.377293577981648,0
case_032,5,3,migrate_s5_to4,-1.8545023081629308,-3.523369953845157,0
case_032,5,3,split_s5_cut14_to4,-1.9575817126754158,4.810505103035823,0
case_032,5,3,swap_s5_s8,-12.74495263167651,-12.442306442176431,0
case_046,2,1,migrate_s0_to1,45.54240159498213,41.29480217222654,0
case_046,2,1,split_s2_cut124_to1,22.646391187594684,23.176105508145838,0
case_046,2,1,swap_s0_s3,36.50529866193612,41.99301784328937,0
case_046,2,2,migrate_s0_to1,8.495221285310596,27.138767261704277,2541536
case_046,2,2,split_s0_cut15_to1,8.985351133787155,24.8459077130347,2541280
case_046,2,2,swap_s0_s1,25.359322466837675,43.475917817446955,2686528
case_046,2,3,migrate_s0_to1,5.8367750564768395,7.785449646345577,2541536
case_046,2,3,split_s0_cut15_to1,6.326904904953401,8.02458740316605,2541280
case_046,2,3,swap_s0_s1,19.38926576618567,34.387841023913765,2686528
case_046,5,1,migrate_s0_to3,0.0,0.20485806262804385,0
case_046,5,1,split_s0_cut25_to3,0.1711919005982443,7.49845543524208,0
case_046,5,1,swap_s0_s13,0.0,10.343706305075928,0
case_046,5,2,migrate_s16_to3,3.7338792586298686,27.54476737554825,1249728
case_046,5,2,split_s0_cut6_to3,4.797452348616127,34.093713385108295,1291200
case_046,5,2,swap_s0_s19,3.4042724006663416,24.71096917350144,1291200
case_046,5,3,migrate_s16_to3,12.530308397055624,10.248285350955832,1249728
case_046,5,3,split_s0_cut6_to3,13.674839193601663,14.05282578331839,1291200
case_046,5,3,swap_s0_s19,14.978643481573851,-0.2960245158331376,1291200
case_052,2,1,migrate_s2_to1,7.242419945050638,7.631935047361305,0
case_052,2,1,split_s2_cut78_to1,0.5173204437829426,1.0847090663058223,0
case_052,2,1,swap_s0_s1,0.01292224255911023,-0.014073071718534447,0
case_052,2,2,migrate_s28_to1,46.92884305515128,55.54107051678998,0
case_052,2,2,split_s28_cut4_to1,50.77181417841772,59.3477387043857,0
case_052,2,2,swap_s28_s29,53.0345207276961,62.20273984508251,0
