case,cores,status,makespan_cycles,added_copy_bytes,scheduled_copy_bytes,spill_added_copy_bytes,plan_sha256,seconds,error,speedup
case_009,4,ok,66815,1027874,1523206,0,c244027e9f2d083a6e1b257a53d010345af5264a51ca560938d3c33a996b9187,1.62021919999097,,2.293811269924418
case_009,5,ok,61215,1109614,1604946,0,a96e349ac76843a66aacd5a6653d048d77fb763c08705e03ad22669f79754536,1.3342517999990378,,2.503651065915217
case_010,2,ok,45196,206328,590478,0,fcae20eb50abd9d6078bcf90c942e9081e015946cd9b98ac3a19d78062d35306,0.10387970000738278,,1.9242632091335516
case_010,3,ok,34803,341144,725294,0,05ad8ceab4cb3d1e017c6bed13b5a47d80b1faf3f0ad7cdccf3b2b947e2b1264,0.12321469999733381,,2.4988937735252708
case_010,4,ok,25173,365144,749294,0,8a290d3683a0620748678942ff9186aebeaeb49c85cfee77f668f1f63bf04aa0,0.10424179999972694,,3.4548524212449845
case_010,5,ok,23614,418324,802474,0,5a317295f3d49ee4f4f1ff1c34a064e944f6ec7872b1146afac9b1e7f425ab25,0.10977570000977721,,3.6829423223511477
case_011,2,ok,92646,180224,786432,0,dd85bbfff3f3136169313b512d6335441de960542e153517eb9de9743d101fa3,0.09940930000448134,,1.9935777043801135
case_011,3,ok,69625,1081344,1687552,0,369a2215e85791146d26120fe7486f446aae414dc9b18c29029f8b1ed1110fe6,0.12696979999600444,,2.6527396768402154
case_011,4,ok,46880,540672,1146880,0,de8fa7c3d5a69aff0fc399972935ca452d9dd4ee376ec7d1effa8f7ed70c5a90,0.1350170999940019,,3.9397824232081913
case_011,5,ok,47287,1622016,2228224,0,63f3bbe4a51929751b810e7a2f322a220f60fd65f93352358ea0ceeaa8c90511,0.14810720000241417,,3.905872649988369
case_012,2,ok,30094,28800,583698,0,8dab0436206aa0df418e8d884e9e3da31989be16a9379feb81a2ef7736f9f24a,0.12338480001199059,,1.9634478633614674
case_012,3,ok,21894,20160,575058,0,ce4aa888b6ce9a66a32379cf84f4a82383825902c8e5422033887a26082092b1,0.1437478000007104,,2.6988215949575225
case_012,4,ok,17236,39168,594066,0,a85439fbaeae342f5cd6fa62cee36297ba1c49260d2377c295917652ecc5ccc3,0.1440812999935588,,3.42817359016013
case_012,5,ok,14300,49536,604434,0,cd97ba94f38ff80ec19ae0a96478afb5189714ac4630b848af543a58d8aeac72,0.1440945000067586,,4.132027972027972
case_013,2,ok,132198,8192,2535424,0,1e53c296a600aed044668be3fc7f55cdf3f477a31b4e9f9de4c4e1098b54912a,0.3904679999977816,,1.9966187083011846
case_013,3,ok,88351,16384,2543616,0,55efd77e51de13a1a870aa20893a094fe82ccfa4f7d781aac417ade89b306ac9,0.3922404000040842,,2.98750438591527
case_013,4,ok,66982,24576,2551808,0,78ac79ccf69c9fae54d00e8815aa03504db9cadebcf71f6b0c1dbf8212c55870,0.35361310000007506,,3.9405959810098237
case_013,5,ok,54363,32768,2560000,0,5ddfcd4283c7a16c47e466899301f1846a18d1695cde56169bb0025a7f578e3d,0.36003270000219345,,4.855305998565201
case_014,2,ok,8891974,71575992,81508732,61682784,9ff4823827d37c2c2bb523c8110d4d8bffe87c5c60d30685f2d60593a611d3cf,13.491151599999284,,1.990404605321608
case_014,3,ok,5980632,77640360,87573100,59581944,4c33385c792d9451f93daf49329d5ca5d60a48fd3361e8120d00a29868f3a165,13.816330599991488,,2.9593236968935726
case_014,4,ok,4526660,82469784,92402524,52790160,360a11ed7eb4f384bb1c1b66c871a9e5a86bf53a09be5b465a0348ae04a37b2d,13.543130999998539,,3.9098642266041628
case_014,5,ok,3694640,87765000,97697740,55180632,c57638a718f3afb047cce4dbfcc647c47eece03f2613552ce6ebccd8a41b625d,13.65098219999345,,4.790351969339367
case_015,2,ok,92411,224536,1109150,114712,d65a1abbc234a2dee6fd45c3d9bc41a90e2f42fcb66ac01e247af3f6fc597989,0.13073819999408443,,1.9192736795403145
case_015,3,ok,60807,306448,1191062,98320,467868a1f690ebc819a9e083300fe62ac509653bc136026e732dbb19a8f83ce7,0.14776490000076592,,2.916802341835644
case_015,4,ok,53421,263936,1148550,32768,29eee5c1b10d56eaf7a6a323cc9c41a74872bde2e3b22188df3694c761bcfb23,0.14868700000806712,,3.320080118305535
case_015,5,ok,43437,321536,1206150,8192,22ad2e4fe016ef73cf9556ddc712d0323150fb36f78970d7b75faa8b71818672,0.14069410000229254,,4.083200957708866
case_016,2,ok,4772689,119946716,120339934,119936960,f64c0971facfccca15346b66052c21f40b19aa4b43880258e64db7f4c876c143,12.454888799999026,,1.6165987350108084
