version,phase,case,cores,source_sha256,tensor_id,size_bytes,start_event,start_cycle,end_event,end_cycle,evicted
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004229,6144,3814,441896,3986,470598,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004245,6144,3815,441896,3986,470598,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004267,18432,3818,443004,3986,470598,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004283,18432,3819,443004,3987,470598,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004261,6144,3822,443210,3994,471912,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004277,6144,3823,443210,3994,471912,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004299,18432,3826,444318,3994,471912,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004315,18432,3827,444318,3995,471912,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004293,6144,3830,444524,4002,473226,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004309,6144,3831,444524,4002,473226,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004331,18432,3834,445632,4002,473226,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004347,18432,3835,445632,4003,473226,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004325,6144,3838,445838,4010,474540,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004341,6144,3839,445838,4010,474540,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004363,18432,3842,446946,4010,474540,True
