case,question,cores,method,selected,makespan,reference_cycles,raw_speedup_vs_original_singlecore,same_plan_cache_gain,generation_seconds,plan_sha256
case_065,1,4,component_scalar,component_scalar,17300,53068,3.067514450867052,,0.09810600000491831,97e156af9df8ef7a558398f7e2d973d07a20a1bb3a62cd895585db42babcef57
case_065,1,4,trained,component_scalar_coalesced,13541,53068,3.9190606306772025,,0.09504739999829326,468edf106b443659edf5fac26153f5db9b5615126572017d6a8ea24f7791c658
case_080,1,4,component_scalar,component_scalar,123120,292138,2.3727907732293696,,0.11265489998913836,8a72c15554850ef0c17d774745a2bfe67c5179b04b9b64cc784888ecf7d4b851
case_080,1,4,trained,component_affinity_coalesced,97393,292138,2.9995790251866152,,0.1201386999891838,d39267e2311da35a6ec85499824231e33ad8225bc63e71753e08335176c54437
case_002,1,5,component_scalar,component_scalar,261945,261945,1.0,,0.1458931999950437,b6d1897b01a243057b34298838cb1860ed1197f5357eae433b6a79204f53b67b
case_002,1,5,trained,depth_band,66462,261945,3.941274713370046,,0.15791770000942051,c17e6a1c58e4ad6d23b40d60f62142687c5a16d79f3bcd0bf751f633771a91d4
case_005,1,5,component_scalar,component_scalar,95618,95618,1.0,,0.4251351999992039,817de67f7640136b4fd86538641bbb80d53d344cb4c3a7b10571c1d728d5cd2b
case_005,1,5,trained,valley_stage,44239,95618,2.1613960532561767,,0.4158205999992788,d91ead82490c19d082d1ad0bc20946c792363871b8b1ccf7a519e85a5f4b6350
case_012,1,5,component_scalar,component_scalar,18202,59088,3.24623667728821,,0.19348570000147447,b650d02aee835516ff256bf289262837229be51fee83f8c45b9dafcbb0bfa1b4
case_012,1,5,trained,component_affinity_coalesced,13848,59088,4.2668977469670715,,0.17941840000275988,4aa17465ba73561302639c35bfde7f72cdc1efe5b7a34722141a900d0d6f9d10
case_050,1,5,component_scalar,component_scalar,108160,149690,1.3839681952662721,,0.699817400003667,5a1f84d0f47d21a7127b72459dfba2bf4b4717a9e2a13b451768e07b135668a3
case_050,1,5,trained,valley_stage,58695,149690,2.550302410767527,,0.7270755000063218,04981249726083cbc5f65077fc2fde10eac8f7a3a48df3ecf4997637fb89ba56
case_065,1,5,component_scalar,component_scalar,14255,53068,3.722763942476324,,0.09626020000723656,72ce7b61327a2000204a77d6547aebf5f5ee9e3296a3f117c4e2b7fe5a356143
case_065,1,5,trained,component_scalar_coalesced,11396,53068,4.656721656721657,,0.09436489999643527,d434237f712511301698bb55ee08b0a6acc9bd94809503cba469579003c46fea
case_080,1,5,component_scalar,component_scalar,119170,292138,2.45143912058404,,0.1270202000014251,8c6f80bee7f45cb4dfb447432deb2338e807b76a5e382c2fc03468c5f14e8fab
case_080,1,5,trained,component_affinity_coalesced,97335,292138,3.001366414958648,,0.11664189999282826,a64407c16b98ce35a7c55c29c1b1fbe85e9b28b2598ed7623bb792ac69c12fbe
case_002,2,1,component_scalar,component_scalar,261945,261945,1.0,,0.07473510000272654,bdec6b425480ffabf2c343f59ea8219c337056282ac3f5481528e8714ef07349
case_002,2,1,trained,component_scalar,261945,261945,1.0,,0.07320819998858497,bdec6b425480ffabf2c343f59ea8219c337056282ac3f5481528e8714ef07349
case_005,2,1,component_scalar,component_scalar,95618,95618,1.0,,0.18263080000178888,e92aed62cef6d467632ae9ea7255006f98c949f31c43bb4c7f7426a9ee39ec66
case_005,2,1,trained,shared_prefix,96314,95618,0.9927736362314928,,0.1793935000023339,6cefb75cddd0dab25b16235135ec27a9fa0ae6990b30af5665762f3454bbb57e
case_012,2,1,component_scalar,component_scalar,59554,59088,0.9921751687544078,,0.06873080000514165,74d95284e503b59e202fc0b29f22032364123dbe0b409106f8d9c4cb8af53393
case_012,2,1,trained,shared_prefix,55748,59088,1.0599124632273804,,0.06974040000932291,ebbcd857414da884903b74719d336e04f9f41e9a319f80835aef2e9b0f2eb284
case_050,2,1,component_scalar,component_scalar,148740,149690,1.0063869839989243,,0.25087129999883473,543e197d2ba4ceb248ab658bfcfac067acd4a180a59d54516a164b0864c0ee21
case_050,2,1,trained,component_vector_reuse_order,147428,149690,1.0153430827251269,,0.24881440000899602,3608b490836cf117ab69cbca1ac99b4b841db5014c94736ef569ecbd8fa14022
case_065,2,1,component_scalar,component_scalar,52913,53068,1.0029293368359382,,0.039913100001285784,e8aff2b2c3dbf6f5fc7370a9b867ae2929770d0eb8715eef0e0777c699da384c
case_065,2,1,trained,shared_prefix,49394,53068,1.0743815038263758,,0.0470536000066204,a5cc5135c69bdbbc4e4c08e7a54791068fe7b717fb9e8860232384e7e558247d
case_080,2,1,component_scalar,component_scalar,292138,292138,1.0,,0.06578109999827575,6a708fe679f59584f5e17670d30c086aae324550ee72bba83ad3a75a89b0672c
case_080,2,1,trained,component_scalar,292138,292138,1.0,,0.06364510000275914,6a708fe679f59584f5e17670d30c086aae324550ee72bba83ad3a75a89b0672c
case_002,2,2,component_scalar,component_scalar,261945,261945,1.0,,0.11886760000197683,a155afff5de91170662de2acad42ee8e1cfdc0287c5d88cfc887e8e9b2dc32c6
case_002,2,2,trained,depth_band,132196,261945,1.9814896063420981,,0.11739759999909438,0a146fe52fa8ba8678f4106f3b22d27e3376c666b57aa45162eb4ddd03ba76c7
case_005,2,2,component_scalar,component_scalar,95618,95618,1.0,,0.3280044999992242,66cb9876e7e39a0fc2ae3dc9f426b4d78ea0af3bbce8ac266fc644b7b8c58af0
case_005,2,2,trained,valley_stage,48207,95618,1.9834878752048457,,0.341660200007027,28c9653dca7da9477ccbf547021534ca5c09e32b51f6ed45cfd8f8e5dbef232d
case_012,2,2,component_scalar,component_scalar,30249,59088,1.953386888822771,,0.07969460000458639,5e99458fe4631b3123959a6471e5c9760c7656fca90dc8dba3fc107427f57186
case_012,2,2,trained,component_vector_reuse_order,28591,59088,2.0666643349305724,,0.08950679999543354,520704b85e9d7a633b7013bba834f0a7d1aed35fbe9ff03e138b7035ee03fd20
case_050,2,2,component_scalar,component_scalar,108121,149690,1.3844674022622803,,0.4023861999885412,8625d9ce5c470447cff1659bfcfcf4a212b1bd72ca0ace373bad65e355d42b76
case_050,2,2,trained,valley_stage,83954,149690,1.7830002144031256,,0.3703300000051968,f7af5c172ba0f206cf5d4c7099b6a5cea9ce816102d6e6e715fd17d758762dfd
case_065,2,2,component_scalar,component_scalar,27107,53068,1.9577230973549267,,0.053904700005659834,b170319fb6bd0f94a1aec38231b43c0de515137aab4af83fd7b98f48baf8770a
case_065,2,2,trained,shared_prefix,26386,53068,2.0112180701887366,,0.06633750000037253,a02067a72168d153a76f2d444751f31a8e1e99d2a541994ad1007a400aa26d5c
case_080,2,2,component_scalar,component_scalar,145926,292138,2.0019598974822856,,0.08589820000634063,c2d6c312c3326143eeae6b87a406f22b3e6f759f9876a02c3b1bc8885e6ab9dc
case_080,2,2,trained,component_affinity,145825,292138,2.0033464769415397,,0.08574629999930039,5043a5d729c258387a42dc8879f90dc853fd80b09fa825f38d79b965ca62ba71
case_002,2,3,component_scalar,component_scalar,261945,261945,1.0,,0.12309829999867361,9ee016a042d1cbe8fff75c8fd15a44e8768a6ed8eaf878163d0be310697003e9
case_002,2,3,trained,mask_band,89495,261945,2.9269232918040116,,0.13200680000591092,2dfeb432c881414b6da0fb78523e8b9f2ee50334fc05d7f31d781c06dbe12103
case_005,2,3,component_scalar,component_scalar,95618,95618,1.0,,0.33995409999624826,1cd0ce072d765a551e3c75a1d4c4cdcb25f7dcffedc1d36c405ce5cb98f8405b
case_005,2,3,trained,valley_stage,38399,95618,2.490116930128389,,0.33361790000344627,2e0a852e6dc7d86d60201033a5f985dfc39ffb1d03660aef39d93b08c41b5cc2
case_012,2,3,component_scalar,component_scalar,20018,59088,2.951743430912179,,0.09983950000605546,a5af6bf412930aacf15ee2b6c8456dc9f6479763e53b2c37e9bacf750df2b621
case_012,2,3,trained,component_scalar,20018,59088,2.951743430912179,,0.10230859999137465,a5af6bf412930aacf15ee2b6c8456dc9f6479763e53b2c37e9bacf750df2b621
case_050,2,3,component_scalar,component_scalar,108134,149690,1.384300959920099,,0.45724190000328235,f73af26c7d372bf8d9a8a65854356c5c008b5468816081a1930529d1067969a6
case_050,2,3,trained,valley_stage,62141,149690,2.4088765871163966,,0.4864381999941543,a99ff99f87774285c20719cdf7d32d8d6da0813a9ca6cb09f0c1d3f577eef8fc
case_065,2,3,component_scalar,component_scalar,18750,53068,2.8302933333333335,,0.05780189999495633,eb475a35174e4ae5726ca2cb00f0a8f64642fc863a40502609ea2aab4fd34331
case_065,2,3,trained,component_affinity,18893,53068,2.808871010427142,,0.06071439999504946,6569801cb1b8f25f8a9bac0524c02490112114f786498e121bd4c79748a3c005
case_080,2,3,component_scalar,component_scalar,100325,292138,2.9119162721156244,,0.05837469999096356,1b836b8fe381619d67a7b600737256ef25b3b6c8562e591b7f135c0e6e33c54f
case_080,2,3,trained,component_scalar,100325,292138,2.9119162721156244,,0.05913249999866821,1b836b8fe381619d67a7b600737256ef25b3b6c8562e591b7f135c0e6e33c54f
case_002,2,4,component_scalar,component_scalar,261945,261945,1.0,,0.12778640000033192,6f96441e5edd993e52ed45f0512f3d3abad20aebe58a72dbf33c1d3735cfe6f2
case_002,2,4,trained,depth_band,65838,261945,3.9786293629818648,,0.12986950000049546,adf8b817f369fafe86bf73c776cd4550742aafaeea7e019574475346be61c8b9
case_005,2,4,component_scalar,component_scalar,95618,95618,1.0,,0.3349610000004759,f1444fa52f5324a2e3eb0e1b57c9bc56620269d1491e4c453528c1c1ff878e17
case_005,2,4,trained,valley_stage,34470,95618,2.7739483608935305,,0.33690729999216273,76845edad4b20b062ed82a92b54fae5351d64201b505022f0b901c9ab6470cc5
case_012,2,4,component_scalar,component_scalar,15547,59088,3.8006046182543254,,0.1531717000034405,488e94525327923b1bcb2bb9488d1b38841050e03cd21dc9f1532dd4365fc24d
case_012,2,4,trained,component_scalar,15547,59088,3.8006046182543254,,0.14360350000788458,488e94525327923b1bcb2bb9488d1b38841050e03cd21dc9f1532dd4365fc24d
case_050,2,4,component_scalar,component_scalar,108147,149690,1.384134557592906,,0.4658378000021912,8e72296f2c27d9d05b42448c3da2ec688250f675a11d8519aac220974409cfc7
case_050,2,4,trained,valley_stage,50443,149690,2.967507880181591,,0.46268130000680685,20fafbe106c7330fa0fed34c6f91e58b4f7ae18256ec24a5d2bf88da8d10ab2d
case_065,2,4,component_scalar,component_scalar,14582,53068,3.63928130571938,,0.05941880001046229,97e156af9df8ef7a558398f7e2d973d07a20a1bb3a62cd895585db42babcef57
case_065,2,4,trained,component_scalar,14582,53068,3.63928130571938,,0.05633930000476539,97e156af9df8ef7a558398f7e2d973d07a20a1bb3a62cd895585db42babcef57
case_080,2,4,component_scalar,component_scalar,111314,292138,2.6244497547478303,,0.09138749999692664,8a72c15554850ef0c17d774745a2bfe67c5179b04b9b64cc784888ecf7d4b851
case_080,2,4,trained,component_affinity,97393,292138,2.9995790251866152,,0.09957330000179354,9122271cf56981a7f3561bafd52520cff16c4504ad533a35713006cf02500619
case_002,2,5,component_scalar,component_scalar,261945,261945,1.0,,0.123766999997315,b6d1897b01a243057b34298838cb1860ed1197f5357eae433b6a79204f53b67b
