case,cores,singlecore_cycles,baseline_cycles,makespan_cycles,speedup,reduction_percent,added_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,evaluations,bound_pruned,invalid_candidates,wall_seconds,stop_reason,selected
case_017,4,162810,42384,42150,3.8626334519572953,0.5520951302378285,259264,0,86016,49164,24,21,0,10.505374700001994,evaluation_budget,eft_placement
case_017,5,162810,35496,35470,4.590076120665351,0.07324768988055119,340992,0,86016,49164,24,36,0,10.847685299999284,evaluation_budget,eft_placement
case_018,2,1004367,502105,500869,2.00524887745099,0.24616365102916316,3195912,1896448,524288,65536,24,13,0,21.461685999998735,evaluation_budget,chain_s1_r2960_d15_c0
case_018,3,1004367,338272,338158,2.97011160463452,0.03370069056853886,3748232,1273856,524288,65536,24,20,0,22.658257299997786,evaluation_budget,chain_s2_r2410_d15_c0
case_018,4,1004367,258133,257641,3.8983197550079374,0.19059941967900507,4919040,1204224,524288,131072,24,28,0,26.052093800000875,evaluation_budget,data_w16_k4
case_018,5,1004367,203865,201684,4.979904206580591,1.0698256198955147,5115980,466944,524288,98304,24,68,0,31.991991099999723,evaluation_budget,chain_s0_r4110_d13_c1
case_019,2,81144,43224,37639,2.1558489864236563,12.921062372755877,712280,0,102944,97408,24,5,0,3.1990971000013815,evaluation_budget,split_s4_d5_c0
case_019,3,81144,29121,29109,2.787591466556735,0.041207376120322436,24576,0,36864,55426,24,13,0,2.8195749999977124,evaluation_budget,split_s2_d16_c2
case_019,4,81144,24099,22371,3.6271959232935496,7.170422009211997,62500,0,36864,18432,24,18,0,2.8894430000000284,evaluation_budget,chain_s0_r698_d60_c2
case_019,5,81144,24169,17830,4.550981491867639,26.227812487070214,60004,0,36864,19968,24,32,0,5.348123700001452,evaluation_budget,move_s5_c1
case_020,2,532746,266580,266580,1.9984469952734638,0.0,0,0,0,32768,7,20,0,22.14239810000072,no_new_candidate,base_w0_k2
case_020,3,532746,177950,177950,2.993796010115201,0.0,0,0,0,32768,14,30,0,29.932431199998973,no_new_candidate,base_w0_k3
case_020,4,532746,133704,133704,3.984518039849219,0.0,0,0,0,32768,14,33,0,30.445552099998167,no_new_candidate,base_w0_k4
case_020,5,532746,107650,107650,4.948871342313051,0.0,0,0,0,32768,24,22,0,45.179040899998654,evaluation_budget,base_w0_k5
case_021,2,6567937,3194570,3194570,2.0559690349561914,0.0,3174400,1638400,524288,0,23,7,0,28.05641210000249,no_new_candidate,base_w0_k2
case_021,3,6567937,2144024,2131778,3.0809666860245297,0.5711689794517194,8171520,3362816,524288,0,24,27,0,41.99352100000033,evaluation_budget,chain_s0_r451_d6_c2
