case,variant,cores,status,makespan_cycles,original_copy_bytes,scheduled_copy_bytes,added_copy_bytes,cache_hit_rate,cache_hit_bytes,wall_seconds,error
case_008,q2,1,ok,487605,2654424,2654424,0,,,0.149,
case_008,q2,2,ok,244266,2654424,2654424,0,,,0.136,
case_008,q2,3,ok,163359,2654424,2654424,0,,,0.137,
case_008,q2,4,ok,123060,2654424,2654424,0,,,0.137,
case_008,q2,5,ok,100603,2654424,2654424,0,,,0.13,
case_008,q3,1,ok,487605,2654424,2654424,0,0.0,0,0.167,
case_008,q3,2,ok,244266,2654424,2654424,0,0.0,0,0.175,
case_008,q3,3,ok,163359,2654424,2654424,0,0.0,0,0.152,
case_008,q3,4,ok,123060,2654424,2654424,0,0.0,0,0.153,
case_008,q3,5,ok,100603,2654424,2654424,0,0.0,0,0.148,
case_008,singlecore,1,ok,487605,2654424,2654424,0,,,0.324,
case_009,q1,2,ok,92198,495332,495332,0,,,4.701,
case_009,q1,3,ok,92207,495332,519908,24576,,,4.556,
case_009,q1,4,ok,92216,495332,544484,49152,,,4.381,
case_009,q1,5,ok,92225,495332,544484,49152,,,4.203,
case_009,q2,1,ok,153261,495332,495332,0,,,1.138,
case_009,q2,2,ok,92198,495332,495332,0,,,0.937,
case_009,q2,3,ok,92207,495332,519908,24576,,,0.978,
case_009,q2,4,ok,92216,495332,544484,49152,,,1.017,
case_009,q2,5,ok,92225,495332,544484,49152,,,1.051,
case_009,q3,1,ok,153261,495332,495332,0,0.0,0,1.224,
case_009,q3,2,ok,92198,495332,495332,0,0.0,0,1.057,
case_009,q3,3,ok,92207,495332,519908,24576,0.04728245185370452,24576,1.105,
case_009,q3,4,ok,92216,495332,544484,49152,0.09029551057599394,49152,1.057,
case_009,q3,5,ok,92225,495332,544484,49152,0.04514775528799697,24576,1.081,
case_009,singlecore,1,ok,153261,495332,495332,0,,,5.027,
case_010,q1,2,ok,45272,384150,432534,48384,,,0.129,
case_010,q1,3,ok,30856,384150,432534,48384,,,0.138,
case_010,q1,4,ok,29856,384150,480918,96768,,,0.131,
case_010,q1,5,ok,31015,384150,529302,145152,,,0.149,
case_010,q2,1,ok,86969,384150,384150,0,,,0.104,
case_010,q2,2,ok,45272,384150,432534,48384,,,0.075,
case_010,q2,3,ok,30856,384150,432534,48384,,,0.085,
case_010,q2,4,ok,29856,384150,480918,96768,,,0.08,
case_010,q2,5,ok,31015,384150,529302,145152,,,0.083,
case_010,q3,1,ok,86969,384150,384150,0,0.0,0,0.083,
case_010,q3,2,ok,45272,384150,432534,48384,0.11188035018105637,48384,0.086,
case_010,q3,3,ok,30856,384150,432534,48384,0.11188035018105637,48384,0.098,
case_010,q3,4,ok,29856,384150,480918,96768,0.12218464955515904,58752,0.089,
case_010,q3,5,ok,30689,384150,529302,145152,0.14366532509494925,76032,0.083,
case_010,singlecore,1,ok,86969,384150,384150,0,,,0.13,
case_011,q1,2,ok,92646,606208,786432,180224,,,0.142,
case_011,q1,3,ok,69625,606208,1687552,1081344,,,0.189,
case_011,q1,4,ok,46880,606208,1146880,540672,,,0.137,
case_011,q1,5,ok,47287,606208,2228224,1622016,,,0.182,
case_011,q2,1,ok,184697,606208,606208,0,,,0.092,
case_011,q2,2,ok,92646,606208,786432,180224,,,0.091,
case_011,q2,3,ok,69625,606208,1687552,1081344,,,0.122,
case_011,q2,4,ok,46880,606208,1146880,540672,,,0.107,
case_011,q2,5,ok,47287,606208,2228224,1622016,,,0.137,
case_011,q3,1,ok,184697,606208,606208,0,0.0,0,0.127,
case_011,q3,2,ok,92646,606208,786432,180224,0.0,0,0.103,
case_011,q3,3,ok,69625,606208,1687552,1081344,0.5669191919191919,919552,0.133,
case_011,q3,4,ok,46880,606208,1146880,540672,0.0,0,0.118,
case_011,q3,5,ok,46777,606208,2228224,1622016,0.6231060606060606,1347584,0.146,
case_011,singlecore,1,ok,184697,606208,606208,0,,,0.152,
case_012,q1,2,ok,30094,554898,583698,28800,,,0.271,
case_012,q1,3,ok,21894,554898,575058,20160,,,0.269,
case_012,q1,4,ok,17236,554898,594066,39168,,,0.269,
case_012,q1,5,ok,14300,554898,604434,49536,,,0.285,
case_012,q2,1,ok,59088,554898,554898,0,,,0.138,
case_012,q2,2,ok,30094,554898,583698,28800,,,0.131,
case_012,q2,3,ok,21894,554898,575058,20160,,,0.13,
case_012,q2,4,ok,17236,554898,594066,39168,,,0.128,
case_012,q2,5,ok,14300,554898,604434,49536,,,0.132,
case_012,q3,1,ok,59088,554898,554898,0,0.0,0,0.159,
case_012,q3,2,ok,30094,554898,583698,28800,0.0561517344646868,28800,0.137,
case_012,q3,3,ok,21894,554898,575058,20160,0.03997969285442315,20160,0.175,
case_012,q3,4,ok,17236,554898,594066,39168,0.074853228962818,39168,0.162,
case_012,q3,5,ok,14300,554898,604434,49536,0.07483809066922524,39936,0.167,
case_012,singlecore,1,ok,59088,554898,554898,0,,,0.263,
case_013,q1,2,ok,132198,2527232,2535424,8192,,,0.873,
case_013,q1,3,ok,88351,2527232,2543616,16384,,,0.62,
case_013,q1,4,ok,66982,2527232,2551808,24576,,,0.575,
case_013,q1,5,ok,54363,2527232,2560000,32768,,,0.538,
case_013,q2,1,ok,263949,2527232,2527232,0,,,0.411,
case_013,q2,2,ok,132198,2527232,2535424,8192,,,0.35,
case_013,q2,3,ok,88351,2527232,2543616,16384,,,0.322,
case_013,q2,4,ok,66982,2527232,2551808,24576,,,0.31,
case_013,q2,5,ok,54363,2527232,2560000,32768,,,0.298,
case_013,q3,1,ok,263949,2527232,2527232,0,0.0,0,0.413,
case_013,q3,2,ok,132198,2527232,2535424,8192,0.0,0,0.369,
case_013,q3,3,ok,88351,2527232,2543616,16384,0.0,0,0.383,
case_013,q3,4,ok,66982,2527232,2551808,24576,0.0,0,0.361,
case_013,q3,5,ok,54363,2527232,2560000,32768,0.0,0,0.348,
case_013,singlecore,1,ok,263949,2527232,2527232,0,,,1.452,
case_014,q1,2,ok,8891974,9932740,81508732,71575992,,,1427.915,
case_014,q1,3,ok,5980632,9932740,87573100,77640360,,,1242.386,
case_014,q1,4,ok,4526660,9932740,92402524,82469784,,,854.698,
case_014,q1,5,ok,3694640,9932740,97697740,87765000,,,708.443,
case_014,q2,1,ok,17698626,9932740,80943460,71010720,,,15.219,
case_014,q2,2,ok,8891974,9932740,81508732,71575992,,,13.007,
case_014,q2,3,ok,5980632,9932740,87573100,77640360,,,12.316,
case_014,q2,4,ok,4526660,9932740,92402524,82469784,,,12.279,
case_014,q2,5,ok,3694640,9932740,97697740,87765000,,,12.435,
case_014,q3,1,ok,17689602,9932740,80943460,71010720,0.12291025483195864,9944064,14.591,
case_014,q3,2,ok,8884664,9932740,81508732,71575992,0.22691011563570776,18490368,13.971,
case_014,q3,3,ok,5942997,9932740,87573100,77640360,0.2837705592105263,24844680,14.281,
case_014,q3,4,ok,4502666,9932740,92402524,82469784,0.2783250450869863,25712064,13.254,
case_014,q3,5,ok,3683390,9932740,97697740,87765000,0.26148123031259063,25540608,13.025,
case_014,singlecore,1,ok,17698626,9932740,80943460,71010720,,,628.324,
case_015,q1,2,ok,92411,884614,1109150,224536,,,0.285,
case_015,q1,3,ok,60807,884614,1191062,306448,,,0.285,
case_015,q1,4,ok,53421,884614,1148550,263936,,,0.278,
case_015,q1,5,ok,43437,884614,1206150,321536,,,0.308,
case_015,q2,1,ok,177362,884614,1064870,180256,,,0.156,
case_015,q2,2,ok,92411,884614,1109150,224536,,,0.133,
case_015,q2,3,ok,60807,884614,1191062,306448,,,0.131,
case_015,q2,4,ok,53421,884614,1148550,263936,,,0.138,
case_015,q2,5,ok,43437,884614,1206150,321536,,,0.138,
case_015,q3,1,ok,177362,884614,1064870,180256,0.1692685978123867,180224,0.16,
case_015,q3,2,ok,92411,884614,1109150,224536,0.20244435106753256,224512,0.14,
case_015,q3,3,ok,60807,884614,1191062,306448,0.25730652385294756,306432,0.147,
case_015,q3,4,ok,53395,884614,1148550,263936,0.2012925607226637,231168,0.139,
case_015,q3,5,ok,43437,884614,1206150,321536,0.266609619425249,321536,0.141,
case_015,singlecore,1,ok,177362,884614,1064870,180256,,,0.31,
case_016,q1,2,ok,7715523,393218,393218,0,,,54.122,
case_016,q1,3,ok,7715523,393218,393218,0,,,55.715,
case_016,q1,4,ok,7715523,393218,393218,0,,,107.65,
case_016,q1,5,ok,7715523,393218,393218,0,,,97.546,
case_016,q2,1,ok,7715523,393218,393218,0,,,12.005,
case_016,q2,2,ok,7715523,393218,393218,0,,,12.144,
case_016,q2,3,ok,7715523,393218,393218,0,,,11.914,
case_016,q2,4,ok,7715523,393218,393218,0,,,11.999,
case_016,q2,5,ok,7715523,393218,393218,0,,,12.126,
case_016,q3,1,ok,7715523,393218,393218,0,0.0,0,10.987,
case_016,q3,2,ok,7715523,393218,393218,0,0.0,0,11.194,
case_016,q3,3,ok,7715523,393218,393218,0,0.0,0,11.107,
case_016,q3,4,ok,7715523,393218,393218,0,0.0,0,11.101,
case_016,q3,5,ok,7715523,393218,393218,0,0.0,0,9.432,
case_016,singlecore,1,ok,7715523,393218,393218,0,,,52.652,
case_017,q1,2,ok,87680,643862,731414,87552,,,0.475,
case_017,q1,3,ok,58579,643862,818966,175104,,,0.463,
case_017,q1,4,ok,42384,643862,903062,259200,,,0.469,
case_017,q1,5,ok,35496,643862,984854,340992,,,0.475,
case_017,q2,1,ok,162810,643862,666390,22528,,,0.215,
case_017,q2,2,ok,87680,643862,731414,87552,,,0.187,
case_017,q2,3,ok,58579,643862,818966,175104,,,0.196,
case_017,q2,4,ok,42384,643862,903062,259200,,,0.19,
case_017,q2,5,ok,35496,643862,984854,340992,,,0.206,
case_017,q3,1,ok,162810,643862,666390,22528,0.040398388942088706,22528,0.208,
case_017,q3,2,ok,87680,643862,731414,87552,0.14060738432877767,87552,0.192,
case_017,q3,3,ok,58579,643862,818966,175104,0.1362503555226394,96768,0.202,
case_017,q3,4,ok,42384,643862,903062,259200,0.12327556469826946,97920,0.209,
case_017,q3,5,ok,35496,643862,984854,340992,0.3024277773338964,264960,0.263,
case_017,singlecore,1,ok,162810,643862,666390,22528,,,0.481,
case_018,q1,2,ok,502105,1592848,4784656,3191808,,,2.169,
case_018,q1,3,ok,338272,1592848,5459856,3867008,,,2.149,
case_018,q1,4,ok,258133,1592848,6446352,4853504,,,1.922,
case_018,q1,5,ok,203865,1592848,7286288,5693440,,,2.04,
case_018,q2,1,ok,1004367,1592848,3563024,1970176,,,0.566,
case_018,q2,2,ok,502105,1592848,4784656,3191808,,,0.522,
case_018,q2,3,ok,338272,1592848,5459856,3867008,,,0.529,
case_018,q2,4,ok,258133,1592848,6446352,4853504,,,0.553,
case_018,q2,5,ok,203865,1592848,7286288,5693440,,,0.631,
case_018,q3,1,ok,1003110,1592848,3563024,1970176,0.34375031576536474,1224704,0.593,
case_018,q3,2,ok,501620,1592848,4784656,3191808,0.483919000151325,2315264,0.575,
case_018,q3,3,ok,338089,1592848,5459856,3867008,0.5319887669508631,2904448,0.548,
case_018,q3,4,ok,257482,1592848,6446352,4853504,0.6677898264066645,4304640,0.552,
case_018,q3,5,ok,202515,1592848,7286288,5693440,0.5661064534954261,4124672,0.683,
case_018,singlecore,1,ok,1004367,1592848,3563024,1970176,,,2.014,
case_019,q1,2,ok,43224,186984,214152,27168,,,0.143,
case_019,q1,3,ok,29121,186984,211560,24576,,,0.137,
case_019,q1,4,ok,24099,186984,238728,51744,,,0.135,
case_019,q1,5,ok,24169,186984,260712,73728,,,0.132,
case_019,q2,1,ok,81144,186984,186984,0,,,0.085,
case_019,q2,2,ok,43224,186984,214152,27168,,,0.082,
