case,cores,strategy,status,makespan_cycles,added_copy_bytes,spill_added_copy_bytes,source_strategy,wall_seconds,error
case_038,3,band_w8_k3_trimmed,ok,456366,6225452,2047488,band_w8_k3,1.304,
case_038,4,band_w8_k4_trimmed,ok,344336,7129036,1728584,band_w8_k4,1.286,
case_039,2,band_w8_k2_trimmed,ok,708561,11067392,6864896,band_w8_k2,1.364,
case_039,3,band_w8_k3_trimmed,ok,485565,14323712,5918720,band_w8_k3,1.305,
case_039,4,band_w8_k4_trimmed,ok,395323,17604608,4997120,band_w8_k4,1.299,
case_040,2,band_w4_k2_trimmed,ok,153121,1911970,125374,band_w4_k2,0.591,
case_040,3,band_w4_k3_trimmed,ok,119898,2557586,0,band_w4_k3,0.635,
case_040,4,band_w4_k4_trimmed,ok,108776,3337500,0,band_w4_k4,0.692,
case_041,2,band_w12_k2_trimmed,ok,3015864,31085612,26273792,band_w12_k2,5.519,
case_041,3,band_w12_k3_trimmed,ok,1998921,34673708,24876032,band_w12_k3,5.624,
case_041,4,band_w12_k4_trimmed,ok,1500477,34744364,21029888,band_w12_k4,4.983,
case_042,2,band_w12_k2_trimmed,ok,899027,11416864,5921792,band_w12_k2,1.357,
case_042,3,band_w12_k3_trimmed,ok,626652,16099920,5279744,band_w12_k3,1.494,
case_042,4,band_w12_k4_trimmed,ok,471958,11996016,1718272,band_w12_k4,1.343,
case_043,2,band_w12_k2_trimmed,ok,376861,3147758,332020,band_w12_k2,2.486,
case_043,3,band_w12_k3_trimmed,ok,282541,4146012,162502,band_w12_k3,2.397,
case_043,4,band_w12_k4_trimmed,ok,247447,5121748,178566,band_w12_k4,2.414,
case_044,2,band_w2_k2_trimmed,ok,43931,930400,0,band_w2_k2,0.182,
case_044,3,band_w2_k2_trimmed,ok,43931,930400,0,band_w2_k2,0.231,
case_044,4,band_w2_k2_trimmed,ok,43931,930400,0,band_w2_k2,0.197,
case_045,2,band_w12_k2_trimmed,ok,66863,1654784,1163264,band_w12_k2,0.224,
case_045,3,band_w12_k3_trimmed,ok,57223,2072576,1130496,band_w12_k3,0.246,
case_045,4,band_w12_k4_trimmed,ok,51681,2174976,1007616,band_w12_k4,0.243,
case_046,2,band_w4_k2_trimmed,ok,112408,930400,0,band_w4_k2,0.135,
case_046,3,band_w4_k3_trimmed,ok,84364,1860800,0,band_w4_k3,0.121,
case_046,4,band_w8_k4_trimmed,ok,79814,2791200,0,band_w8_k4,0.121,
case_047,2,band_w4_k2_trimmed,ok,192692,864806,0,band_w4_k2,4.538,
case_047,3,band_w4_k3_trimmed,ok,153692,1387916,0,band_w4_k3,4.256,
case_047,4,band_w4_k4_trimmed,ok,129978,2133042,0,band_w4_k4,4.487,
case_048,2,band_w1_k2_trimmed,ok,143119,527974,0,band_w1_k2,0.365,
case_048,3,band_w1_k3_trimmed,ok,117651,1063276,0,band_w1_k3,0.392,
case_048,4,band_w1_k4_trimmed,ok,111772,889616,0,band_w1_k4,0.452,
case_049,2,band_w4_k2_trimmed,ok,118841,977242,0,band_w4_k2,0.925,
case_049,3,band_w4_k3_trimmed,ok,100334,1503824,0,band_w4_k3,0.931,
case_049,4,band_w4_k4_trimmed,ok,86256,1742718,0,band_w4_k4,0.983,
case_050,2,band_w4_k2_trimmed,ok,85848,1047684,0,band_w4_k2,1.043,
case_050,3,band_w8_k3_trimmed,ok,69576,1216664,0,band_w8_k3,0.885,
case_050,4,band_w12_k4_trimmed,ok,61684,977118,0,band_w12_k4,0.863,
case_051,2,band_w4_k2_trimmed,ok,327449,668,0,band_w4_k2,0.21,
case_051,3,band_w4_k3_trimmed,ok,227413,952,0,band_w4_k3,0.228,
case_051,4,band_w4_k4_trimmed,ok,178135,1140,0,band_w4_k4,0.232,
case_052,2,band_w4_k2_trimmed,ok,86318,485988,8192,band_w4_k2,0.199,
case_052,3,band_w4_k3_trimmed,ok,63670,791708,0,band_w4_k3,0.212,
case_052,4,band_w4_k4_trimmed,ok,48635,917940,0,band_w4_k4,0.201,
case_053,2,band_w8_k2_trimmed,ok,731721,3251338,0,band_w8_k2,3.54,
case_053,3,band_w8_k3_trimmed,ok,518285,5687408,0,band_w8_k3,3.364,
case_053,4,band_w12_k4_trimmed,ok,437275,7017212,0,band_w12_k4,3.554,
case_054,2,band_w4_k2_trimmed,ok,456868,1952892,0,band_w4_k2,5.472,
case_054,3,band_w4_k3_trimmed,ok,343288,4102098,0,band_w4_k3,5.967,
case_054,4,band_w4_k4_trimmed,ok,288601,4469316,0,band_w4_k4,5.375,
case_055,2,band_w8_k2_trimmed,ok,60919,407128,106500,band_w8_k2,0.175,
case_055,3,band_w12_k3_trimmed,ok,42897,473160,0,band_w12_k3,0.164,
case_055,4,band_w8_k4_trimmed,ok,30952,514712,0,band_w8_k4,0.173,
case_056,2,band_w12_k2_trimmed,ok,170279,822250,0,band_w12_k2,1.681,
case_056,3,band_w12_k3_trimmed,ok,135029,1231268,0,band_w12_k3,1.606,
case_056,4,band_w12_k4_trimmed,ok,121190,1507078,0,band_w12_k4,1.557,
case_057,2,band_w8_k2_trimmed,ok,32922,280404,0,band_w8_k2,0.129,
case_057,3,band_w8_k3_trimmed,ok,22930,243556,0,band_w8_k3,0.119,
case_057,4,band_w12_k4_trimmed,ok,19820,392992,0,band_w12_k4,0.12,
case_058,2,band_w8_k2_trimmed,ok,2271316,33431552,26808320,band_w8_k2,6.672,
case_058,3,band_w8_k3_trimmed,ok,1554831,30400512,21209088,band_w8_k3,5.332,
case_058,4,band_w8_k4_trimmed,ok,1154519,42622976,22753280,band_w8_k4,5.545,
case_059,2,band_w12_k2_trimmed,ok,412106,4915200,2097152,band_w12_k2,0.596,
case_059,3,band_w12_k3_trimmed,ok,284114,7094272,1261568,band_w12_k3,0.704,
case_059,4,band_w12_k4_trimmed,ok,214722,4685824,0,band_w12_k4,0.546,
case_060,2,band_w8_k2_trimmed,ok,456993,4968856,2470012,band_w8_k2,1.086,
case_060,3,band_w8_k3_trimmed,ok,310619,5723688,1242172,band_w8_k3,1.112,
