case,cores,status,no_l2_cycles,l2_cycles,no_l2_added_bytes,l2_added_bytes,cache_hit_rate,hit_bytes,miss_bytes,cache_gain,seconds,plan_sha256,error,l2_speedup,no_l2_speedup,q2_cycles,vs_q2_gain
case_083,5,ok,197034,196519,3721600,3721600,0.1894710751348566,929536,3976416,1.0026206117474645,1.2154821999997694,7bc8dee7e3372db6b1ac1ef6a582f78d0e8848584634df682eb17e36318e880a,,5.38366773696182,5.369596110315986,197034.0,1.0026206117474645
case_084,5,ok,503472,503472,0,0,0.0,0,9927786,1.0,5.403511299999991,e5241435953f836de116f12591ccaffa93947087d478d5890d129422838cefd6,,4.98024120507198,4.98024120507198,503472.0,1.0
case_085,5,ok,746292,744845,10855448,10855448,0.5254370581022013,4350870,3929608,1.001942686062201,12.627510300000267,a8e93b023e6d97f3119b454dabb3f879196b59721c4a090de056f54691f17e96,,4.27994951969873,4.271651042755383,746292.0,1.001942686062201
case_086,5,ok,40905,36951,1898328,1898328,0.5382102091908176,837144,718278,1.1070065762766907,2.0631836999996267,47d94f9ff8923d4e71b6da05d8e8cae904691f3a6d32d70d03e8a010bc7bfe24,,3.2043246461530135,2.894585014056961,42073.0,1.1386160049795675
case_087,5,ok,885740,852871,25908378,25908378,0.5069576856598562,14296226,13903812,1.0385392398146964,21.55477800000017,8588e627d5dd658cbd83f985e37e2c6a8d20a5ad53477a146153b6321d973cd6,,4.659639030990618,4.486724095106916,888504.0,1.0417800581799592
case_088,5,ok,86863,75845,2220472,2220472,0.35416680662765676,1265234,2307190,1.145269958467928,1.3778035000000273,828c99e849863ab9b9450f1a1659785d6c94d1bbb380ca6b3620e17fa424c455,,3.2121168171929595,2.804680934344888,86863.0,1.145269958467928
case_089,5,ok,133604,133604,954880,954880,0.0,0,1357440,1.0,1.559195599999839,3ac28abd0f96c8b48e87415b16b93aa3063c90b3527b48ca226a3cc17c670a89,,5.187659052124188,5.187659052124188,147432.0,1.1034998952127182
case_090,5,ok,261420,203403,8593920,8593920,0.49140371808112826,5298480,5483856,1.2852317812421645,0.4595377999999073,8f8301a591902ceb531a0670b0aeacda8e98e8592f7df637b2067b8425fbf5d6,,5.7932429708509705,4.507547241986076,285660.0,1.404404064836802
case_091,5,ok,1855564,1850709,32660992,32660992,0.1412748510893986,5537504,33659168,1.00262331895506,20.84475680000014,ca75aa66d8a086979d8f6019180746f6178c31497c296c300f03ef7825993b2b,,4.963918692782063,4.9509308221112285,1876536.0,1.0139551923073806
case_092,5,ok,827524,827834,4688256,4688256,0.20151297305810567,1269248,5029344,0.9996255287895882,9.636927900000046,3a1d8ae97abee815d8117edff0d646c0ddddd7aa61ccab43ad73899756fe0bd0,,5.817052694139163,5.819231828925807,819820.0,0.990319315225033
case_093,5,ok,15876,15876,32768,32768,0.0,0,606208,1.0,0.20418689999996786,a0bde29809f8f463ad68862406fa965287c6b7e4d413bbf70e267a6ea6ebf8e3,,4.674036281179139,4.674036281179139,15876.0,1.0
case_094,5,ok,25114,25114,259200,259200,0.25388759910639974,185472,545056,1.0,0.18552340000042022,d35e5c67697f3945cbc8a946c6a61fb2908b420ab79e8ca86701c92e6f65f66e,,3.778450266783467,3.778450266783467,25530.0,1.016564466034881
case_095,5,ok,420852,420852,0,0,0.0,0,8516508,1.0,1.7983064000000013,993712f1560f0b0adcdfa951880c40e592b8479aae5c12dec518432c1d53c609,,4.953886401870491,4.953886401870491,420852.0,1.0
case_096,5,ok,27053,27053,134784,134784,0.07011279720847197,24192,320852,1.0,0.2992265999996562,0021270dff33825143fca4bb712e51f6e8ac0ebefb0a792f84b0b59be6804202,,3.112187188112224,3.112187188112224,27053.0,1.0
case_097,5,ok,2127942,2121402,19083264,19083264,0.2685558869977189,6268928,17074176,1.0030828668965146,3.9816046999999344,556e60ea7c3c4e26324df15d75a53204c95f883a90fb728ff5bc8b7af69aecda,,5.416940777844086,5.400292395187463,2102348.0,0.9910182039990535
case_098,5,ok,73115,69585,3111352,3111352,0.11828302708405844,303140,2259696,1.0507293238485307,0.824571399999968,f5164df52567f3d45d11da436e9493644d8d9d964c187567b8b1c43a577788b9,,2.5498311417690593,2.4267250222252614,70962.0,1.0197887475749083
case_099,5,ok,328708,328634,7618560,7618560,0.48697581763623066,4943872,5208320,1.0002251745102455,2.8986918999999034,e5169f8f919c77bdd75816d4976b8559bf6757fb9df6b8730f9f49aafd0ca2fe,,4.938621688565395,4.937509887194714,337221.0,1.0261293718848323
case_100,5,ok,47926,40766,1863742,1863742,0.3831375797115551,645760,1039692,1.17563655987833,0.8548801999995703,39fbe1a0a965dec08ab62a38e04931d3d2ad21bb316552f1f311e0d812ba3f25,,3.709537359564343,3.1553436548011518,58085.0,1.4248393268900554
