case,cores,status,no_l2_cycles,l2_cycles,no_l2_added_bytes,l2_added_bytes,cache_hit_rate,hit_bytes,miss_bytes,cache_gain,seconds,plan_sha256,error,l2_speedup,no_l2_speedup,q2_cycles,vs_q2_gain
case_042,5,ok,363216,362801,5065728,5065728,0.5131080819174365,3812352,3617568,1.0011438777732145,1.8786712999999509,cf4a3ba93316a53d9030fe4c0b7d10e7255e4ec303be250f76ae64838e058eb3,,4.6492154101008545,4.64390335227523,362266.0,0.9985253623887476
case_043,5,ok,215152,212411,6231888,6231888,0.4813540053388337,2736924,2948962,1.012904228123779,5.24662649999982,dad670f9d1b79073f1ab229d2d57514ca6decd26720c86af840762fc063602bf,,3.1903055868104757,3.1496616345653305,269612.0,1.2692939631186708
case_044,5,ok,83237,83141,3721600,3721600,0.000424427878065978,1984,4672544,1.0011546649667433,0.387242299999798,037635b4b1ba83a6ec558b22468b0f1c19e0f4ca324d7def8141fb9e0a5033c8,,1.8571703491658749,1.855028412845249,83237.0,1.0011546649667433
case_045,5,ok,26164,26164,0,0,0.0,0,278528,1.0,0.35368749999997817,16c8ee2138dbbf5b3f98a086cfe11187e5ed434b81052b1a0fe1d3026ab8eda2,,4.801024308209754,4.801024308209754,26164.0,1.0
case_046,5,ok,95335,94751,3721600,3721600,0.00813984249404774,38400,4679136,1.0061635233401232,0.2810601000001043,a16b928e56cd55900a92b9729703ca028450b3086baf8d9761a8d74c9692dc05,,2.9177000770440418,2.8998269261026905,95335.0,1.0061635233401232
case_047,5,ok,94714,90802,2392856,2392856,0.5558310854860439,1103248,881614,1.0430827514812449,7.341073099999903,ad2735f7a4f027a0586e02e7a97b359da58cdc045f3a3ef3dd8ed5cbb1a7140f,,3.595823880531266,3.4473045167557066,94756.0,1.043545296359111
case_048,5,ok,111467,110747,1462006,1462006,0.2584913533921055,314676,902680,1.00650130477575,1.0083444000001691,80c5a6cd67f579ab3330565d6d1c7ac9a61d8cf16e45339eb070d8075b053401,,2.006555482315548,1.9935945167628086,127339.0,1.1498189567211754
case_049,5,ok,85570,85357,1871276,1871276,0.1493050687122074,168248,958626,1.0024954016659442,1.9585575999999492,aa4729783100c7230eec1ff1353af20e724622d393f72e365b023fb6e44adb55,,2.2994716309148635,2.2937478088114993,97747.0,1.145155054652811
case_050,5,ok,47714,46479,1526304,1526304,0.3971961537446213,481478,730714,1.0265711396544677,2.3549808999996458,171dcea75e81965a859a03b2a0d053096cf2114c91ceb58ef8802b18529ccce9,,3.220594246864175,3.1372343546967345,47714.0,1.0265711396544677
case_051,5,ok,179133,179133,1232,1232,0.0003504032176156331,138,393694,1.0,0.5783352000003106,dbd02c5cb1ba1d5ec44d504748df02af50e0b78c00b24d62dcbd94c88dfcdefd,,3.392049482786533,3.392049482786533,191961.0,1.0716115958533603
case_052,5,ok,40532,40125,884484,884484,0.14995326534803693,214656,1216830,1.0101433021806854,0.4712411999998949,0994b2d5c2187eb89662c17a59dc53c7e653f1ab4af8265a31c489219134ffa2,,4.493482866043614,4.448361788216718,51670.0,1.2877258566978194
case_053,5,ok,368746,351878,12803730,12803730,0.25416871472482877,3039472,8919010,1.0479370690978123,9.662719800000104,82cfbc09922f3964eb15cebd5e950b793ca5ba6496ddce45bb90338272091378,,4.185217603828599,3.993768067992602,520446.0,1.4790523988427808
case_054,5,ok,202096,198945,2922392,2922392,0.3446998185438639,1186130,2254922,1.0158385483425068,8.454496199999994,eaa8bdb25df6d25770158c8bc8f1050870ad4bb99c310c745ad9dca3c0fb2d69,,4.0968659679811,4.032989272424986,202096.0,1.0158385483425068
case_055,5,ok,26322,26322,198656,198656,0.22421598645232355,184832,639516,1.0,0.3315426999997726,21a11a5c22ad33a895d0410f7df20873c0ad33175dc0cf5f4815fdd5cae1ec20,,4.5146645391687565,4.5146645391687565,26781.0,1.0174378846592205
case_056,5,ok,96721,93868,3976084,3976084,0.30292541793528865,704012,1620032,1.0303937444070397,4.655114699999558,d1fb33058fad0b747469a1cd4d7a91e30c61f261b7add26eceb51e19520372df,,2.9539885797076746,2.866854147496407,112895.0,1.2026995355179615
case_057,5,ok,16538,16538,27936,27936,0.0007900714356256378,288,364236,1.0,0.22260259999984555,a02ee1e7633ab38df913f29108c4479d0fbce24a1a5795a7c099f24bd16b97dd,,3.6114403192647235,3.6114403192647235,16538.0,1.0
case_058,5,ok,902745,897570,30834688,30834688,0.4548933843630399,17039360,20418560,1.0057655670309837,9.632761200000004,aabab24b86e7a8e3b6e28cb3ad2d2603172ad91b77739bedcf7ed062f94e2554,,5.057786022260102,5.028792183839291,1004819.0,1.1194881736243414
case_059,5,ok,150782,150736,2072576,2072576,0.5441558441558442,1716224,1437696,1.0003051693026217,0.9687616999999591,ee975abc4d70a9fb4a5805922c30a2bb6196d26df48b5e22fb6e18812bcfa961,,5.502819498991615,5.501140719714555,150782.0,1.0003051693026217
case_060,5,ok,183272,182846,4290944,4290944,0.5288935018886729,3379456,3010216,1.0023298294739835,2.259038000000146,f83edc0910763ec026efc64771a9170d73cedfbaf0f783d5bdd4bc7ad0700566,,4.860861052470385,4.849562399057139,183272.0,1.0023298294739835
case_061,5,ok,22283,22283,83712,83712,0.0721818309257855,45312,582436,1.0,0.375101099999938,e4ce62e76fe0dccea09f1d5a8b716e614289099044914b8f4e7eaf316a2241c6,,3.46412063007674,3.46412063007674,20949.0,0.9401337342368622
case_062,5,ok,567755,567755,15037440,15037440,0.0036957191253464737,92160,24844800,1.0,15.767627899999752,444c51f8c4a98cb7ba22795443c04834c3561f100731089f62d253e5486d3b79,,5.028241054680276,5.028241054680276,567755.0,1.0
