case,cores,status,no_l2_cycles,l2_cycles,no_l2_added_bytes,l2_added_bytes,cache_hit_rate,hit_bytes,miss_bytes,cache_gain,seconds,plan_sha256,error
case_056,5,ok,96721,93868,3976084,3976084,0.30292541793528865,704012,1620032,1.0303937444070397,4.655114699999558,d1fb33058fad0b747469a1cd4d7a91e30c61f261b7add26eceb51e19520372df,
case_057,5,ok,16538,16538,27936,27936,0.0007900714356256378,288,364236,1.0,0.22260259999984555,a02ee1e7633ab38df913f29108c4479d0fbce24a1a5795a7c099f24bd16b97dd,
case_058,5,ok,902745,897570,30834688,30834688,0.4548933843630399,17039360,20418560,1.0057655670309837,9.632761200000004,aabab24b86e7a8e3b6e28cb3ad2d2603172ad91b77739bedcf7ed062f94e2554,
case_059,5,ok,150782,150736,2072576,2072576,0.5441558441558442,1716224,1437696,1.0003051693026217,0.9687616999999591,ee975abc4d70a9fb4a5805922c30a2bb6196d26df48b5e22fb6e18812bcfa961,
case_060,5,ok,183272,182846,4290944,4290944,0.5288935018886729,3379456,3010216,1.0023298294739835,2.259038000000146,f83edc0910763ec026efc64771a9170d73cedfbaf0f783d5bdd4bc7ad0700566,
case_061,5,ok,22283,22283,83712,83712,0.0721818309257855,45312,582436,1.0,0.375101099999938,e4ce62e76fe0dccea09f1d5a8b716e614289099044914b8f4e7eaf316a2241c6,
case_062,5,ok,567755,567755,15037440,15037440,0.0036957191253464737,92160,24844800,1.0,15.767627899999752,444c51f8c4a98cb7ba22795443c04834c3561f100731089f62d253e5486d3b79,
case_063,5,ok,212149,212149,5555712,5555712,0.0034676354029062086,32256,9269760,1.0,3.8873681000000033,4ef8f6050571f98d14762f0f2c15bd89028515f0436f85973efb9636b537459c,
case_064,5,ok,12480,12478,150100,150100,0.3481722041801982,41812,78278,1.0001602820964899,0.3205771000002642,8529f11e048d620ac252002c1d39ff76aea518d2c0f69629f93b476907cd4396,
case_065,5,ok,12156,12156,55584,55584,0.156440681782361,55584,299720,1.0,0.19931700000006458,ab305bc1e9330442f90a7ad5d3259be92e9a3e7672bc7c5591673629b812629c,
case_066,5,ok,94904,91753,2420166,2420166,0.34231322274020703,904638,1738082,1.034342201344915,2.6719176000001426,193f5f615d3336965a010c7ae89d66b98be7a2cb8635fbb6d65db45b5dd90eea,
case_067,5,ok,15456614,13333990,176094720,176094720,0.7981793098297304,142261248,35970944,1.1591889599437228,4.404093000000103,d39cb3d42bb41e3a253b0adabfdd0937d0376fd726c3adec5c3b3d36bb70aa3b,
case_068,5,ok,123877,107948,3420288,3420288,0.3565161877012443,1921034,3467316,1.147561789009523,2.708150499999647,7d908de1a945c4cf20af3889faa51475a2607a918ab5c97d0caee92c47f15576,
case_069,5,ok,11229,10312,310288,310288,0.3160104254523086,99664,215718,1.0889255236617532,0.3612289999996392,37d9f9d238d0cba325fa5592d2b4be01daf973273abee959e03af444f1f916f4,
case_070,5,ok,28228,27536,462848,462848,0.15486923165810587,136704,746002,1.0251307379430563,0.3860998000000109,abc6cbd944f423ae1b0f3a00fc9de51ad246d0e81d128d3811cdfd2df946b6a6,
case_071,5,ok,7648,7455,266512,266512,0.2810666188568394,81520,208518,1.025888665325285,0.25756120000005467,51c7c4a5e986532787533012e628063fc6b2e54485f3713558f53275948955c8,
case_072,5,ok,4721276,4719933,79266480,79266480,0.10881894569431261,9832824,80526662,1.0002845379372969,19.06954399999995,10573c10f700be602a1abe1d75f08a41d3005015d64196744b00d78a1a285603,
