case,cores,strategy,status,makespan_cycles,added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,peak_l1_bytes,peak_ub_bytes,wall_seconds,error
case_012,4,q1_selected,ok,17236,39168,0,594066,,,0.136,
case_013,2,q1_selected,ok,132198,8192,0,2535424,,,0.422,
case_013,3,q1_selected,ok,88351,16384,0,2543616,,,0.382,
case_013,4,q1_selected,ok,66982,24576,0,2551808,,,0.35,
case_014,2,q1_selected,ok,8891974,71575992,61682784,81508732,,,11.216,
case_014,3,q1_selected,ok,5980632,77640360,59581944,87573100,,,14.483,
case_014,4,q1_selected,ok,4526660,82469784,52790160,92402524,,,12.614,
case_015,2,q1_selected,ok,92411,224536,114712,1109150,,,0.212,
case_015,3,q1_selected,ok,60807,306448,98320,1191062,,,0.198,
case_015,4,q1_selected,ok,53421,263936,32768,1148550,,,0.188,
case_016,2,q1_selected,ok,4033697,401752,0,794970,,,7.756,
case_016,3,q1_selected,ok,2876681,12192,0,405410,,,7.252,
case_016,4,q1_selected,ok,2241799,14628,0,407846,,,7.196,
case_017,2,q1_selected,ok,87680,87552,0,731414,,,0.191,
case_017,3,q1_selected,ok,58579,175104,0,818966,,,0.204,
case_017,4,q1_selected,ok,42384,259200,0,903062,,,0.21,
case_018,2,q1_selected,ok,502105,3191808,1892352,4784656,,,0.514,
case_018,3,q1_selected,ok,338272,3867008,1392640,5459856,,,0.464,
case_018,4,q1_selected,ok,258133,4853504,1204224,6446352,,,0.51,
case_019,2,q1_selected,ok,43224,27168,0,214152,,,0.08,
case_019,3,q1_selected,ok,29121,24576,0,211560,,,0.075,
case_019,4,q1_selected,ok,24099,51744,0,238728,,,0.08,
case_020,2,q1_selected,ok,266580,0,0,2359296,,,1.172,
case_020,3,q1_selected,ok,177950,0,0,2359296,,,1.017,
case_020,4,q1_selected,ok,133704,0,0,2359296,,,0.956,
case_021,2,q1_selected,ok,3194570,3174400,1638400,6512640,,,0.745,
case_021,3,q1_selected,ok,2144024,7766016,3055616,11104256,,,0.853,
case_021,4,q1_selected,ok,1550324,4608000,0,7946240,,,0.604,
case_022,2,q1_selected,ok,28333,6912,0,220598,,,0.167,
case_022,3,q1_selected,ok,19128,13824,0,227510,,,0.177,
case_022,4,q1_selected,ok,14654,13824,0,227510,,,0.173,
case_023,2,q1_selected,ok,61227,84384,0,527828,,,0.125,
case_023,3,q1_selected,ok,41662,196896,0,640340,,,0.122,
case_023,4,q1_selected,ok,31519,281280,0,724724,,,0.131,
case_024,2,q1_selected,ok,1336613,396040,0,789258,,,1.291,
case_024,3,q1_selected,ok,953369,4032,0,397250,,,1.333,
case_024,4,q1_selected,ok,743623,4836,0,398054,,,1.31,
case_025,2,q1_selected,ok,2431840,27648,0,8245248,,,7.394,
case_025,3,q1_selected,ok,1622164,55296,0,8272896,,,6.308,
case_025,4,q1_selected,ok,1217444,82944,0,8300544,,,5.899,
case_026,2,q1_selected,ok,58112,288,0,529142,,,0.08,
case_026,3,q1_selected,ok,41655,95664,0,624518,,,0.085,
case_026,4,q1_selected,ok,41655,95664,0,624518,,,0.075,
case_027,2,q1_selected,ok,1120962,1744896,638976,3784704,,,0.247,
case_027,3,q1_selected,ok,837049,3686400,0,5726208,,,0.283,
case_027,4,q1_selected,ok,559196,3317760,0,5357568,,,0.27,
case_028,2,q1_selected,ok,22126215,222779712,220562112,228688320,,,7.828,
case_028,3,q1_selected,ok,16701729,222378336,218081376,228286944,,,6.541,
case_028,4,q1_selected,ok,12847051,232447464,215426664,238356072,,,6.552,
case_029,2,q1_selected,ok,19740,0,0,430164,,,0.116,
case_029,3,q1_selected,ok,12743,0,0,430164,,,0.109,
case_029,4,q1_selected,ok,11028,0,0,430164,,,0.107,
case_030,2,q1_selected,ok,1401423,6940672,4989952,9334732,,,2.423,
case_030,3,q1_selected,ok,933969,9071616,5170176,11465676,,,2.427,
case_030,4,q1_selected,ok,699591,8632320,3377152,11026380,,,2.231,
case_031,2,q1_selected,ok,735345,5564928,3833856,7749968,,,1.441,
case_031,3,q1_selected,ok,486363,5018112,2231808,7203152,,,1.238,
case_031,4,q1_selected,ok,398198,7971840,2913792,10156880,,,1.291,
case_032,2,q1_selected,ok,21880,6216,0,299304,,,0.109,
case_032,3,q1_selected,ok,15402,12360,0,305448,,,0.102,
case_032,4,q1_selected,ok,14274,12360,0,305448,,,0.104,
case_033,2,q1_selected,ok,897883,6229536,4170240,9202446,,,0.724,
case_033,3,q1_selected,ok,604202,7803456,3684864,10776366,,,0.736,
case_033,4,q1_selected,ok,460454,7531104,1684992,10504014,,,0.683,
case_034,2,q1_selected,ok,418129,1648128,581632,3928514,,,0.62,
case_034,3,q1_selected,ok,282515,2638336,201216,4918722,,,0.663,
case_034,4,q1_selected,ok,213112,3176960,57344,5457346,,,0.732,
case_035,2,q1_selected,ok,95406,0,0,410854,,,0.628,
case_035,3,q1_selected,ok,80551,364524,0,775378,,,0.733,
case_035,4,q1_selected,ok,62702,449344,0,860198,,,0.737,
case_036,2,q1_selected,ok,466068,1152,0,6555904,,,0.521,
case_036,3,q1_selected,ok,311345,2304,0,6557056,,,0.47,
case_036,4,q1_selected,ok,233584,3456,0,6558208,,,0.484,
case_037,2,q1_selected,ok,105374,204800,0,819200,,,0.123,
case_037,3,q1_selected,ok,74038,1064960,0,1679360,,,0.143,
case_037,4,q1_selected,ok,53320,614400,0,1228800,,,0.129,
case_038,2,q1_selected,ok,683459,6094848,4240896,8897798,,,1.369,
case_038,3,q1_selected,ok,462076,7942656,3323904,10745606,,,1.318,
case_038,4,q1_selected,ok,346382,8761344,2565120,11564294,,,1.397,
case_039,2,q1_selected,ok,708561,11067392,6864896,15556608,,,1.349,
case_039,3,q1_selected,ok,485565,14323712,5918720,18812928,,,1.404,
case_039,4,q1_selected,ok,395323,17604608,4997120,22093824,,,1.292,
case_040,2,q1_selected,ok,144027,12288,0,923526,,,0.478,
case_040,3,q1_selected,ok,94945,702726,0,1613964,,,0.621,
case_040,4,q1_selected,ok,95217,1066250,0,1977488,,,0.597,
case_041,2,q1_selected,ok,3002984,30557184,25847808,35507164,,,5.257,
case_041,3,q1_selected,ok,1998385,34762752,24975360,39712732,,,5.166,
case_041,4,q1_selected,ok,1501288,34759680,21055488,39709660,,,4.936,
case_042,2,q1_selected,ok,849537,6469920,4417536,8858884,,,1.057,
case_042,3,q1_selected,ok,567781,8368416,4263936,10757380,,,1.073,
case_042,4,q1_selected,ok,444517,8168736,2626560,10557700,,,0.961,
case_043,2,q1_selected,ok,346000,1690534,0,3121656,,,2.366,
case_043,3,q1_selected,ok,243660,3029114,0,4460236,,,2.242,
case_043,4,q1_selected,ok,193488,3853190,0,5284312,,,2.227,
case_044,2,q1_selected,ok,51301,930400,0,1905856,,,0.188,
case_044,3,q1_selected,ok,56883,1860800,0,2836256,,,0.182,
case_044,4,q1_selected,ok,69079,2791200,0,3766656,,,0.191,
case_045,2,q1_selected,ok,63059,0,0,557056,,,0.208,
case_045,3,q1_selected,ok,42601,0,0,557056,,,0.186,
case_045,4,q1_selected,ok,31878,0,0,557056,,,0.175,
case_046,2,q1_selected,ok,117226,930400,0,1991872,,,0.17,
case_046,3,q1_selected,ok,88996,1860800,0,2922272,,,0.15,
case_046,4,q1_selected,ok,81652,2791200,0,3852672,,,0.142,
case_047,2,q1_selected,ok,177209,528198,0,992140,,,4.136,
case_047,3,q1_selected,ok,130202,1195788,0,1659730,,,4.049,
