case,question,cores,method,selected,makespan,reference_cycles,raw_speedup_vs_original_singlecore,same_plan_cache_gain,generation_seconds,plan_sha256
case_066,2,1,trained,component_scalar,358930,359070,1.000390048198813,,0.3288704000005964,08547bca68dbb9f3f1232344d798bddfd999cb3697067047fa44d3c776ad088c
case_071,2,1,component_scalar,component_scalar,18919,18919,1.0,,0.03583319998870138,e00c1ada9c9b2496b0b87bc56943834748c8c9058f8debdc8b15a8018fd210f9
case_071,2,1,trained,shared_prefix,18783,18919,1.007240589895118,,0.04258940000727307,1b91a3b040e6a79ec1970b74155320d38d027ff66f4c65977fe1d2de49979194
case_094,2,1,component_scalar,component_scalar,93338,94892,1.016649167541623,,0.03518890000123065,e5d1655eb903efd8b5aae60095f61dfde6040cd588b73b201dfa94181b82dcd1
case_094,2,1,trained,component_vector_reuse_order,92170,94892,1.0295323858088314,,0.04212769999867305,280ac27c8985be3ec44b5243dcb141326b1e4e661cb082cf8108a89fefce884f
case_009,2,2,component_scalar,component_scalar,92198,153261,1.66230286991041,,0.3209015000029467,eca4954903c786e2bf01254d19c1038e9260e12152e6d1ed1240330fbfec3992
case_009,2,2,trained,component_scalar,92198,153261,1.66230286991041,,0.3210853000055067,eca4954903c786e2bf01254d19c1038e9260e12152e6d1ed1240330fbfec3992
case_019,2,2,component_scalar,component_scalar,39502,81144,2.054174472178624,,0.04237959999591112,d759c2d78ffbdd769519de34b93e1f4951e9b28acbaa0140d06fc64ffa59e78f
case_019,2,2,trained,component_scalar,39502,81144,2.054174472178624,,0.03897559999313671,d759c2d78ffbdd769519de34b93e1f4951e9b28acbaa0140d06fc64ffa59e78f
case_026,2,2,component_scalar,component_scalar,51691,99203,1.9191542047938712,,0.040372400006162934,c93b2afb53a20718009b7d14a314dbf56f9fd92d544fd9efb3e546e3ab86a435
case_026,2,2,trained,component_scalar,51691,99203,1.9191542047938712,,0.03963889999431558,c93b2afb53a20718009b7d14a314dbf56f9fd92d544fd9efb3e546e3ab86a435
