case,cores,status,no_l2_cycles,l2_cycles,no_l2_added_bytes,l2_added_bytes,cache_hit_rate,hit_bytes,miss_bytes,cache_gain,seconds,plan_sha256,error,l2_speedup,no_l2_speedup,q2_cycles,vs_q2_gain,selected,inference_seconds,candidate_count
case_008,1,ok,487605.0,487605.0,0.0,0.0,0.0,0.0,1990872.0,1.0,0.39874139999983527,388dce59cb076d992e377ef77e91c37acaa8782684c46bdb3666c63d856f2ea6,,1.0,1.0,487605.0,1.0,single_core_fixed,0.01777749999973821,1
case_008,2,ok,136244.0,136244.0,3538944.0,3538944.0,0.0,0.0,3760344.0,1.0,0.416228399999909,56cee2cbd32a87b69a46bcf5817f3be8fb2b7d906b79870357efa86b73eb51f9,,3.5789098969495905,3.5789098969495905,244266.0,1.7928569331493498,data_wide,0.14929780000011306,5
case_008,3,ok,110229.0,110229.0,3317760.0,3317760.0,0.0,0.0,3649752.0,1.0,0.37268889999995736,0d123d951eaabd070fce98a2694d741c5fea6baf00a17cd01f077e1c3e25c42f,,4.4235636719919444,4.4235636719919444,163359.0,1.4819965707753857,data_wide,0.10796899999968446,5
case_008,4,ok,104264.0,104264.0,3096576.0,3096576.0,0.0,0.0,3539160.0,1.0,0.35777479999978823,b0a0a5f62b6788c8f407cfe0304f7b8d94d761fbddbf0577101a28cf80ef9a15,,4.676638149313281,4.676638149313281,123060.0,1.1802731527660555,data_wide,0.11274090000006254,5
case_008,5,ok,100603.0,100603.0,0.0,0.0,0.0,0.0,1990872.0,1.0,0.30322520000027,07a18d1888b2516c41957b36c86a05ecdc8ce35652d4130f728c3fafd007ff54,,4.846823653370178,4.846823653370178,100603.0,1.0,component_merged,0.11300590000018929,5
case_009,1,ok,153261.0,153261.0,0.0,0.0,0.0,0.0,495194.0,1.0,2.621575000000121,1c4e7c1fcb5bd356f4012f115262813f15ea53f8b2e5c226d0840682cf3e3d09,,1.0,1.0,153261.0,1.0,single_core_fixed,0.0888079999999718,1
case_009,2,ok,90813.0,90813.0,515502.0,515502.0,0.201974839713841,169734.0,670638.0,1.0,2.814292900000055,029737efc8faf42b5975c3bf97ce363370a611d0bd72d6919be5c0d540330b31,,1.6876548511776948,1.6876548511776948,90813.0,1.0,valley,0.8894971999998234,7
case_009,3,ok,73832.0,73686.0,1008868.0,1008868.0,0.3319640140814464,381908.0,768542.0,1.001981380452189,3.0910877999999684,5f9975d2669fc5e0f2f1345596a4400f2f1997f6fc6f77a7dacef70454d63ab1,,2.079920201937953,2.0758072380539603,73832.0,1.001981380452189,valley,0.9188646999996308,7
case_009,4,ok,66815.0,66501.0,1027874.0,1027874.0,0.35324112338702873,418838.0,766862.0,1.0047217335077667,3.057706199999757,c244027e9f2d083a6e1b257a53d010345af5264a51ca560938d3c33a996b9187,,2.304642035458113,2.293811269924418,66815.0,1.0047217335077667,valley,0.9439346000003752,8
case_009,5,ok,63440.0,61424.0,1282496.0,1282496.0,0.3789728803391879,502872.0,824062.0,1.0328210471476946,3.443852600000355,315dcb3c1442c06343ad09e45c24d586f9589dcb23cb0b582bc1fc6e10acee0a,,2.495132195884345,2.4158417402269863,61215.0,0.9965974212034384,valley,0.9383390000002692,7
case_010,1,ok,86969.0,86969.0,0.0,0.0,0.0,0.0,384078.0,1.0,0.1750000000001819,c2c12cc98c307bce97233ef0fe7277d4091e24897997266f1fc1ef65daa9a013,,1.0,1.0,86969.0,1.0,single_core_fixed,0.01070369999979448,1
case_010,2,ok,45295.0,45251.0,943420.0,943420.0,0.10976671040018376,99392.0,806092.0,1.0009723542021172,0.2709734000000026,7aa65af18c35515a30ebd6acd3a321d578842e159f2df7643e35e07cf88891fb,,1.9219243773618262,1.920057401479192,45196.0,0.9987845572473536,data_band,0.10141680000015185,6
case_010,3,ok,34803.0,34803.0,341144.0,341144.0,0.21153083434099154,131202.0,489048.0,1.0,0.2636574000002838,05ad8ceab4cb3d1e017c6bed13b5a47d80b1faf3f0ad7cdccf3b2b947e2b1264,,2.4988937735252708,2.4988937735252708,34803.0,1.0,data_wide,0.09622280000030514,6
case_010,4,ok,25173.0,25010.0,365144.0,365144.0,0.2325116935866765,151812.0,501110.0,1.0065173930427829,0.2840016000000105,8a290d3683a0620748678942ff9186aebeaeb49c85cfee77f668f1f63bf04aa0,,3.4773690523790486,3.4548524212449845,25173.0,1.0065173930427829,data_wide,0.09337130000039906,6
case_010,5,ok,23614.0,22992.0,418324.0,418324.0,0.24440699801009905,169988.0,525524.0,1.02705288796103,0.2619629000000714,5a317295f3d49ee4f4f1ff1c34a064e944f6ec7872b1146afac9b1e7f425ab25,,3.7825765483646485,3.6829423223511477,23614.0,1.02705288796103,data_wide,0.1054908000000978,6
case_011,1,ok,184697.0,184697.0,0.0,0.0,0.0,0.0,540672.0,1.0,0.2202620999996725,9f03af9aaa2c6644b88a89f3009569f44fd5b0e76c61b42ce8a15ef47cdcd7a6,,1.0,1.0,184697.0,1.0,single_core_fixed,0.011571099999855505,1
case_011,2,ok,92646.0,92646.0,180224.0,180224.0,0.0,0.0,720896.0,1.0,0.21932379999998375,dd85bbfff3f3136169313b512d6335441de960542e153517eb9de9743d101fa3,,1.9935777043801135,1.9935777043801135,92646.0,1.0,component_merged,0.09321780000027502,6
case_011,3,ok,87128.0,87128.0,2998272.0,2998272.0,0.4158730158730159,1073152.0,1507328.0,1.0,0.409037900000385,fd668ccbb25d98a980d58e16e8c5f87c1d1a0e32caa6e08aac0622084923014d,,2.11983518501515,2.11983518501515,69625.0,0.7991116518226058,join_tail,0.1144137999999657,7
case_011,4,ok,46880.0,46880.0,540672.0,540672.0,0.0,0.0,1081344.0,1.0,0.2535232999998698,de8fa7c3d5a69aff0fc399972935ca452d9dd4ee376ec7d1effa8f7ed70c5a90,,3.9397824232081913,3.9397824232081913,46880.0,1.0,component_merged,0.10564979999981006,6
case_011,5,ok,65327.0,47732.0,3244032.0,3244032.0,0.4649859943977591,1359872.0,1564672.0,1.368620631861225,0.4693638999997347,fcf1482f9f9201c84fc60b91140c384e9465e493e12ac4ebf8cf73da2a0f252e,,3.8694586440962038,2.827268969951169,47287.0,0.9906771138858628,data_wide,0.13595420000001468,7
case_012,1,ok,59088.0,59088.0,0.0,0.0,0.0,0.0,484096.0,1.0,0.3179761999999755,cfe331bb6d824d1889ea34b91b430446bca01d30b6196f18885c3fe4d9c0f151,,1.0,1.0,59088.0,1.0,single_core_fixed,0.016477099999974598,1
case_012,2,ok,27573.0,27573.0,28800.0,28800.0,0.0561517344646868,28800.0,484096.0,1.0,0.342685199999778,9f7e583b55184e301f9cc0f8936fc8665f845933ea0b087608ad4176ef78c58d,,2.142965944946143,2.142965944946143,30094.0,1.0914300221230915,component_reuse_order,0.1679497000000083,8
case_012,3,ok,21818.0,21115.0,329190.0,329190.0,0.209226238271904,153734.0,581040.0,1.0332938669192517,0.3849732999997286,287b2ee0db1e2c66f28bc5055d01b4b4f09547ccfec3213e9890a7f1ca322c5c,,2.79838977030547,2.7082225685214043,21894.0,1.036893203883495,data_wide,0.18387059999986377,9
case_012,4,ok,14970.0,14970.0,39168.0,39168.0,0.06311154598825831,33024.0,490240.0,1.0,0.3538047999995797,ecd23d9d4af2603ba63d9ace669f71044c905341a070ff5a057d8ebf63a42ff1,,3.9470941883767536,3.9470941883767536,17236.0,1.151369405477622,component_reuse_order,0.20210150000002614,9
case_012,5,ok,12519.0,12460.0,25344.0,25344.0,0.04974874371859297,25344.0,484096.0,1.0047351524879615,0.3271860999998353,3f0dcbef83bc54b9cdecc8a911de9c53ea5a54241872a024baf7f2a690daf1f4,,4.742215088282504,4.719865803977953,14300.0,1.1476725521669342,component_affinity,0.19790270000021337,9
case_013,1,ok,263949.0,263949.0,0.0,0.0,0.0,0.0,2023424.0,1.0,0.9554721999998037,61a367950ca89631ecf9d3c7719455ea782108f95748289a6f43188b4b7d4d45,,1.0,1.0,263949.0,1.0,single_core_fixed,0.03791730000011739,1
case_013,2,ok,132198.0,132198.0,8192.0,8192.0,0.0,0.0,2031616.0,1.0,0.8429942000002484,1e53c296a600aed044668be3fc7f55cdf3f477a31b4e9f9de4c4e1098b54912a,,1.9966187083011846,1.9966187083011846,132198.0,1.0,component_merged,0.3237240999997084,5
case_013,3,ok,88351.0,88351.0,16384.0,16384.0,0.0,0.0,2039808.0,1.0,0.8410109000001285,55efd77e51de13a1a870aa20893a094fe82ccfa4f7d781aac417ade89b306ac9,,2.98750438591527,2.98750438591527,88351.0,1.0,component_merged,0.3419430000003558,5
case_013,4,ok,66982.0,66982.0,24576.0,24576.0,0.0,0.0,2048000.0,1.0,0.8000025000001187,78ac79ccf69c9fae54d00e8815aa03504db9cadebcf71f6b0c1dbf8212c55870,,3.9405959810098237,3.9405959810098237,66982.0,1.0,component_merged,0.35425720000012006,5
case_013,5,ok,54363.0,54363.0,32768.0,32768.0,0.0,0.0,2056192.0,1.0,0.8932982999999695,5ddfcd4283c7a16c47e466899301f1846a18d1695cde56169bb0025a7f578e3d,,4.855305998565201,4.855305998565201,54363.0,1.0,component_merged,0.2998288000003413,5
case_014,1,ok,17698626.0,17689602.0,71010720.0,71010720.0,0.12291025483195864,9944064.0,70961016.0,1.0005101301883446,26.06617329999972,99ea93ac8f7de1554577a471fb2d47189411f99ec988cae53f17af9238f4fb6d,,1.0005101301883446,1.0,17698626.0,1.0005101301883446,single_core_fixed,1.0391811999998026,1
case_014,2,ok,8839450.0,8839065.0,42981816.0,42981816.0,0.1910509307616428,10105344.0,42788112.0,1.0000435566431518,32.50193080000008,8a2d9019559f057a7b44c42f6bf222c7993502180cee801fdb3490a36b0ccb16,,2.002318797293605,2.0022315868068716,8891974.0,1.0059858141104292,component_reuse_order,10.584197900000163,8
case_014,3,ok,5873336.0,5873043.0,39776424.0,39776424.0,0.18331323997650623,9108480.0,40579584.0,1.0000498889587561,28.59311880000041,c683bbad45716d34cfe34c7dd36c5a68436b551ceede52aaeb8d5f593048d6a2,,3.0135359131543904,3.0133855784855488,5980632.0,1.018319123493562,component_reuse_order,10.286503899999843,8
case_014,4,ok,4547786.0,4542665.0,34288056.0,34288056.0,0.4470416267116407,19759104.0,24440592.0,1.001127311831271,29.62788159999991,db48921d14db4a440ecc1d52d20d34f6cf41c17138d273939103cf0dd6be5733,,3.8960887496656698,3.891701588421267,4526660.0,0.9964767377739718,component_affinity,9.77431660000002,8
case_014,5,ok,3659604.0,3659089.0,43571208.0,43571208.0,0.20660799514640657,11049984.0,42432864.0,1.0001407454150473,26.944906900000205,0ffa053ddf0796f2382b8bea3ad246fd3ba3312044e76b0c06abe43fc7d8bdaf,,4.836894101236674,4.836213426370722,3694640.0,1.0097158063113523,component_reuse_order,10.02338809999992,8
case_015,1,ok,177362.0,177362.0,180256.0,180256.0,0.1692685978123867,180224.0,884498.0,1.0,0.29841739999983474,00e3de2c2bb37567ed66714d82da30c44de3ee8ca7e60ebe1ca35fa4b6cfe4bd,,1.0,1.0,177362.0,1.0,single_core_fixed,0.0170085999998264,1
case_015,2,ok,87285.0,87285.0,109824.0,109824.0,0.11045291892033238,109824.0,884482.0,1.0,0.31727860000000874,d5d1c54d76c731695a4d168d1fe414302db9c73481c32646f15739dd96712aae,,2.0319871684711006,2.0319871684711006,92411.0,1.0587271581600504,component_reuse_order,0.156194300000152,7
case_015,3,ok,61834.0,61653.0,208128.0,208128.0,0.16049642598914526,175360.0,917250.0,1.002935785768738,0.3051180000002205,d1e75452f88c6736828e18de53ccc9f62a1887d0415888300e804a2b722876ff,,2.8767780967673917,2.868357214477472,60807.0,0.9862780399980536,component_reuse_order,0.15770069999962288,7
case_015,4,ok,62179.0,61308.0,673712.0,673712.0,0.43230948343694203,673584.0,884522.0,1.0142069550466497,0.3486678999997821,37a14b331060cfe191e931c49fd815b92116cb3255a8e9b67cf3080c5942b814,,2.892966660142233,2.8524421428456552,53421.0,0.8713544724995107,shared_prefix,0.18028720000029352,8
case_015,5,ok,48778.0,48712.0,313344.0,313344.0,0.07010033176771918,83968.0,1113858.0,1.001354902282805,0.38324629999988247,7bdf44dc9f2b1a006cb53fb7a44e6f78429ba9c60d79fc257c8d57b089c4d2fd,,3.6410330103465265,3.6361064414285127,43437.0,0.8917104614879291,component_reuse_order,0.16360020000001896,7
case_016,1,ok,7715523.0,7715523.0,0.0,0.0,0.0,0.0,393216.0,1.0,17.082001199999922,0b67b70e5e94fc362d17aead571cda3757b55a59d7d203e809eecc1fd38ad967,,1.0,1.0,7715523.0,1.0,single_core_fixed,0.29222840000011274,1
