case,cores,singlecore_reference_cycles,first_stage_cycles,q3_l2_cycles,same_plan_no_l2_cycles,first_stage_speedup,speedup_vs_reference,same_plan_l2_gain,added_copy_bytes,spill_added_copy_bytes,peak_l1_bytes,peak_ub_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,official_search_calls,invalid_candidates,selected,branch_called,plan_sha256
case_010,4,86969.0,25000,25000,25156,3.47876,3.47876,1.00624,395096,0,115072,55042,0.23035049697332038,154116,514934,24,0,greedy,False,c4065d7c686b637ef7d44bc62bafec5cbffa92e4691dd1f1517bf000560b9c4f
case_010,5,86969.0,21246,21246,22139,4.093429351407324,4.093429351407324,1.0420314412124636,411780,0,115072,41634,0.2405697445972495,166532,525708,24,0,greedy,False,a65bf0555823ea5976214832d800a0b6a1d1cada13777c0eaddae9f7f158db5f
case_011,1,184697.0,184697,184697,184697,1.0,1.0,1.0,0,0,421888,0,0.0,0,540672,11,0,greedy,False,dd532f33d8dba0014f7021fab8cde4ed9ea0c35357558500c69bfc1e1ceca465
case_011,2,184697.0,92646,92646,92646,1.9935777043801135,1.9935777043801135,1.0,180224,0,241664,0,0.0,0,720896,24,0,greedy,False,d6bbfafe92ef2f32c3876ef7991ccca8030e32d9dbe9809cd73771841c6c9cca
case_011,3,184697.0,63552,63552,63552,2.906234264853978,2.906234264853978,1.0,1392640,0,202752,0,0.457002457002457,761856,905216,24,0,greedy,False,bb2f706db3d2cf60d6e26283f641ef2af77fb28e3fa47caad2a3cf237c1cd1a6
case_011,4,184697.0,46880,46880,46880,3.9397824232081913,3.9397824232081913,1.0,540672,0,110592,0,0.0,0,1081344,24,0,greedy,False,4b44b69c0f02d4aac53aa4bfc86e317c46a7664b2899b7e554ba3dd492a6ea96
case_011,5,184697.0,40639,40639,44348,4.54482147690642,4.54482147690642,1.091267009522872,2007040,0,69632,0,0.503683241252302,1120256,1103872,24,0,greedy,False,3213d84149591e691cbca8c147d70d60995d5a430b272e5a14b85369b4450ec6
case_012,1,59088.0,55507,55507,55829,1.0645143855729908,1.0645143855729908,1.0058010701352982,81940,81940,236160,129664,0.11054614545886367,61440,494346,12,0,greedy,False,afec11abb119cc7a886c996859901226843e8f7acd60ffbd395fe5bc2aba30c2
case_012,2,59088.0,28446,28446,28469,2.077198903184982,2.077198903184982,1.0008085495324475,239954,0,30720,65274,0.19088892343753738,127694,541250,24,0,greedy,False,7e47b01849e57f19e13a94f475713ff000e42144543b83bed286e3f90a9c7383
case_012,3,59088.0,20613,20613,21280,2.8665405326735556,2.8665405326735556,1.0323582205404356,323204,0,36416,72292,0.23864374886131573,175522,559976,24,0,greedy,False,f8a7d0fc0f31ac9af4ae76a69c020e396face5d0c2f75da1e8092892f7712c16
case_012,4,59088.0,17109,17109,17109,3.453620901280028,3.453620901280028,1.0,39168,0,28224,47110,0.074853228962818,39168,484096,24,0,greedy,False,bbb0dd9575d3f96fab78f122646988068949a266330258fd4ab36a9581fa6e88
case_012,5,59088.0,14022,14022,14022,4.213949507916132,4.213949507916132,1.0,49552,0,28224,30728,0.07483696874297278,39936,493704,24,0,greedy,False,b052d6ad867960a6d44e7e9640c2b3efd31a969ec6e01d70ec3205f742671c2b
case_013,1,263949.0,263949,263949,263949,1.0,1.0,1.0,0,0,20480,0,0.0,0,2023424,2,0,greedy,False,b43a2d879758c1855d0c5d1f91e4d37cbfb200f27ed7c8d01111594cf43b0ffe
case_013,2,263949.0,132198,132198,132198,1.9966187083011846,1.9966187083011846,1.0,8192,0,20480,0,0.0,0,2031616,14,0,greedy,False,de16cbf26002ef32c4b79dff55cc247f253cc5d0400d9631b283be2bdac0258e
case_013,3,263949.0,88351,88351,88351,2.98750438591527,2.98750438591527,1.0,16384,0,20480,0,0.0,0,2039808,24,0,greedy,False,8ecaf3cd433a36e7089f934de3d1a88bc54a3597d2732a9db6e29ee9b24e9ff8
case_013,4,263949.0,66982,66982,66982,3.9405959810098237,3.9405959810098237,1.0,24576,0,20480,0,0.0,0,2048000,24,0,greedy,False,e898621a62e15ac5efc688737808bc9d99acd1fc2b8d9f4765cc72645f7fd207
case_013,5,263949.0,54363,54363,54363,4.855305998565201,4.855305998565201,1.0,32768,0,20480,0,0.0,0,2056192,24,0,greedy,False,95cba29670919951d8751c3c4460a7c16f4c6021c845ff2bbc0736d395dc5266
case_014,1,17698626.0,17688336,17688336,17697360,1.0005817392885346,1.0005817392885346,1.0005101666996827,71047896,71047896,524040,132,0.12290744743144864,9944064,70962864,5,0,greedy,False,42e6201246ec1d1726118d5fe43641f11753763302d5544b04ac19aee3bb71e8
case_014,2,17698626.0,8866290,8866290,8869538,1.9961704388193935,1.9961704388193935,1.0003663313516702,75642024,65748816,523800,132,0.23676759829719973,20246880,65266848,5,0,greedy,False,4662b84da2105ea7988a5fdb31343ae558db1ba0e0d647b4090a056a16a297a4
case_014,3,17698626.0,5911200,5911200,5948074,2.9940834348355665,2.9940834348355665,1.0062379889024224,80069256,60221400,523800,132,0.3183162392158663,28623312,61297680,7,0,greedy,False,17a17f64c22c8a07f75f557b5fdc46dfa226d0210bfae523770c0720d39b22fe
case_014,4,17698626.0,4426975,4426975,4511385,3.9979051157957746,3.9979051157957746,1.0190671959972668,85928304,56552520,523800,132,0.3983650647160839,38154504,57623232,8,0,greedy,False,e5726fde20475fc29c9a41e3dd0ce808a3205b5a5fe5d0b9f7ae8a2f8c4b3a69
case_014,5,17698626.0,3602243,3602243,3635836,4.913223788622811,4.913223788622811,1.0093255785353736,90451344,51367680,523776,132,0.3797996475347171,38093616,62205624,9,0,greedy,False,04e01011bb311711f4c9df997a32b0f59782512c38fe382c61dfb5111eb9eac4
case_015,1,177362.0,174218,174218,176434,1.0180463557152533,1.0180463557152533,1.0127196960130411,1177072,1177072,411648,127924,0.19567334369614187,319488,1313274,20,0,greedy,False,aee39bbdefae99e253d6c6e14cc64463915d2d8aec671c401ffb7f9e97ac6ce5
case_015,2,177362.0,85502,85502,85517,2.0743608336647097,2.0743608336647097,1.0001754344927605,658728,548900,397824,131072,0.19714506803150494,265472,1081110,24,0,greedy,False,6fb89f9f25098e371f9ef06f909733539194e65a566f89a58622e5ae2e3180af
case_015,3,177362.0,60807,60807,60807,2.916802341835644,2.916802341835644,1.0,306448,98320,196608,122898,0.25730652385294756,306432,884490,24,0,greedy,False,43b02d6b1f545a73c70c1eb9bd25113e9e2c33735fd5d47a6df912771e051c85
case_015,4,177362.0,47474,47474,52575,3.7359818005645193,3.7359818005645193,1.1074482874836753,979128,0,180224,119950,0.36797271187112934,649424,1115446,24,0,greedy,False,449755f754346ddc483ed6f4edb700f4a39249916e17041bdb444f90571675b7
case_015,5,177362.0,39523,39523,39523,4.487564203122233,4.487564203122233,1.0,427784,0,228352,106508,0.320716442295822,420864,891398,24,0,greedy,False,0bb73b31c674e54f3927ace8a24b7d4db484599e150b388a30c8fc48342ac86a
case_016,1,7715523.0,7715523,7715523,7715523,1.0,1.0,1.0,0,0,393216,65544,0.0,0,393216,12,0,greedy,False,ceb691fa3f6538b83035d95def0b97b3c816ea719b0a9eb61639b5899d297c41
case_016,2,7715523.0,4033396,4033396,4033396,1.9129098655326677,1.9129098655326677,1.0,8536,0,196608,65546,0.0,0,397484,12,0,greedy,False,8509dee6589a7cf3e78bbff279a2f5ec8f6a9b4f6a12372d3b51a83959dae511
case_016,3,7715523.0,2876681,2876681,2876681,2.682091966401558,2.682091966401558,1.0,12192,0,131072,65542,0.001522618904515767,608,398704,14,0,greedy,False,64074d719d783b97edbdd81ebff8f2893dd7571bc3a5f0f791d1dd56d4b77be2
case_016,4,7715523.0,2241799,2241799,2241799,3.441665822850309,3.441665822850309,1.0,14628,0,98304,65540,0.0030359773300377,1216,399314,15,0,greedy,False,13685074b08efe631bc9e0f3490d51c2468897079456b4cd242ebf9bba8c82c0
case_016,5,7715523.0,2241799,2241799,2241799,3.441665822850309,3.441665822850309,1.0,14628,0,98304,65540,0.0030359773300377,1216,399314,51,0,greedy,True,49935b174f06fffc6fd35615bbe5f1b4546c3b2a7b5a651cb540f43858545634
case_017,1,162810.0,150093,150093,150444,1.084727468969239,1.084727468969239,1.0023385500989386,448656,448656,163840,131072,0.1991145510982744,167936,675478,18,0,greedy,False,9705b61d6b6df04f799164fd4411124268245ebad9c3d87c6e83480589e21e77
case_017,2,162810.0,82890,82890,85836,1.9641693811074918,1.9641693811074918,1.0355410785378212,1109388,59412,162560,130596,0.29423878930603703,376332,902670,24,0,greedy,False,25e1fb745eead1a49f4f95779c5fbeedaf1692545a8d9972a6530c66b4ec1906
case_017,3,162810.0,55437,55437,56302,2.9368472319930734,2.9368472319930734,1.01560329743673,482760,0,101376,81428,0.3388198002977765,331792,647466,24,0,greedy,False,ffff152ad3a6bf63dd23b05c82d084d590ae8252793a2c87396a56f32374c289
case_017,4,162810.0,42233,42233,43848,3.8550422655269574,3.8550422655269574,1.0382402386759169,867412,0,73728,72716,0.345022983810839,425728,808184,24,0,greedy,False,72ccfe5d2f47ffed7603ca76065bce98b90c38ff53fef7da0cd652c2dc237079
case_017,5,162810.0,35268,35268,35268,4.616366110922082,4.616366110922082,1.0,341016,0,123520,77864,0.3050534058042145,267264,608858,24,0,greedy,False,d2feae5566c8e0179686e650ace5666a2fa3e76814958451768afe35605a2423
case_018,1,1004367.0,1003110,1003110,1004367,1.0012531028501361,1.0012531028501361,1.0012531028501361,1970176,1970176,524288,65536,0.34375031576536474,1224704,2338068,12,0,greedy,False,e12c9c1403811614a67afee8d8c39c2e23f96eb99aa1f87302f2ece2d60f77af
case_018,2,1004367.0,500561,500561,500869,2.0064827263810003,2.0064827263810003,1.0006153096226034,3249156,1949696,524288,65536,0.5230241131822172,2532352,2309398,24,0,greedy,False,02034abd370cbc4b45a5a000bb3b2b83e9da5da08304cc99c40e2be256398ef7
case_018,3,1004367.0,337768,337768,338638,2.9735410103976694,2.9735410103976694,1.0025757324554132,4088196,1359872,524288,81920,0.6251998573884636,3510656,2104598,24,0,greedy,False,458445568b1eb46a55dd83ae7c31e430eaa96f6715016bb5996c2e6c78d23512
case_018,4,1004367.0,255589,255589,256278,3.9296174718004298,3.9296174718004298,1.0026957341669633,4976448,991232,524288,106502,0.6034448147600189,3931904,2583860,24,0,greedy,False,8e7950e0179122731d0283fd5c1bf1492511af61fed2f285d4a19017d45f245b
case_018,5,1004367.0,201201,201201,201688,4.991858887381276,4.991858887381276,1.0024204651070323,5316704,651264,524288,98304,0.6427086113498183,4382720,2436420,24,0,greedy,False,2e49084d8ed303aeaa4202d6f87d0e1636f931a8196e48459fd7b8ec4ef72777
case_019,1,81144.0,62370,62370,62396,1.301010101010101,1.301010101010101,1.0004168670835338,253952,253952,137760,131072,0.10157092730586587,32768,289844,15,0,greedy,False,659ec955e588f5501a9838878756074c2a50b92d01cddc2b8ffd38d02fbe7035
case_019,2,81144.0,37105,37105,37659,2.1868750842204556,2.1868750842204556,1.0149306023446976,712280,0,102944,97408,0.1413614019496209,81440,494672,24,0,greedy,False,59bc724be6efb90446e2f05001b749693e461be94161abef350ced25a7d6db83
case_019,3,81144.0,29109,29109,29109,2.787591466556735,2.787591466556735,1.0,24576,0,36864,55426,0.12057224718880624,24576,179252,24,0,greedy,False,779ada858356a49aed78ede6ae00b5f031e5d983569330ca488c2d860875334d
case_019,4,81144.0,22371,22371,22371,3.6271959232935496,3.6271959232935496,1.0,62500,0,36864,18432,0.03016616529382683,7200,231478,24,0,greedy,False,6839f7ad4e6bdc35a3560b40175a58def942ea7382aa1b591eb3014c7624a887
case_019,5,81144.0,17830,17830,17830,4.550981491867639,4.550981491867639,1.0,60004,0,36864,19968,0.13609402737697607,32352,205366,24,0,greedy,False,1534c959f92a01dd95512819e6f4bed7076c4ce6e9c6d07656aa357319f63285
case_020,1,532746.0,532746,532746,532746,1.0,1.0,1.0,0,0,0,32768,0.0,0,1179648,6,0,greedy,False,7ddee8492be9d4e50fbf482badb38b6b5fc65bf73aa53b9d8c47733aca95ef7d
case_020,2,532746.0,266580,266580,266580,1.9984469952734638,1.9984469952734638,1.0,0,0,0,32768,0.0,0,1179648,7,0,greedy,False,b5aa4bc571e7d6b6cb2edd77dc638955745ac3971fed1947f40d1b1cad2dbc7c
case_020,3,532746.0,177950,177950,177950,2.993796010115201,2.993796010115201,1.0,0,0,0,32768,0.0,0,1179648,15,0,greedy,False,c796469805e5d0eddd0592222b7bc532b69c597b57d6ae81be785628712e6671
case_020,4,532746.0,133704,133704,133704,3.984518039849219,3.984518039849219,1.0,0,0,0,32768,0.0,0,1179648,15,0,greedy,False,258dbb524a7c13e9b8ce597d8b1a8b39b96cd29b8e44f5d56333128394d1a295
case_020,5,532746.0,107650,107650,107650,4.948871342313051,4.948871342313051,1.0,0,0,0,32768,0.0,0,1179648,24,0,greedy,False,21b4f2bcfcd10672e44244329af010bcb18fe257d247e9057058fe7fdd09aa12
case_021,1,6567937.0,6558837,6558837,6567937,1.0013874410966457,1.0013874410966457,1.0013874410966457,4501504,4501504,524288,0,0.5005973715651135,3432448,3424256,7,0,greedy,False,75c76d7ca84bf5240860631260ea9acadc6a6a12f28c2b338762b8ba1f477e40
case_021,2,6567937.0,3193634,3193634,3194570,2.0565716046359728,2.0565716046359728,1.0002930830520969,3174400,1638400,524288,0,0.21777777777777776,1204224,4325376,23,0,greedy,False,70bd2b78c6d49d79ea068856701774a7f1d352836d0dfac2f8aa3c8156f3209a
case_021,3,6567937.0,2141468,2141468,2145064,3.0670255170752028,3.0670255170752028,1.001679221916928,11927552,7118848,524288,0,0.4712624584717608,5810176,6518784,24,0,greedy,False,c393e139ab3601d302b69555f9a4d3db257d4e138878d2ab718f71aed8d647e7
case_021,4,6567937.0,1550324,1550324,1550324,4.236493145948847,4.236493145948847,1.0,4608000,0,425984,0,0.0,0,6963200,24,0,greedy,False,aa5e3ecbb88cf3dc5293373b4001222a2303b9cea0c565b3c82d7bf86d08161f
case_021,5,6567937.0,1247669,1247669,1248538,5.264166217161764,5.264166217161764,1.00069649883102,12322816,2754560,524288,0,0.5804235030150049,8476672,6127616,24,0,greedy,False,b0193aa4c83a87bd2d8742b204c7434f12422d001c2db690b0e31a6c611db979
case_022,1,56780.0,56780,56780,56780,1.0,1.0,1.0,0,0,22528,94236,0.0,0,213540,8,0,greedy,False,eaf1cfb44676adb9e2de432e7d8b63d9a13928fb5cad53d4fd5288cfe6c4dcaf
case_022,2,56780.0,28228,28228,28228,2.011477965140995,2.011477965140995,1.0,90956,0,33536,82972,0.2269363726597529,66304,225866,24,0,greedy,False,b4c6bd4701b4e2910e61e7ba315a69eb30ee8669676932da7ed3e20d0bc85dc4
case_022,3,56780.0,18907,18907,18907,3.0031205373671126,3.0031205373671126,1.0,32288,0,22528,62472,0.05842871392584828,13824,222772,24,0,greedy,False,3c5eea1198531c922a9350d56abca6bedbc36e20e77ec81e40b8e446a90440c3
case_022,4,56780.0,14654,14654,14654,3.874709976798144,3.874709976798144,1.0,13824,0,22528,60424,0.060801182245210326,13824,213540,22,0,greedy,False,3c51cbe8a647f6aa6ac4271748c7898e3cc132c6bad3a042aa891ef32d747acc
case_022,5,56780.0,11685,11685,11685,4.859221223791185,4.859221223791185,1.0,20748,0,22528,62472,0.08850872026019925,20736,213546,24,0,greedy,False,1ee9d072603f539c780d131a04b5c21b9ac472d8354e392e98ba64f83e852301
