case,cores,singlecore_cycles,baseline_cycles,selected_cycles,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,peak_l1_bytes,peak_ub_bytes,strategy,source_plan,source_result
case_012,4,59088,17236,16548,3.57070340826686,172336,172336,0,28224,30728,band_w12_k4_trimmed,q2_optimization/transfer/case_012/n4/band_w12_k4_trimmed/case_012_multicore_res.json,q2_optimization/transfer/case_012/n4/band_w12_k4_trimmed/result.json.gz
case_012,5,59088,14300,14300,4.132027972027972,49536,49536,0,28224,30728,baseline,baseline_results/case_012/q2_n5/case_012_multicore_res.json,baseline_results/case_012/q2_n5/result.json.gz
case_013,2,263949,132198,132198,1.9966187083011846,8192,8192,0,20480,0,band_w4_k2_trimmed,q2_optimization/transfer/case_013/n2/band_w4_k2_trimmed/case_013_multicore_res.json,q2_optimization/transfer/case_013/n2/band_w4_k2_trimmed/result.json.gz
case_013,3,263949,88351,88351,2.98750438591527,16384,16384,0,20480,0,band_w4_k3_trimmed,q2_optimization/transfer/case_013/n3/band_w4_k3_trimmed/case_013_multicore_res.json,q2_optimization/transfer/case_013/n3/band_w4_k3_trimmed/result.json.gz
case_013,4,263949,66982,66982,3.9405959810098237,24576,24576,0,20480,0,band_w4_k4_trimmed,q2_optimization/transfer/case_013/n4/band_w4_k4_trimmed/case_013_multicore_res.json,q2_optimization/transfer/case_013/n4/band_w4_k4_trimmed/result.json.gz
case_013,5,263949,54363,54363,4.855305998565201,32768,32768,0,20480,0,baseline,baseline_results/case_013/q2_n5/case_013_multicore_res.json,baseline_results/case_013/q2_n5/result.json.gz
case_014,2,17698626,8891974,8810735,2.0087570446733447,68201188,9913060,58288128,523776,4870,band_w12_k2_trimmed,q2_optimization/transfer/case_014/n2/band_w12_k2_trimmed/case_014_multicore_res.json,q2_optimization/transfer/case_014/n2/band_w12_k2_trimmed/result.json.gz
case_014,3,17698626,5980632,5929977,2.984602807059791,73513820,18166964,55346856,523944,2206,band_w12_k3_trimmed,q2_optimization/transfer/case_014/n3/band_w12_k3_trimmed/case_014_multicore_res.json,q2_optimization/transfer/case_014/n3/band_w12_k3_trimmed/result.json.gz
case_014,4,17698626,4526660,4484418,3.9466940860553144,77920772,29739524,48181248,523776,2480,band_w12_k4_trimmed,q2_optimization/transfer/case_014/n4/band_w12_k4_trimmed/case_014_multicore_res.json,q2_optimization/transfer/case_014/n4/band_w12_k4_trimmed/result.json.gz
case_014,5,17698626,3694640,3643027,4.858219826534363,84785044,36384148,48400896,523776,1312,band_w12_k5,q2_optimization/band/case_014/n5/band_w12_k5/case_014_multicore_res.json,q2_optimization/band/case_014/n5/band_w12_k5/result.json.gz
