case,cores,singlecore_reference_cycles,first_stage_cycles,q3_l2_cycles,same_plan_no_l2_cycles,first_stage_speedup,speedup_vs_reference,same_plan_l2_gain,added_copy_bytes,spill_added_copy_bytes,peak_l1_bytes,peak_ub_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,official_search_calls,invalid_candidates,selected,branch_called,plan_sha256
case_045,5,125614.0,26164,26164,26164,4.801024308209754,4.801024308209754,1.0,0,0,0,32768,0.0,0,278528,24,0,greedy,False,f965974b60ae15d5b329c6581bf536014af93eeee56db590fb128df6b6830aed
case_046,5,276455.0,62857,62857,83374,4.398157723085735,4.398157723085735,1.3264075600171819,2840352,0,180736,0,0.3649887504617348,1391232,2420480,24,0,greedy,False,b6fe3f467e1423b657e9ce33e81d1ea20115321bf504c63729c834073c57c4ec
case_047,5,326508.0,90802,90802,94714,3.595823880531266,3.595823880531266,1.0430827514812449,2392856,0,11456,8164,0.5558310854860439,1103248,881614,58,0,greedy,True,9c7ec726107c4a8802893b3b7ac2c2bc7d13a29d63f815cc5ec5d5ec1b2a1e1d
case_048,5,222220.0,93685,93685,93690,2.3719912472647704,2.3719912472647704,1.000053370336767,634002,0,8704,10308,0.14301576394905346,114892,688460,54,0,greedy,True,f0e96b251d83b26421f32246b55e05ae45acb0ad85aa80b987e34202e5cd56d0
case_049,5,196276.0,80923,80923,82624,2.4254661839032168,2.4254661839032168,1.0210199819581578,2057776,0,49280,95778,0.22083416366386477,270392,954020,54,0,greedy,True,30def31e7d0ed256843fbfc25aec744814e63606dd2cc4aa1dd67ee2e030d102
case_050,5,149690.0,40643,40643,40755,3.683045050808257,3.683045050808257,1.0027557020889206,958336,0,15104,65576,0.382791333758995,354918,572266,55,0,greedy,True,d82ae0f3b614a5e9218cfa720de1669448658f8a3005968013fa04dce17e1f6e
case_051,5,607628.0,178135,178135,178135,3.4110534145451483,3.4110534145451483,1.0,1140,0,98304,65540,0.00023362943324546835,92,393694,54,0,greedy,True,7b83a20882e72b208fd7d64f5aec05e7983e9f7b6ddae8580a2f5987e001285d
case_052,5,180301.0,37921,37921,37973,4.754647820468869,4.754647820468869,1.0013712718546453,808648,0,101376,67620,0.19832126020466828,275968,1115552,24,0,greedy,False,e7815671ea21b85bd9495a8f406e5186a09e6542d945d348f932f0d07a60fed9
case_053,5,1472686.0,350677,349110,374960,4.199551153910864,4.218401077024433,1.0740454298072242,12791538,0,198656,39888,0.3051775603632614,3647600,8304786,23,0,feedback,False,b9e0fc184cf385eb8d6e01bc6d37f57283888d4dc8ac8ddfeb749b9f721d020f
case_054,5,815051.0,198945,198945,202096,4.0968659679811,4.0968659679811,1.0158385483425068,2922392,0,101376,19124,0.3446998185438639,1186130,2254922,24,0,greedy,False,ffc6b41b4131fb7743546c8b9b5be7a06c3a5d9ce698bdb28fc0cadce8a827f9
case_055,5,118835.0,26781,26781,26781,4.437287629289422,4.437287629289422,1.0,198656,0,40960,65544,0.24098560316759426,198656,625692,24,0,greedy,False,a6afa25f375def8648fecca45c4b9cce34bcbd0469ed628bc06af0994beda8c1
case_056,5,277285.0,93868,93868,96721,2.9539885797076746,2.9539885797076746,1.0303937444070397,3976084,0,18048,50250,0.30292541793528865,704012,1620032,54,0,greedy,True,2e21a92b3d33914ee1c2edee3ccd18c6d664a0d929f8b724297d349829e359a3
case_057,5,59726.0,16538,15107,15107,3.6114403192647235,3.9535314754749455,1.0,27936,0,17568,69644,0.0007900714356256378,288,364236,54,0,branch,True,261366d8d00d45962e3890c0118ce72030650a56ee03fc6ea61690c97398f299
case_058,5,4539717.0,927815,927815,948537,4.8929118412614585,4.8929118412614585,1.0223341937778545,30195712,8454144,524288,0,0.2763920085116444,9576448,25071616,15,0,greedy,False,726ddd257cb8ee92e0e228e823bb3bcae1240778542b8b06752807475e17c09b
case_059,5,829473.0,150736,150736,150782,5.502819498991615,5.502819498991615,1.0003051693026217,4325376,0,520192,0,0.7378787878787879,3989504,1417216,24,0,greedy,False,33d21a9aecd3b52b1777744d15b578d06ef2cd7e114f9f41e1749722eb2d7be4
case_060,5,888789.0,182784,182784,183272,4.862509847689076,4.862509847689076,1.002669817927171,4290948,81920,452608,122894,0.5447589344933716,3480832,2908842,24,0,greedy,False,0f40f77c5a8eb77a33f598e857e68abed2bf610796359ef2cdc2dd93da159954
case_061,5,77191.0,20739,20739,20757,3.7220213125030135,3.7220213125030135,1.0008679299869812,157028,0,45312,16414,0.1936428115735355,134160,558662,54,0,greedy,True,d69fbe7fb563eca488a3fc0c1c4275fbcd31ccccb6ae0e3051f28d64a19e75e6
case_062,5,2854809.0,567755,567755,567755,5.028241054680276,5.028241054680276,1.0,15037440,251904,514560,130560,0.0036957191253464737,92160,24844800,11,0,greedy,False,6de64c375afd62062acab99d74426beac403275a1ee81a82a01e9716c21367d3
case_063,5,1070397.0,212149,212149,212149,5.04549632569562,5.04549632569562,1.0,5555712,0,196608,67584,0.0034676354029062086,32256,9269760,24,0,greedy,False,8a4fba57af8207f1cc91222f8d386630eedb8a6e38f915c03b2365178e3a1ad2
case_064,5,19116.0,10292,10292,10292,1.85736494364555,1.85736494364555,1.0,83728,0,8288,2916,0.30798470165888453,26252,58986,54,0,greedy,True,c6fc2db40ffb067ccd106c3a3571be05cb7cff8ed0207881c38bfb18afdc597f
case_065,5,53068.0,10740,10740,11381,4.941154562383613,4.941154562383613,1.059683426443203,55584,0,49024,40976,0.156440681782361,55584,299720,24,0,greedy,False,68a8791f4c68c68297e2c7eadd039c4e1a075eced79c9dd0331f1ae6f3271485
