case,cores,A_speedup,A_makespan_cycles,A_added_copy_bytes,A_spill_added_copy_bytes,B_speedup,B_makespan_cycles,B_added_copy_bytes,B_spill_added_copy_bytes
case_037,2,1.992910964754114,105374.0,204800.0,0.0,1.992910964754114,105374.0,204800.0,0.0
case_037,3,2.836394824279424,74038.0,1064960.0,0.0,2.836394824279424,74038.0,1064960.0,0.0
case_037,4,3.938503375843961,53320.0,614400.0,0.0,3.8198668509895226,54976.0,532480.0,0.0
case_037,5,4.794543378995434,43800.0,1925120.0,0.0,4.678124303853865,44890.0,655360.0,0.0
case_038,2,1.996542587046187,683459.0,6094848.0,4240896.0,1.996542587046187,683459.0,6094848.0,4240896.0
case_038,3,2.9530964603225445,462076.0,7942656.0,3323904.0,2.9530964603225445,462076.0,7942656.0,3323904.0
case_038,4,3.9394512416926974,346382.0,8761344.0,2565120.0,3.91758896401246,348315.0,8252564.0,2232320.0
case_038,5,4.857467811006019,280919.0,9070080.0,1477632.0,4.6748145737337055,291895.0,9579520.0,847872.0
case_039,2,2.025601183243221,708561.0,11067392.0,6864896.0,2.0139788114782853,712650.0,8159232.0,6922240.0
case_039,3,2.9558596686334475,485565.0,14323712.0,5918720.0,2.524545181109647,568523.0,15192064.0,5976064.0
case_039,4,3.6306058590064327,395323.0,17604608.0,4997120.0,3.902522717508932,367778.0,12492800.0,6103040.0
case_039,5,3.3288307615948565,431161.0,20480000.0,3670016.0,3.3288307615948565,431161.0,20480000.0,3670016.0
case_040,2,1.7597672658598735,144027.0,12288.0,0.0,1.7597672658598735,144027.0,12288.0,0.0
case_040,3,2.301929975932065,110105.0,0.0,0.0,2.301929975932065,110105.0,0.0,0.0
case_040,4,2.2999038129979494,110202.0,53760.0,0.0,2.2999038129979494,110202.0,53760.0,0.0
case_040,5,2.2970898248094476,110337.0,66048.0,0.0,2.2970898248094476,110337.0,66048.0,0.0
case_041,2,1.9993303327623457,3002984.0,30557184.0,25847808.0,1.9729914464753229,3043073.0,23538096.0,21516288.0
case_041,3,3.0044045566795186,1998385.0,34762752.0,24975360.0,3.0039145229100157,1998711.0,34737276.0,24736768.0
case_041,4,3.999204016817559,1501288.0,34759680.0,21055488.0,3.9269936306898976,1528894.0,24485928.0,16074752.0
case_041,5,4.948619379703756,1213259.0,38200320.0,19897344.0,4.967214823651855,1208717.0,39054488.0,20263936.0
case_042,2,1.9854815034542346,849537.0,6469920.0,4417536.0,1.9854815034542346,849537.0,6469920.0,4417536.0
case_042,3,2.97075809158813,567781.0,8368416.0,4263936.0,2.97075809158813,567781.0,8368416.0,4263936.0
case_042,4,3.7945455404405233,444517.0,8168736.0,2626560.0,3.7945455404405233,444517.0,8168736.0,2626560.0
case_042,5,4.656081442917635,362266.0,10073088.0,2171904.0,4.656081442917635,362266.0,10073088.0,2171904.0
case_043,2,1.918743293023045,353177.0,385024.0,16384.0,1.918743293023045,353177.0,385024.0,16384.0
case_043,3,2.521257399256633,268777.0,279560.0,49160.0,2.521257399256633,268777.0,279560.0,49160.0
case_043,4,2.892010925230454,234320.0,6799890.0,33792.0,2.517351798331315,269194.0,648200.0,49160.0
case_043,5,3.142854492667588,215618.0,6880736.0,33792.0,2.5134489562779105,269612.0,1155080.0,49160.0
