case,cores,singlecore_cycles,baseline_cycles,selected_cycles,speedup,added_copy_bytes,strategy,source_plan
case_009,2,153261,92198,91777,1.6699281955173955,490242,valley_merge_32_heft,q1_optimization/case_009/n2/valley_merge_32_heft/case_009_multicore_res.json
case_009,3,153261,92207,69092,2.218216291321716,634496,valley_merge_32_heft,q1_optimization/case_009/n3/valley_merge_32_heft/case_009_multicore_res.json
case_009,4,153261,92216,57977,2.643479310761164,702550,valley_merge_32_heft,q1_optimization/case_009/n4/valley_merge_32_heft/case_009_multicore_res.json
case_009,5,153261,92225,51785,2.959563580187313,777248,valley_merge_32_heft,q1_optimization/case_009/n5/valley_merge_32_heft/case_009_multicore_res.json
case_010,2,86969,45272,45272,1.9210328679978794,48384,baseline,baseline_results/case_010/q1_n2/case_010_multicore_res.json
case_010,3,86969,30856,30856,2.8185442053409386,48384,baseline,baseline_results/case_010/q1_n3/case_010_multicore_res.json
case_010,4,86969,29856,29856,2.9129488210075025,96768,baseline,baseline_results/case_010/q1_n4/case_010_multicore_res.json
case_010,5,86969,31015,29856,2.9129488210075025,96768,baseline_k4,q1_optimization/case_010/n5/baseline_k4/case_010_multicore_res.json
case_011,2,184697,92646,92646,1.9935777043801135,180224,baseline,baseline_results/case_011/q1_n2/case_011_multicore_res.json
case_011,3,184697,69625,69625,2.6527396768402154,1081344,baseline,baseline_results/case_011/q1_n3/case_011_multicore_res.json
case_011,4,184697,46880,46880,3.9397824232081913,540672,baseline,baseline_results/case_011/q1_n4/case_011_multicore_res.json
case_011,5,184697,47287,47287,3.905872649988369,1622016,baseline,baseline_results/case_011/q1_n5/case_011_multicore_res.json
case_012,2,59088,30094,30094,1.9634478633614674,28800,baseline,baseline_results/case_012/q1_n2/case_012_multicore_res.json
case_012,3,59088,21894,21894,2.6988215949575225,20160,baseline,baseline_results/case_012/q1_n3/case_012_multicore_res.json
case_012,4,59088,17236,17236,3.42817359016013,39168,baseline,baseline_results/case_012/q1_n4/case_012_multicore_res.json
case_012,5,59088,14300,14300,4.132027972027972,49536,baseline,baseline_results/case_012/q1_n5/case_012_multicore_res.json
case_013,2,263949,132198,132198,1.9966187083011846,8192,baseline,baseline_results/case_013/q1_n2/case_013_multicore_res.json
case_013,3,263949,88351,88351,2.98750438591527,16384,baseline,baseline_results/case_013/q1_n3/case_013_multicore_res.json
case_013,4,263949,66982,66982,3.9405959810098237,24576,baseline,baseline_results/case_013/q1_n4/case_013_multicore_res.json
case_013,5,263949,54363,54363,4.855305998565201,32768,baseline,baseline_results/case_013/q1_n5/case_013_multicore_res.json
case_014,2,17698626,8891974,8891974,1.990404605321608,71575992,baseline,baseline_results/case_014/q1_n2/case_014_multicore_res.json
case_014,3,17698626,5980632,5980632,2.9593236968935726,77640360,baseline,baseline_results/case_014/q1_n3/case_014_multicore_res.json
case_014,4,17698626,4526660,4526660,3.9098642266041628,82469784,baseline,baseline_results/case_014/q1_n4/case_014_multicore_res.json
case_014,5,17698626,3694640,3694640,4.790351969339367,87765000,baseline,baseline_results/case_014/q1_n5/case_014_multicore_res.json
case_015,2,177362,92411,92411,1.9192736795403145,224536,baseline,baseline_results/case_015/q1_n2/case_015_multicore_res.json
case_015,3,177362,60807,60807,2.916802341835644,306448,baseline,baseline_results/case_015/q1_n3/case_015_multicore_res.json
case_015,4,177362,53421,53421,3.320080118305535,263936,baseline,baseline_results/case_015/q1_n4/case_015_multicore_res.json
case_015,5,177362,43437,43437,4.083200957708866,321536,baseline,baseline_results/case_015/q1_n5/case_015_multicore_res.json
case_016,2,7715523,7715523,4550194,1.6956470427414743,119554128,fork_join_heft,q1_optimization/case_016/n2/fork_join_heft/case_016_multicore_res.json
case_016,3,7715523,7715523,3712678,2.0781557140155975,119554736,fork_join_heft,q1_optimization/case_016/n3/fork_join_heft/case_016_multicore_res.json
case_016,4,7715523,7715523,3241338,2.380351262349067,119555344,fork_join_heft,q1_optimization/case_016/n4/fork_join_heft/case_016_multicore_res.json
case_016,5,7715523,7715523,3223183,2.3937589023024755,119555952,fork_join_heft,q1_optimization/case_016/n5/fork_join_heft/case_016_multicore_res.json
case_017,2,162810,87680,87680,1.8568658759124088,87552,baseline,baseline_results/case_017/q1_n2/case_017_multicore_res.json
case_017,3,162810,58579,58579,2.7793236484064257,175104,baseline,baseline_results/case_017/q1_n3/case_017_multicore_res.json
case_017,4,162810,42384,42384,3.841308040770102,259200,baseline,baseline_results/case_017/q1_n4/case_017_multicore_res.json
case_017,5,162810,35496,35496,4.586713995943205,340992,baseline,baseline_results/case_017/q1_n5/case_017_multicore_res.json
case_018,2,1004367,502105,502105,2.0003126836020355,3191808,baseline,baseline_results/case_018/q1_n2/case_018_multicore_res.json
case_018,3,1004367,338272,338272,2.969110656513102,3867008,baseline,baseline_results/case_018/q1_n3/case_018_multicore_res.json
case_018,4,1004367,258133,258133,3.89088958017766,4853504,baseline,baseline_results/case_018/q1_n4/case_018_multicore_res.json
case_018,5,1004367,203865,203865,4.926627915532338,5693440,baseline,baseline_results/case_018/q1_n5/case_018_multicore_res.json
case_019,2,81144,43224,43224,1.8772903942254304,27168,baseline,baseline_results/case_019/q1_n2/case_019_multicore_res.json
case_019,3,81144,29121,29121,2.7864427732564128,24576,baseline,baseline_results/case_019/q1_n3/case_019_multicore_res.json
case_019,4,81144,24099,24099,3.3671106684924688,51744,baseline,baseline_results/case_019/q1_n4/case_019_multicore_res.json
case_019,5,81144,24169,24169,3.357358599859324,73728,baseline,baseline_results/case_019/q1_n5/case_019_multicore_res.json
case_020,2,532746,266580,266580,1.9984469952734638,0,baseline,baseline_results/case_020/q1_n2/case_020_multicore_res.json
case_020,3,532746,177950,177950,2.993796010115201,0,baseline,baseline_results/case_020/q1_n3/case_020_multicore_res.json
case_020,4,532746,133704,133704,3.984518039849219,0,baseline,baseline_results/case_020/q1_n4/case_020_multicore_res.json
case_020,5,532746,107650,107650,4.948871342313051,0,baseline,baseline_results/case_020/q1_n5/case_020_multicore_res.json
case_021,2,6567937,3194570,3194570,2.0559690349561914,3174400,baseline,baseline_results/case_021/q1_n2/case_021_multicore_res.json
case_021,3,6567937,2144024,2144024,3.063369160046716,7766016,baseline,baseline_results/case_021/q1_n3/case_021_multicore_res.json
case_021,4,6567937,1550324,1550324,4.236493145948847,4608000,baseline,baseline_results/case_021/q1_n4/case_021_multicore_res.json
case_021,5,6567937,1250168,1250168,5.253643510312214,11431936,baseline,baseline_results/case_021/q1_n5/case_021_multicore_res.json
case_022,2,56780,28333,28333,2.004023576747962,6912,baseline,baseline_results/case_022/q1_n2/case_022_multicore_res.json
case_022,3,56780,19128,19128,2.968423253868674,13824,baseline,baseline_results/case_022/q1_n3/case_022_multicore_res.json
case_022,4,56780,14654,14654,3.874709976798144,13824,baseline,baseline_results/case_022/q1_n4/case_022_multicore_res.json
case_022,5,56780,11828,11828,4.800473452823808,20736,baseline,baseline_results/case_022/q1_n5/case_022_multicore_res.json
case_023,2,122614,61227,61227,2.0026132261910594,84384,baseline,baseline_results/case_023/q1_n2/case_023_multicore_res.json
