case,cores,singlecore_cycles,baseline_cycles,selected_cycles,speedup,added_copy_bytes,strategy,source_plan
case_053,4,1472686,492232,490398,3.0030424267635674,8579742,band_12,q1_optimization/case_053/n4/band_12/case_053_multicore_res.json
case_053,5,1472686,492699,442938,3.324812953505908,9668230,band_12,q1_optimization/case_053/n5/band_12/case_053_multicore_res.json
case_054,2,815051,517960,434781,1.8746242361096737,1279424,valley_merge_32_heft,q1_optimization/case_054/n2/valley_merge_32_heft/case_054_multicore_res.json
case_054,3,815051,517986,299804,2.718612827047004,1872156,valley_merge_32_heft,q1_optimization/case_054/n3/valley_merge_32_heft/case_054_multicore_res.json
case_054,4,815051,518015,271073,3.006758327092702,1801590,valley_merge_32_heft,q1_optimization/case_054/n4/valley_merge_32_heft/case_054_multicore_res.json
case_054,5,815051,518133,199283,4.089917353713061,2566484,valley_merge_32_heft,q1_optimization/case_054/n5/valley_merge_32_heft/case_054_multicore_res.json
case_055,2,118835,65764,65764,1.8069916671735295,57856,baseline,baseline_results_29_55/case_055/q1_n2/case_055_multicore_res.json
case_055,3,118835,43687,43687,2.7201455810653057,115712,baseline,baseline_results_29_55/case_055/q1_n3/case_055_multicore_res.json
case_055,4,118835,31367,31367,3.788535722255874,115712,baseline,baseline_results_29_55/case_055/q1_n4/case_055_multicore_res.json
case_055,5,118835,26781,26781,4.437287629289422,198656,baseline,baseline_results_29_55/case_055/q1_n5/case_055_multicore_res.json
case_056,2,277285,265710,152979,1.8125690454245353,640558,valley_merge_40_heft,q1_optimization/case_056/n2/valley_merge_40_heft/case_056_multicore_res.json
case_056,3,277285,265728,104740,2.6473649035707467,807572,valley_merge_40_heft,q1_optimization/case_056/n3/valley_merge_40_heft/case_056_multicore_res.json
case_056,4,277285,265746,85671,3.2366261628789204,897874,valley_merge_40_heft,q1_optimization/case_056/n4/valley_merge_40_heft/case_056_multicore_res.json
case_056,5,277285,265764,75870,3.6547383682615,1048300,valley_merge_40_heft,q1_optimization/case_056/n5/valley_merge_40_heft/case_056_multicore_res.json
case_057,2,59726,33730,33730,1.7707085680403203,288,baseline,baseline_results_56_100/case_057/q1_n2/case_057_multicore_res.json
case_057,3,59726,25250,25250,2.3653861386138613,288,baseline,baseline_results_56_100/case_057/q1_n3/case_057_multicore_res.json
case_057,4,59726,20957,20957,2.8499308107076393,288,baseline,baseline_results_56_100/case_057/q1_n4/case_057_multicore_res.json
case_057,5,59726,16538,16538,3.6114403192647235,27936,baseline,baseline_results_56_100/case_057/q1_n5/case_057_multicore_res.json
case_058,2,4539717,2271316,2271316,1.9987166030618373,33431552,baseline,baseline_results_56_100/case_058/q1_n2/case_058_multicore_res.json
case_058,3,4539717,1554831,1554831,2.9197494775959574,30400512,baseline,baseline_results_56_100/case_058/q1_n3/case_058_multicore_res.json
case_058,4,4539717,1154519,1154519,3.9321284448328697,42622976,baseline,baseline_results_56_100/case_058/q1_n4/case_058_multicore_res.json
case_058,5,4539717,1004819,1004819,4.517945022934478,32104448,baseline,baseline_results_56_100/case_058/q1_n5/case_058_multicore_res.json
case_059,2,829473,369318,369318,2.2459587672412393,360448,baseline,baseline_results_56_100/case_059/q1_n2/case_059_multicore_res.json
case_059,3,829473,266217,266217,3.1157777301975456,2998272,baseline,baseline_results_56_100/case_059/q1_n3/case_059_multicore_res.json
case_059,4,829473,185216,185216,4.478408992743607,1081344,baseline,baseline_results_56_100/case_059/q1_n4/case_059_multicore_res.json
case_059,5,829473,150782,150782,5.501140719714555,4325376,baseline,baseline_results_56_100/case_059/q1_n5/case_059_multicore_res.json
case_060,2,888789,469437,469437,1.8933083672569482,2768912,baseline,baseline_results_56_100/case_060/q1_n2/case_060_multicore_res.json
case_060,3,888789,334622,334622,2.656098523109658,3439756,baseline,baseline_results_56_100/case_060/q1_n3/case_060_multicore_res.json
case_060,4,888789,229383,229383,3.8746942885915696,3699968,baseline,baseline_results_56_100/case_060/q1_n4/case_060_multicore_res.json
case_060,5,888789,183272,183272,4.849562399057139,4290944,baseline,baseline_results_56_100/case_060/q1_n5/case_060_multicore_res.json
case_061,2,77191,39299,39299,1.9641975622789385,34560,baseline,baseline_results_56_100/case_061/q1_n2/case_061_multicore_res.json
case_061,3,77191,28409,28409,2.7171318948220633,43008,baseline,baseline_results_56_100/case_061/q1_n3/case_061_multicore_res.json
case_061,4,77191,27166,27166,2.8414562320547745,62208,baseline,baseline_results_56_100/case_061/q1_n4/case_061_multicore_res.json
case_061,5,77191,22283,22283,3.46412063007674,83712,baseline,baseline_results_56_100/case_061/q1_n5/case_061_multicore_res.json
case_062,2,2854809,2854809,1506870,1.8945290569193096,6700032,first_join,q1_optimization/case_062/n2/first_join/case_062_multicore_res.json
case_062,3,2854809,2854809,1031305,2.7681520015902183,6700032,first_join,q1_optimization/case_062/n3/first_join/case_062_multicore_res.json
case_062,4,2854809,2854809,794216,3.5944994812494335,6700032,first_join,q1_optimization/case_062/n4/first_join/case_062_multicore_res.json
case_062,5,2854809,2854809,651747,4.380241105827875,6700032,first_join,q1_optimization/case_062/n5/first_join/case_062_multicore_res.json
case_063,2,1070397,1070397,565710,1.8921302434109348,2509824,first_join,q1_optimization/case_063/n2/first_join/case_063_multicore_res.json
case_063,3,1070397,1070397,387925,2.759288522265902,2509824,first_join,q1_optimization/case_063/n3/first_join/case_063_multicore_res.json
case_063,4,1070397,1070397,299084,3.57891762849233,2509824,first_join,q1_optimization/case_063/n4/first_join/case_063_multicore_res.json
case_063,5,1070397,1070397,245593,4.358418195958354,2509824,first_join,q1_optimization/case_063/n5/first_join/case_063_multicore_res.json
case_064,2,19116,19116,14655,1.3044012282497441,69918,valley_merge_32_heft,q1_optimization/case_064/n2/valley_merge_32_heft/case_064_multicore_res.json
case_064,3,19116,19116,12379,1.5442281282817676,94124,valley_merge_32_heft,q1_optimization/case_064/n3/valley_merge_32_heft/case_064_multicore_res.json
case_064,4,19116,19116,10810,1.7683626271970398,103002,valley_merge_32_heft,q1_optimization/case_064/n4/valley_merge_32_heft/case_064_multicore_res.json
case_064,5,19116,19116,10789,1.7718046158124015,104956,valley_merge_32_heft,q1_optimization/case_064/n5/valley_merge_32_heft/case_064_multicore_res.json
case_065,2,53068,26928,26928,1.970736779560309,13968,baseline,baseline_results_56_100/case_065/q1_n2/case_065_multicore_res.json
case_065,3,53068,18165,18165,2.921442334159097,27792,baseline,baseline_results_56_100/case_065/q1_n3/case_065_multicore_res.json
case_065,4,53068,14502,14502,3.659357330023445,41616,baseline,baseline_results_56_100/case_065/q1_n4/case_065_multicore_res.json
case_065,5,53068,12156,12156,4.365580783152352,55584,baseline,baseline_results_56_100/case_065/q1_n5/case_065_multicore_res.json
case_066,2,359070,248146,192471,1.8655797496765747,1023986,valley_merge_40_heft,q1_optimization/case_066/n2/valley_merge_40_heft/case_066_multicore_res.json
case_066,3,359070,248976,144642,2.4824739702161196,1786680,valley_merge_40_heft,q1_optimization/case_066/n3/valley_merge_40_heft/case_066_multicore_res.json
case_066,4,359070,249811,116659,3.0779451221080243,1829470,valley_merge_40_heft,q1_optimization/case_066/n4/valley_merge_40_heft/case_066_multicore_res.json
case_066,5,359070,250449,100171,3.584570384642262,2062280,valley_merge_40_heft,q1_optimization/case_066/n5/valley_merge_40_heft/case_066_multicore_res.json
case_067,2,63834834,33768704,32117600,1.987534373676738,267491584,mask_band_32,q1_optimization/case_067/n2/mask_band_32/case_067_multicore_res.json
case_067,3,63834834,23568859,22946938,2.781845403513096,267491584,mask_band_32,q1_optimization/case_067/n3/mask_band_32/case_067_multicore_res.json
case_067,4,63834834,18473155,17920570,3.562098415396385,267491584,mask_band_32,q1_optimization/case_067/n4/mask_band_32/case_067_multicore_res.json
case_067,5,63834834,15931687,14688788,4.34582036312322,267491584,mask_band_32,q1_optimization/case_067/n5/mask_band_32/case_067_multicore_res.json
case_068,2,362095,302408,202361,1.7893517031443806,1622266,valley_merge_40_heft,q1_optimization/case_068/n2/valley_merge_40_heft/case_068_multicore_res.json
case_068,3,362095,303144,162542,2.2277011480109756,2777022,valley_merge_40_heft,q1_optimization/case_068/n3/valley_merge_40_heft/case_068_multicore_res.json
case_068,4,362095,303921,126754,2.8566751345125203,2830514,valley_merge_40_heft,q1_optimization/case_068/n4/valley_merge_40_heft/case_068_multicore_res.json
case_068,5,362095,304058,130967,2.7647804408744188,3025948,valley_merge_32_heft,q1_optimization/case_068/n5/valley_merge_32_heft/case_068_multicore_res.json
case_069,2,25144,25144,15079,1.6674845812056502,166470,terminal_branch_heft,q1_optimization/case_069/n2/terminal_branch_heft/case_069_multicore_res.json
case_069,3,25144,25144,11285,2.2280903854674348,218794,terminal_branch_heft,q1_optimization/case_069/n3/terminal_branch_heft/case_069_multicore_res.json
case_069,4,25144,25144,11326,2.220024721878863,271118,terminal_branch_heft,q1_optimization/case_069/n4/terminal_branch_heft/case_069_multicore_res.json
case_069,5,25144,25144,9133,2.75309317858316,267954,terminal_branch_heft,q1_optimization/case_069/n5/terminal_branch_heft/case_069_multicore_res.json
case_070,2,117300,58525,58525,2.0042716787697565,129536,baseline,baseline_results_56_100/case_070/q1_n2/case_070_multicore_res.json
case_070,3,117300,45661,45661,2.568931911259061,259072,baseline,baseline_results_56_100/case_070/q1_n3/case_070_multicore_res.json
case_070,4,117300,36336,36336,3.228203434610304,360960,baseline,baseline_results_56_100/case_070/q1_n4/case_070_multicore_res.json
case_070,5,117300,27664,27664,4.240167727009832,462848,baseline,baseline_results_56_100/case_070/q1_n5/case_070_multicore_res.json
case_071,2,18919,18919,12639,1.4968747527494264,117990,terminal_branch,q1_optimization/case_071/n2/terminal_branch/case_071_multicore_res.json
case_071,3,18919,18919,10106,1.8720562042351079,193450,terminal_branch,q1_optimization/case_071/n3/terminal_branch/case_071_multicore_res.json
case_071,4,18919,18919,9190,2.0586507072905333,185678,terminal_branch,q1_optimization/case_071/n4/terminal_branch/case_071_multicore_res.json
case_071,5,18919,18919,7854,2.4088362617774384,233394,terminal_branch,q1_optimization/case_071/n5/terminal_branch/case_071_multicore_res.json
case_072,2,23897828,11833111,11833111,2.0195727057745,113945376,baseline,baseline_results_71_78/case_072/q1_n2/case_072_multicore_res.json
case_072,3,23897828,7945629,7945629,3.007669751507401,114002720,baseline,baseline_results_71_78/case_072/q1_n3/case_072_multicore_res.json
case_072,4,23897828,5994354,5994354,3.9867228395253265,122293024,baseline,baseline_results_71_78/case_072/q1_n4/case_072_multicore_res.json
case_072,5,23897828,4863110,4863110,4.9141039376037146,121488048,baseline,baseline_results_71_78/case_072/q1_n5/case_072_multicore_res.json
case_073,2,10081626,5980423,5326965,1.8925647155556682,142379264,mask_band_32,q1_optimization/case_073/n2/mask_band_32/case_073_multicore_res.json
case_073,3,10081626,4515227,4515227,2.232806013961203,140671616,baseline,baseline_results_71_78/case_073/q1_n3/case_073_multicore_res.json
case_073,4,10081626,3903787,3812826,2.6441348228321986,142379264,mask_band_32,q1_optimization/case_073/n4/mask_band_32/case_073_multicore_res.json
case_073,5,10081626,3517515,3435158,2.934836185118705,142379264,mask_band_32,q1_optimization/case_073/n5/mask_band_32/case_073_multicore_res.json
case_074,2,1682239,822510,822510,2.0452505136715664,7077888,baseline,baseline_results_71_78/case_074/q1_n2/case_074_multicore_res.json
case_074,3,1682239,553814,553814,3.0375523190096314,7614464,baseline,baseline_results_71_78/case_074/q1_n3/case_074_multicore_res.json
case_074,4,1682239,423088,423088,3.9760971712740614,8429568,baseline,baseline_results_71_78/case_074/q1_n4/case_074_multicore_res.json
case_074,5,1682239,347042,347042,4.847364295964177,9035776,baseline,baseline_results_71_78/case_074/q1_n5/case_074_multicore_res.json
case_075,2,1441809,1441809,777727,1.8538754601550416,2560982,valley_merge_32_heft,q1_optimization/case_075/n2/valley_merge_32_heft/case_075_multicore_res.json
case_075,3,1441809,1441809,670080,2.151696812320917,3844608,valley_merge_32_heft,q1_optimization/case_075/n3/valley_merge_32_heft/case_075_multicore_res.json
case_075,4,1441809,1441809,469639,3.0700367729255875,4409642,valley_merge_32_heft,q1_optimization/case_075/n4/valley_merge_32_heft/case_075_multicore_res.json
case_075,5,1441809,1441809,388059,3.7154376009833556,5348052,valley_merge_32_heft,q1_optimization/case_075/n5/valley_merge_32_heft/case_075_multicore_res.json
case_076,2,6185113,3069464,3069464,2.015046600970072,30744576,baseline,baseline_results_71_78/case_076/q1_n2/case_076_multicore_res.json
case_076,3,6185113,2061609,2061609,3.0001387265965564,35117056,baseline,baseline_results_71_78/case_076/q1_n3/case_076_multicore_res.json
case_076,4,6185113,1550155,1550155,3.9899964842225453,35703808,baseline,baseline_results_71_78/case_076/q1_n4/case_076_multicore_res.json
case_076,5,6185113,1238120,1238120,4.995568280942074,37194752,baseline,baseline_results_71_78/case_076/q1_n5/case_076_multicore_res.json
case_077,2,495320,250735,250735,1.9754721119907472,57344,baseline,baseline_results_71_78/case_077/q1_n2/case_077_multicore_res.json
case_077,3,495320,178739,178739,2.771191513883372,114688,baseline,baseline_results_71_78/case_077/q1_n3/case_077_multicore_res.json
case_077,4,495320,144734,144734,3.4222781101883455,172032,baseline,baseline_results_71_78/case_077/q1_n4/case_077_multicore_res.json
case_077,5,495320,121081,121081,4.090815239385205,172032,baseline,baseline_results_71_78/case_077/q1_n5/case_077_multicore_res.json
case_078,2,2296143,1260358,1104028,2.0797869256939134,15629184,mask_band_32,q1_optimization/case_078/n2/mask_band_32/case_078_multicore_res.json
case_078,3,2296143,993959,764960,3.001651066722443,15629184,mask_band_32,q1_optimization/case_078/n3/mask_band_32/case_078_multicore_res.json
case_078,4,2296143,690924,641964,3.5767472942407985,15629184,mask_band_32,q1_optimization/case_078/n4/mask_band_32/case_078_multicore_res.json
case_078,5,2296143,663941,512732,4.478251796260034,15629184,mask_band_32,q1_optimization/case_078/n5/mask_band_32/case_078_multicore_res.json
case_079,2,31052251,15446486,15446486,2.010311665708304,31780864,baseline,baseline_results_79_85/case_079/q1_n2/case_079_multicore_res.json
case_079,3,31052251,10181692,10181692,3.049812447675691,39960576,baseline,baseline_results_79_85/case_079/q1_n3/case_079_multicore_res.json
case_079,4,31052251,7635624,7635624,4.066760097144647,30445568,baseline,baseline_results_79_85/case_079/q1_n4/case_079_multicore_res.json
case_079,5,31052251,6075976,6075976,5.110660575354478,47677440,baseline,baseline_results_79_85/case_079/q1_n5/case_079_multicore_res.json
case_080,2,292138,145926,145926,2.0019598974822856,2191360,baseline,baseline_results_79_85/case_080/q1_n2/case_080_multicore_res.json
case_080,3,292138,100325,100325,2.9119162721156244,3047424,baseline,baseline_results_79_85/case_080/q1_n3/case_080_multicore_res.json
case_080,4,292138,111314,100325,2.9119162721156244,3047424,baseline_k3,q1_optimization/case_080/n4/baseline_k3/case_080_multicore_res.json
case_080,5,292138,113455,100325,2.9119162721156244,3047424,baseline_k3,q1_optimization/case_080/n5/baseline_k3/case_080_multicore_res.json
case_081,2,151795,76860,76860,1.9749544626593807,0,baseline,baseline_results_79_85/case_081/q1_n2/case_081_multicore_res.json
case_081,3,151795,51943,51943,2.9223379473653814,0,baseline,baseline_results_79_85/case_081/q1_n3/case_081_multicore_res.json
case_081,4,151795,39588,39588,3.834369000707285,0,baseline,baseline_results_79_85/case_081/q1_n4/case_081_multicore_res.json
case_081,5,151795,30943,30943,4.905632937982743,0,baseline,baseline_results_79_85/case_081/q1_n5/case_081_multicore_res.json
case_082,2,721041,721041,379437,1.9002917480372237,1237914,valley_merge_8_heft,q1_optimization/case_082/n2/valley_merge_8_heft/case_082_multicore_res.json
case_082,3,721041,721041,267490,2.6955811432203074,1844266,valley_merge_8_heft,q1_optimization/case_082/n3/valley_merge_8_heft/case_082_multicore_res.json
case_082,4,721041,721041,216839,3.325236696350749,1693882,valley_merge_8_heft,q1_optimization/case_082/n4/valley_merge_8_heft/case_082_multicore_res.json
case_082,5,721041,721041,206847,3.485866364994416,2687818,valley_merge_8_heft,q1_optimization/case_082/n5/valley_merge_8_heft/case_082_multicore_res.json
case_083,2,1057993,644672,464956,2.2754690766438115,4327008,band_12,q1_optimization/case_083/n2/band_12/case_083_multicore_res.json
case_083,3,1057993,512623,329146,3.2143577622088677,5257408,band_12,q1_optimization/case_083/n3/band_12/case_083_multicore_res.json
case_083,4,1057993,450029,278022,3.8054290667645008,5235488,data_band_12,q1_optimization/case_083/n4/data_band_12/case_083_multicore_res.json
case_083,5,1057993,442480,253366,4.175749705958968,6165888,data_band_12,q1_optimization/case_083/n5/data_band_12/case_083_multicore_res.json
case_084,2,2507412,1255052,1255052,1.9978550689533183,0,baseline,baseline_results_79_85/case_084/q1_n2/case_084_multicore_res.json
case_084,3,2507412,836220,836220,2.998507569778288,0,baseline,baseline_results_79_85/case_084/q1_n3/case_084_multicore_res.json
case_084,4,2507412,629028,629028,3.986169137144928,0,baseline,baseline_results_79_85/case_084/q1_n4/case_084_multicore_res.json
case_084,5,2507412,503472,503472,4.98024120507198,0,baseline,baseline_results_79_85/case_084/q1_n5/case_084_multicore_res.json
case_085,2,3187899,3187899,1649858,1.9322262885654402,4875082,valley_merge_8_heft,q1_optimization/case_085/n2/valley_merge_8_heft/case_085_multicore_res.json
case_085,3,3187899,3187899,1190106,2.678668118638172,7265394,valley_merge_8_heft,q1_optimization/case_085/n3/valley_merge_8_heft/case_085_multicore_res.json
case_085,4,3187899,3187899,891818,3.5746071507863713,6393754,valley_merge_8_heft,q1_optimization/case_085/n4/valley_merge_8_heft/case_085_multicore_res.json
case_085,5,3187899,3187899,799692,3.9864085172791524,9685570,valley_merge_8_heft,q1_optimization/case_085/n5/valley_merge_8_heft/case_085_multicore_res.json
case_086,2,118403,118403,66125,1.790593572778828,731742,valley_merge_32_heft,q1_optimization/case_086/n2/valley_merge_32_heft/case_086_multicore_res.json
case_086,3,118403,118403,52489,2.255767875173846,977996,valley_merge_32_heft,q1_optimization/case_086/n3/valley_merge_32_heft/case_086_multicore_res.json
case_086,4,118403,118403,42049,2.815833908059645,1138234,valley_merge_32_heft,q1_optimization/case_086/n4/valley_merge_32_heft/case_086_multicore_res.json
case_086,5,118403,118403,45811,2.584597585732684,1439784,valley_merge_32_heft,q1_optimization/case_086/n5/valley_merge_32_heft/case_086_multicore_res.json
case_087,2,3974071,1985234,1985234,2.0018148994022873,9999360,baseline,baseline_results_86_92/case_087/q1_n2/case_087_multicore_res.json
case_087,3,3974071,1385253,1385253,2.8688412874760063,10722816,baseline,baseline_results_86_92/case_087/q1_n3/case_087_multicore_res.json
case_087,4,3974071,1069661,1069661,3.715262125103187,11796480,baseline,baseline_results_86_92/case_087/q1_n4/case_087_multicore_res.json
case_087,5,3974071,888504,888504,4.472766582930409,11773440,baseline,baseline_results_86_92/case_087/q1_n5/case_087_multicore_res.json
case_088,2,243623,202290,145177,1.6781101689661586,1013802,valley_merge_32_heft,q1_optimization/case_088/n2/valley_merge_32_heft/case_088_multicore_res.json
case_088,3,243623,202428,112321,2.168988880084757,1769340,valley_merge_32_heft,q1_optimization/case_088/n3/valley_merge_32_heft/case_088_multicore_res.json
case_088,4,243623,202670,91718,2.6562179724808654,1878990,valley_merge_32_heft,q1_optimization/case_088/n4/valley_merge_32_heft/case_088_multicore_res.json
case_088,5,243623,202791,89462,2.723200912119112,1989390,valley_merge_32_heft,q1_optimization/case_088/n5/valley_merge_32_heft/case_088_multicore_res.json
case_089,2,693092,346832,346832,1.998350786547954,238720,baseline,baseline_results_86_92/case_089/q1_n2/case_089_multicore_res.json
case_089,3,693092,243614,243614,2.8450417463692563,477440,baseline,baseline_results_86_92/case_089/q1_n3/case_089_multicore_res.json
case_089,4,693092,178160,178160,3.8902784014369107,716160,baseline,baseline_results_86_92/case_089/q1_n4/case_089_multicore_res.json
case_089,5,693092,147432,147432,4.701096098540344,954880,baseline,baseline_results_86_92/case_089/q1_n5/case_089_multicore_res.json
case_090,2,1178363,769224,515918,2.284012187983362,3445632,band_6,q1_optimization/case_090/n2/band_6/case_090_multicore_res.json
case_090,3,1178363,657430,404627,2.9122203906313717,5548032,band_6,q1_optimization/case_090/n3/band_6/case_090_multicore_res.json
case_090,4,1178363,608275,365222,3.226429404581323,7748352,band_6,q1_optimization/case_090/n4/band_6/case_090_multicore_res.json
case_090,5,1178363,542638,318530,3.699378394499733,9896832,band_6,q1_optimization/case_090/n5/band_6/case_090_multicore_res.json
case_091,2,9186769,4590046,4590046,2.0014546695174733,57827296,baseline,baseline_results_86_92/case_091/q1_n2/case_091_multicore_res.json
case_091,3,9186769,3070809,3070809,2.9916445470884057,63099200,baseline,baseline_results_86_92/case_091/q1_n3/case_091_multicore_res.json
case_091,4,9186769,2315529,2315529,3.967460135459327,67391136,baseline,baseline_results_86_92/case_091/q1_n4/case_091_multicore_res.json
case_091,5,9186769,1874503,1874503,4.900909200998878,71279104,baseline,baseline_results_86_92/case_091/q1_n5/case_091_multicore_res.json
case_092,2,4815554,2828252,2063114,2.334119200393192,16816736,band_12,q1_optimization/case_092/n2/band_12/case_092_multicore_res.json
case_092,3,4815554,2231804,1410436,3.4142307768661606,17419456,band_12,q1_optimization/case_092/n3/band_12/case_092_multicore_res.json
case_092,4,4815554,1927728,1076446,4.473567647610749,18349856,band_12,q1_optimization/case_092/n4/band_12/case_092_multicore_res.json
case_092,5,4815554,1661234,908533,5.300362232301964,19280256,band_12,q1_optimization/case_092/n5/band_12/case_092_multicore_res.json
case_093,2,74205,37827,37827,1.9616940280751844,8192,baseline,baseline_results_93_100/case_093/q1_n2/case_093_multicore_res.json
case_093,3,74205,25103,25103,2.956021192686133,16384,baseline,baseline_results_93_100/case_093/q1_n3/case_093_multicore_res.json
case_093,4,74205,19779,19779,3.751706355225239,24576,baseline,baseline_results_93_100/case_093/q1_n4/case_093_multicore_res.json
case_093,5,74205,15876,15876,4.674036281179139,32768,baseline,baseline_results_93_100/case_093/q1_n5/case_093_multicore_res.json
case_094,2,94892,53614,53614,1.7699108441824896,106272,baseline,baseline_results_93_100/case_094/q1_n2/case_094_multicore_res.json
case_094,3,94892,39889,39889,2.37890145152799,212544,baseline,baseline_results_93_100/case_094/q1_n3/case_094_multicore_res.json
case_094,4,94892,30709,30709,3.090038750854798,318816,baseline,baseline_results_93_100/case_094/q1_n4/case_094_multicore_res.json
case_094,5,94892,25530,25530,3.716882099490795,259200,baseline,baseline_results_93_100/case_094/q1_n5/case_094_multicore_res.json
case_095,2,2084853,1042890,1042890,1.9991111238960964,0,baseline,baseline_results_93_100/case_095/q1_n2/case_095_multicore_res.json
case_095,3,2084853,695775,695775,2.9964471273040854,0,baseline,baseline_results_93_100/case_095/q1_n3/case_095_multicore_res.json
case_095,4,2084853,524422,524422,3.9755254356224565,0,baseline,baseline_results_93_100/case_095/q1_n4/case_095_multicore_res.json
case_095,5,2084853,420852,420852,4.953886401870491,0,baseline,baseline_results_93_100/case_095/q1_n5/case_095_multicore_res.json
case_096,2,84194,47175,47175,1.7847164811870695,67392,baseline,baseline_results_93_100/case_096/q1_n2/case_096_multicore_res.json
case_096,3,84194,33662,33662,2.5011585764363375,67392,baseline,baseline_results_93_100/case_096/q1_n3/case_096_multicore_res.json
case_096,4,84194,26984,26984,3.120145271271865,78336,baseline,baseline_results_93_100/case_096/q1_n4/case_096_multicore_res.json
case_096,5,84194,27053,27053,3.112187188112224,134784,baseline,baseline_results_93_100/case_096/q1_n5/case_096_multicore_res.json
case_097,2,11491509,5617602,5617602,2.045625339780212,11796480,baseline,baseline_results_93_100/case_097/q1_n2/case_097_multicore_res.json
case_097,3,11491509,3660459,3660459,3.1393628503966307,16031744,baseline,baseline_results_93_100/case_097/q1_n3/case_097_multicore_res.json
case_097,4,11491509,2626908,2626908,4.37453805005733,14221312,baseline,baseline_results_93_100/case_097/q1_n4/case_097_multicore_res.json
case_097,5,11491509,2102348,2102348,5.466035594487687,21311488,baseline,baseline_results_93_100/case_097/q1_n5/case_097_multicore_res.json
case_098,2,177430,89756,89756,1.9768037791345425,0,baseline,baseline_results_93_100/case_098/q1_n2/case_098_multicore_res.json
case_098,3,177430,89825,89825,1.9752852769273588,0,baseline,baseline_results_93_100/case_098/q1_n3/case_098_multicore_res.json
case_098,4,177430,89894,86201,2.058328789689215,1441998,valley_merge_8_heft,q1_optimization/case_098/n4/valley_merge_8_heft/case_098_multicore_res.json
case_098,5,177430,90168,82703,2.1453877126585494,1429710,valley_merge_10_heft,q1_optimization/case_098/n5/valley_merge_10_heft/case_098_multicore_res.json
case_099,2,1622999,811392,811392,2.0002649767313456,7303168,baseline,baseline_results_93_100/case_099/q1_n2/case_099_multicore_res.json
case_099,3,1622999,539533,539533,3.008155200886693,8011776,baseline,baseline_results_93_100/case_099/q1_n3/case_099_multicore_res.json
case_099,4,1622999,406807,406807,3.989604407003813,9322496,baseline,baseline_results_93_100/case_099/q1_n4/case_099_multicore_res.json
case_099,5,1622999,337221,337221,4.81286456062938,10698752,baseline,baseline_results_93_100/case_099/q1_n5/case_099_multicore_res.json
case_100,2,151223,90243,90243,1.6757310816351407,12288,baseline,baseline_results_93_100/case_100/q1_n2/case_100_multicore_res.json
case_100,3,151223,57811,57811,2.6158170590372074,72192,baseline,baseline_results_93_100/case_100/q1_n3/case_100_multicore_res.json
case_100,4,151223,58086,57811,2.6158170590372074,72192,baseline_k3,q1_optimization/case_100/n4/baseline_k3/case_100_multicore_res.json
case_100,5,151223,58085,57811,2.6158170590372074,72192,baseline_k3,q1_optimization/case_100/n5/baseline_k3/case_100_multicore_res.json
