case,cores,status,makespan_cycles,added_copy_bytes,scheduled_copy_bytes,spill_added_copy_bytes,plan_sha256,seconds,error
case_050,5,ok,47714,1526304,1845680,0,171dcea75e81965a859a03b2a0d053096cf2114c91ceb58ef8802b18529ccce9,1.1235382000013487,
case_051,5,ok,191961,1520,394738,0,5e1bc9289d814edaac123d0f91e8678a89ce068e822f38034e31b797e5569bdf,0.2439155999891227,
case_052,5,ok,51670,328704,1138908,0,a768b8b8242cd9690888ebe926fa4bb7bb5010ac38017757db638ddd8129c23e,0.1505916000023717,
case_053,5,ok,520446,9600548,12595836,3831888,16eb03b4196d2b5408700386405194b8588baa08a02dccccdbffe3408040a6e7,3.111493699994753,
case_054,5,ok,202096,2922392,4528668,0,eaa8bdb25df6d25770158c8bc8f1050870ad4bb99c310c745ad9dca3c0fb2d69,4.727677199989557,
case_055,5,ok,26781,198656,824466,0,74406cae53bf0d1e092b0103b8e937ec015f425d70e5a993de55aa9d6578c884,0.17762760000186972,
case_056,5,ok,112895,2504008,2725608,0,42dfd540bacb1fa36c3bf4bfd762dfe4619ea6bd3c2cd20a0eb71b45337aebc0,2.09372030000668,
case_057,5,ok,16538,27936,370396,0,643bd93ba247202c196ce04327479e7881d6a489b8abc38c6aee2a357e731bf2,0.1206469000026118,
case_058,5,ok,1004819,32104448,39772160,13721600,bc4ce56d1f63e7a39beffc94f4e6975a50f69a266abbf66c71409f39a871d9fc,5.165048400012893,
case_059,5,ok,150782,4325376,5668864,0,f803551e4dd53af0b4c8546f66122f25cbc78a7822318b47052da16c4f998226,0.5900357000064105,
case_060,5,ok,183272,4290944,6389950,81920,f83edc0910763ec026efc64771a9170d73cedfbaf0f783d5bdd4bc7ad0700566,1.1343797000008635,
case_061,5,ok,20949,157028,701216,0,cba676a027124d453828066c75731bffa229c2d4bf460aa318d75403aa0f914b,0.1694945000053849,
case_062,5,ok,1382514,45937152,59338752,38777856,faccc2e2271d3d3168ec9ff33a58436b5a9a700043bb09343929c24e4a538e00,11.84819819999393,
case_063,5,ok,373335,9785856,14807040,7096320,9a7daaf05db1e6e3d6432d5b69c2432fd381532687a9159a95c37e2e4f0ebb8c,2.7814146999880904,
case_064,5,ok,10292,83728,121142,0,9156fb8d6d4f4ec8abbe2fb386e7e2fc3ed8304ed58be35b1cff5e8880e0e9f7,0.12221890001092106,
case_065,5,ok,12156,55584,371786,0,ab305bc1e9330442f90a7ad5d3259be92e9a3e7672bc7c5591673629b812629c,0.08388000000559259,
case_066,5,ok,94904,2420166,3527200,0,193f5f615d3336965a010c7ae89d66b98be7a2cb8635fbb6d65db45b5dd90eea,1.326821300011943,
case_067,5,ok,15329318,175668736,181716864,160782336,79510991ada973726a8e1347a4a7df733e7205aabb6c5c81926212198a403a8b,2.0794881000038004,
case_068,5,ok,123877,3420288,6191538,0,7d908de1a945c4cf20af3889faa51475a2607a918ab5c97d0caee92c47f15576,1.2477495999919483,
