case,cores,evaluation_budget,completed_evaluations,best_cycles,speedup,elapsed_seconds_at_last_evaluation,stopped_before_budget
case_013,4,2,1,66982,3.9405959810098237,0.7791365000011865,True
case_013,4,3,1,66982,3.9405959810098237,0.7791365000011865,True
case_013,4,4,1,66982,3.9405959810098237,0.7791365000011865,True
case_013,4,5,1,66982,3.9405959810098237,0.7791365000011865,True
case_013,4,6,1,66982,3.9405959810098237,0.7791365000011865,True
case_013,5,1,1,54363,4.855305998565201,0.7507076999972924,False
case_013,5,2,1,54363,4.855305998565201,0.7507076999972924,True
case_013,5,3,1,54363,4.855305998565201,0.7507076999972924,True
case_013,5,4,1,54363,4.855305998565201,0.7507076999972924,True
case_013,5,5,1,54363,4.855305998565201,0.7507076999972924,True
case_013,5,6,1,54363,4.855305998565201,0.7507076999972924,True
case_014,2,1,1,8891974,1.990404605321608,891.9756686000037,False
case_014,2,2,2,8879623,1.9931731335891174,1766.222686000001,False
case_014,2,3,3,8879623,1.9931731335891174,2100.1714334999997,False
case_014,2,4,3,8879623,1.9931731335891174,2100.1714334999997,True
case_014,2,5,3,8879623,1.9931731335891174,2100.1714334999997,True
case_014,2,6,3,8879623,1.9931731335891174,2100.1714334999997,True
case_014,3,1,1,5985953,2.9566931113558694,846.5691719999959,False
case_014,3,2,2,5980632,2.9593236968935726,1668.9999530999994,False
case_014,3,3,3,5980632,2.9593236968935726,1936.497814000002,False
case_014,3,4,3,5980632,2.9593236968935726,1936.497814000002,True
case_014,3,5,3,5980632,2.9593236968935726,1936.497814000002,True
case_014,3,6,3,5980632,2.9593236968935726,1936.497814000002,True
case_014,4,1,1,4526660,3.9098642266041628,788.5754745999948,False
case_014,4,2,2,4526660,3.9098642266041628,1477.9784900000013,False
case_014,4,3,3,4526660,3.9098642266041628,1620.3903882999948,False
case_014,4,4,3,4526660,3.9098642266041628,1620.3903882999948,True
case_014,4,5,3,4526660,3.9098642266041628,1620.3903882999948,True
case_014,4,6,3,4526660,3.9098642266041628,1620.3903882999948,True
case_014,5,1,1,3694640,4.790351969339367,732.9343353999939,False
case_014,5,2,2,3686182,4.801343503928997,1422.0800669999953,False
case_014,5,3,3,3686182,4.801343503928997,1778.5589169999948,False
case_014,5,4,4,3681987,4.806813820907027,2456.1331027999986,False
case_014,5,5,4,3681987,4.806813820907027,2456.1331027999986,True
case_014,5,6,4,3681987,4.806813820907027,2456.1331027999986,True
case_015,2,1,1,92411,1.9192736795403145,0.3325355999986641,False
case_015,2,2,2,92411,1.9192736795403145,0.5645373000006657,False
case_015,2,3,3,92411,1.9192736795403145,0.8256800000017392,False
case_015,2,4,3,92411,1.9192736795403145,0.8256800000017392,True
case_015,2,5,3,92411,1.9192736795403145,0.8256800000017392,True
case_015,2,6,3,92411,1.9192736795403145,0.8256800000017392,True
case_015,3,1,1,60807,2.916802341835644,0.3517837999970652,False
case_015,3,2,2,60807,2.916802341835644,0.5872560999996495,False
case_015,3,3,3,60807,2.916802341835644,0.8606827999974485,False
case_015,3,4,3,60807,2.916802341835644,0.8606827999974485,True
case_015,3,5,3,60807,2.916802341835644,0.8606827999974485,True
case_015,3,6,3,60807,2.916802341835644,0.8606827999974485,True
case_015,4,1,1,53421,3.320080118305535,0.35165950000373414,False
case_015,4,2,2,53421,3.320080118305535,0.6105320999995456,False
case_015,4,3,3,53421,3.320080118305535,0.851674900004582,False
case_015,4,4,3,53421,3.320080118305535,0.851674900004582,True
case_015,4,5,3,53421,3.320080118305535,0.851674900004582,True
case_015,4,6,3,53421,3.320080118305535,0.851674900004582,True
case_015,5,1,1,43437,4.083200957708866,0.3574748000028194,False
case_015,5,2,2,43437,4.083200957708866,0.6277633999998216,False
case_015,5,3,3,43437,4.083200957708866,0.8818295000019134,False
case_015,5,4,3,43437,4.083200957708866,0.8818295000019134,True
case_015,5,5,3,43437,4.083200957708866,0.8818295000019134,True
case_015,5,6,3,43437,4.083200957708866,0.8818295000019134,True
case_016,2,1,1,7161192,1.0774076438671103,6.146165400001337,False
case_016,2,2,2,7107192,1.0855937197137773,11.203222600001027,False
case_016,2,3,2,7107192,1.0855937197137773,11.203222600001027,True
case_016,2,4,2,7107192,1.0855937197137773,11.203222600001027,True
case_016,2,5,2,7107192,1.0855937197137773,11.203222600001027,True
case_016,2,6,2,7107192,1.0855937197137773,11.203222600001027,True
case_016,3,1,1,7231183,1.0669793587024419,6.073829199995089,False
case_016,3,2,2,7231183,1.0669793587024419,11.13224800000171,False
