case,cores,singlecore_cycles,baseline_cycles,makespan_cycles,speedup,reduction_percent,added_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,evaluations,bound_pruned,invalid_candidates,cold_search_wall_seconds,selected
case_031,4,1414369,398198,363420,3.8918303890815036,8.733845976122431,8740064,2816736,524288,122050,24,27,0,82.4284086000007,first_range
case_031,5,1414369,308135,294518,4.802317685166951,4.419166923588687,8696372,1413600,524288,60612,24,12,0,54.26418770000237,cold
case_032,2,41443,21880,19129,2.1665011239479326,12.573126142595978,171912,0,53248,60636,24,31,0,5.079268800000136,cold
case_032,3,41443,15402,14396,2.878785773826063,6.531619270224646,295180,0,53248,43018,24,37,0,5.452221699997608,cold
case_032,4,41443,14274,13014,3.1844936222529583,8.827238335435057,238928,0,53248,40960,24,15,0,5.215798799999902,cold
case_032,5,41443,10415,10415,3.9791646663466156,0.0,12360,0,40960,36876,24,21,0,2.9988669000013033,cold
case_033,2,1774196,897883,891680,1.989722770500628,0.6908472484722398,6083420,3773068,524288,129032,24,7,0,29.56519130000015,neighbor
case_033,3,1774196,604202,592284,2.9955156647824355,1.9725191243987936,6873682,2958336,523776,81936,24,16,0,33.399408200002654,cold
case_033,4,1774196,460454,448507,3.9557821840015874,2.5946131426809194,7873656,2092544,523776,81932,24,13,0,33.42886820000058,cold
case_033,5,1774196,376794,358066,4.954941267810963,4.970355154275281,9318688,540672,523776,123910,24,28,0,36.575907900001766,first_range
case_034,2,842996,418129,417603,2.0186540805501876,0.12579849759284814,1645064,578560,524288,122898,24,14,0,30.506431800000428,cold
case_034,3,842996,282515,280008,3.010613982457644,0.8873865104507725,2656288,192532,523776,122894,24,29,0,37.753554599999916,cold
case_034,4,842996,213112,213112,3.955647734524569,0.0,3176960,57344,472576,122890,24,16,0,29.260704899999837,cold
case_034,5,842996,178096,177825,4.740593279910024,0.15216512442727517,3536896,49152,326144,122890,24,33,0,33.83571309999752,cold
case_035,2,169571,95406,95406,1.7773620107750037,0.0,0,0,73728,74792,14,8,0,14.303429999999935,cold
