case,cores,singlecore_cycles,initial_cycles,makespan_cycles,initial_speedup,speedup,reduction_percent,added_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,locality_ratio,internalized_bytes,buffer85_ok,evaluations,wall_seconds,selected
case_013,5,263949,54363,54363,4.855305998565201,4.855305998565201,0.0,32768,0,20480,0,1.0,3526656,True,8,7.7159170670202,base_w0_k5
case_014,2,17698626,8891974,8869538,1.990404605321608,1.995439446789675,0.2523174269290486,75642024,65748816,523800,132,1.0,173641962,False,4,202.2340788450092,valley_w1_k2
case_014,3,17698626,5980632,5948032,2.9593236968935726,2.975543171253954,0.5450928931925589,80050824,60227544,523800,132,0.9998938505428774,173623530,False,4,209.69454768201103,eft_placement
case_014,4,17698626,4526660,4511385,3.9098642266041628,3.923102550547116,0.3374452686970084,85928304,56552520,523800,132,0.9998076041089653,173608554,False,4,217.23406190099195,split_s4_d71_c2
case_014,5,17698626,3694640,3648527,4.790351969339367,4.850896265808092,1.2481053634454236,90875376,51528192,523776,132,0.9997711152330795,173602218,False,4,220.43837916001212,chain_s5_r52_d71_c2
case_015,2,177362,92411,92301,1.9192736795403145,1.921560979837705,0.11903344839900012,224540,114712,196608,122900,0.9999994118217937,3400328,False,8,3.874854181020055,chain_s0_r47_d9_c1
case_015,3,177362,60807,60807,2.916802341835644,2.916802341835644,0.0,306448,98320,196608,122898,1.0,3400330,False,8,3.6186060850159265,base_w0_k3
case_015,4,177362,53421,53283,3.320080118305535,3.328678940750333,0.2583253776604706,263936,32768,196608,122898,1.0,3400330,False,8,4.955493729969021,split_s2_d8_c2
case_015,5,177362,43437,43373,4.083200957708866,4.089226016185184,0.14733982549439417,321540,8192,196608,122896,0.9999994118217937,3400328,False,8,3.659622736973688,chain_s2_r115_d9_c1
case_016,2,7715523,7715523,4033396,1.0,1.9129098655326677,47.723621587285784,8536,0,196608,65546,0.9999796894698928,359806048,True,8,165.9815238849842,eft_placement
case_016,3,7715523,7715523,2876681,1.0,2.682091966401558,62.71567073288486,12192,0,131072,65542,0.9999729192931904,359803612,True,8,141.477441931027,band_w4_k3
