case,cores,makespan_cycles,added_copy_bytes,scheduled_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,evaluations,wall_seconds,selected,bound_pruned,invalid_candidates,stop_reason,global_lower_bound_cycles,certified_gap,singlecore_cycles,baseline_cycles,speedup,baseline_speedup,reduction_percent
case_010,5,26220,722250,1106400,0,39168,45056,5,1.0068936999959988,greedy_schedule,0,0,fixed_candidate_budget,11099.2,1.3623324203546199,86969,31015,3.316895499618612,2.8040947928421733,15.460261163952927
case_011,2,92646,180224,786432,0,241664,0,1,0.383050500000536,component_baseline,0,0,certified_gap,92224.0,0.004575815405968076,184697,92646,1.9935777043801135,1.9935777043801135,0.0
case_011,3,69625,1081344,1687552,0,200704,0,1,0.49486109999998007,component_baseline,2,0,fixed_candidate_budget,61482.666666666664,0.13243298924358093,184697,69625,2.6527396768402154,2.6527396768402154,0.0
case_011,4,46880,540672,1146880,0,110592,0,1,0.42162049999751616,component_baseline,0,0,certified_gap,46112.0,0.01665510062456632,184697,46880,3.9397824232081913,3.9397824232081913,0.0
case_011,5,46880,540672,1146880,0,110592,0,2,0.5849534000008134,reuse_pack_k4,1,0,fixed_candidate_budget,36889.6,0.27081887578070796,184697,47287,3.9397824232081913,3.905872649988369,0.8607016727641859
case_012,2,30094,28800,583698,0,28224,55320,4,1.352068699998199,component_baseline,0,0,fixed_candidate_budget,17786.0,0.6920049477116834,59088,30094,1.9634478633614674,1.9634478633614674,0.0
case_012,3,21894,20160,575058,0,28224,45068,4,1.451738600000681,component_baseline,0,0,fixed_candidate_budget,11857.333333333334,0.8464522658270548,59088,21894,2.6988215949575225,2.6988215949575225,0.0
case_012,4,17236,39168,594066,0,28224,36876,3,1.2199900000050548,component_baseline,1,0,fixed_candidate_budget,8893.0,0.9381536039581693,59088,17236,3.42817359016013,3.42817359016013,0.0
case_012,5,14300,49536,604434,0,28224,30728,3,1.2845860999950673,component_baseline,1,0,fixed_candidate_budget,7114.4,1.0100078713594964,59088,14300,4.132027972027972,4.132027972027972,0.0
case_013,2,132198,8192,2535424,0,20480,0,1,1.4688824000040768,component_baseline,0,0,certified_gap,131856.0,0.002593738623953401,263949,132198,1.9966187083011846,1.9966187083011846,0.0
case_013,3,88351,16384,2543616,0,20480,0,1,1.1586461000042618,component_baseline,0,0,certified_gap,87904.0,0.005085092828540194,263949,88351,2.98750438591527,2.98750438591527,0.0
case_013,4,66982,24576,2551808,0,20480,0,1,1.0754731000051834,component_baseline,0,0,certified_gap,65928.0,0.01598713748331515,263949,66982,3.9405959810098237,3.9405959810098237,0.0
case_013,5,54363,32768,2560000,0,20480,0,1,1.1787999999942258,component_baseline,3,0,fixed_candidate_budget,52742.4,0.03072670185657067,263949,54363,4.855305998565201,4.855305998565201,0.0
case_014,2,8879623,75697320,85630060,65730384,523800,132,3,2102.5160294000016,valley_w2,1,0,fixed_candidate_budget,8612874.0,0.030970962770383137,17698626,8891974,1.9931731335891174,1.990404605321608,0.13890054109469974
case_014,3,5980632,77640360,87573100,59581944,524016,132,3,1938.7516034,component_baseline,1,0,fixed_candidate_budget,5741916.0,0.04157427590372276,17698626,5980632,2.9593236968935726,2.9593236968935726,0.0
case_014,4,4526660,82469784,92402524,52790160,523776,132,3,1622.6171808999934,component_baseline,1,0,fixed_candidate_budget,4306437.0,0.051138098618417116,17698626,4526660,3.9098642266041628,3.9098642266041628,0.0
case_014,5,3681987,90945720,100878460,51604296,523800,132,4,2457.9550545999955,greedy_schedule,1,0,fixed_candidate_budget,3445149.6,0.06874517147237968,17698626,3694640,4.806813820907027,4.790351969339367,0.34246909035792195
case_015,2,92411,224536,1109150,114712,196608,122900,3,1.070424899997306,component_baseline,1,0,fixed_candidate_budget,50748.5,0.820960225425382,177362,92411,1.9192736795403145,1.9192736795403145,0.0
case_015,3,60807,306448,1191062,98320,196608,122898,3,1.2448281000033603,component_baseline,1,0,fixed_candidate_budget,33832.333333333336,0.7973043538232656,177362,60807,2.916802341835644,2.916802341835644,0.0
case_015,4,53421,263936,1148550,32768,196608,122898,3,1.0894437000024482,component_baseline,1,0,fixed_candidate_budget,25374.25,1.1053233100485729,177362,53421,3.320080118305535,3.320080118305535,0.0
case_015,5,43437,321536,1206150,8192,196608,122896,3,1.1435100999951828,component_baseline,1,0,fixed_candidate_budget,20299.4,1.1398169404021794,177362,43437,4.083200957708866,4.083200957708866,0.0
case_016,2,7107192,47582424,47975642,0,393216,65544,2,12.120510599997942,greedy_schedule,2,0,fixed_candidate_budget,3857487.5,0.8424407078441603,7715523,7715523,1.0855937197137773,1.0,7.8845076348032395
case_016,3,7231183,29493320,29886538,0,393216,65544,2,11.90147729999444,fork_join_w58,2,0,fixed_candidate_budget,2571658.3333333335,1.81187547594127,7715523,7715523,1.0669793587024419,1.0,6.277474644298254
case_016,4,7286633,23201474,23594692,0,393216,65544,2,12.113649600003555,fork_join_w78,2,0,fixed_candidate_budget,1928743.75,2.7779165843051987,7715523,7715523,1.058859832792457,1.0,5.5587936164534835
case_016,5,7357373,19269072,19662290,0,393216,65544,2,12.609443499997724,greedy_schedule,2,0,fixed_candidate_budget,1542995.0,3.768241633965113,7715523,7715523,1.0486790597676643,1.0,4.641940669478917
case_017,2,86400,1611592,2255454,0,49152,52224,4,1.8612973999988753,greedy_schedule,1,0,fixed_candidate_budget,55300.0,0.5623869801084991,162810,87680,1.884375,1.8568658759124088,1.4598540145985384
case_017,3,58579,175104,818966,0,95232,73748,4,1.8835226000010152,component_baseline,0,0,fixed_candidate_budget,36866.666666666664,0.5889421338155516,162810,58579,2.7793236484064257,2.7793236484064257,0.0
case_017,4,42384,259200,903062,0,86016,49164,4,1.9233000999956857,component_baseline,0,0,fixed_candidate_budget,27650.0,0.5328752260397831,162810,42384,3.841308040770102,3.841308040770102,0.0
case_017,5,35496,340992,984854,0,86016,49164,3,1.5471423999988474,component_baseline,1,0,fixed_candidate_budget,22120.0,0.6047016274864376,162810,35496,4.586713995943205,4.586713995943205,0.0
case_018,2,502105,3191808,4784656,1892352,524288,65536,3,5.6088071999984095,component_baseline,1,0,fixed_candidate_budget,485660.0,0.033861137421241194,1004367,502105,2.0003126836020355,2.0003126836020355,0.0
case_018,3,338272,3867008,5459856,1392640,524288,65536,3,5.5555202000032295,component_baseline,1,0,fixed_candidate_budget,323773.3333333333,0.04478029897459135,1004367,338272,2.969110656513102,2.969110656513102,0.0
