case,method,seed,official_call,relative_best
case_044,unsga3_npu,29,11,0.9355421615131305
case_044,unsga3_npu,29,12,0.9355421615131305
case_044,unsga3_npu,29,13,0.9355421615131305
case_044,unsga3_npu,29,14,0.9355421615131305
case_044,unsga3_npu,29,15,0.9355421615131305
case_044,unsga3_npu,29,16,0.9355421615131305
case_044,unsga3_npu,29,17,0.9355421615131305
case_044,unsga3_npu,29,18,0.9355421615131305
case_044,unsga3_npu,29,19,0.9355421615131305
case_044,unsga3_npu,29,20,0.9355421615131305
case_044,unsga3_npu,29,21,0.9355421615131305
case_044,unsga3_npu,29,22,0.9041454165032039
case_044,unsga3_npu,29,23,0.9041454165032039
case_044,unsga3_npu,29,24,0.9041454165032039
case_044,unsga3_npu,29,25,0.9041454165032039
case_044,unsga3_npu,29,26,0.9041454165032039
case_044,unsga3_npu,29,27,0.9041454165032039
case_044,unsga3_npu,29,28,0.8431708215937326
case_044,unsga3_npu,29,29,0.8431708215937326
case_044,unsga3_npu,29,30,0.8431708215937326
case_044,unsga3_npu,43,1,1.2235457755269445
case_044,unsga3_npu,43,2,1.2235457755269445
case_044,unsga3_npu,43,3,1.0
case_044,unsga3_npu,43,4,1.0
case_044,unsga3_npu,43,5,1.0
case_044,unsga3_npu,43,6,1.0
case_044,unsga3_npu,43,7,0.993782469655361
case_044,unsga3_npu,43,8,0.992736307761808
case_044,unsga3_npu,43,9,0.992736307761808
case_044,unsga3_npu,43,10,0.992736307761808
case_044,unsga3_npu,43,11,0.992736307761808
case_044,unsga3_npu,43,12,0.992736307761808
case_044,unsga3_npu,43,13,0.992736307761808
case_044,unsga3_npu,43,14,0.992736307761808
case_044,unsga3_npu,43,15,0.992522320101763
case_044,unsga3_npu,43,16,0.992522320101763
case_044,unsga3_npu,43,17,0.992522320101763
case_044,unsga3_npu,43,18,0.9311554144822093
case_044,unsga3_npu,43,19,0.9311554144822093
case_044,unsga3_npu,43,20,0.9311554144822093
case_044,unsga3_npu,43,21,0.9311554144822093
case_044,unsga3_npu,43,22,0.9311554144822093
case_044,unsga3_npu,43,23,0.9311554144822093
case_044,unsga3_npu,43,24,0.9311554144822093
case_044,unsga3_npu,43,25,0.9311554144822093
