case,cores,status,no_l2_cycles,l2_cycles,no_l2_added_bytes,l2_added_bytes,cache_hit_rate,hit_bytes,miss_bytes,cache_gain,seconds,plan_sha256,error
case_023,2,ok,59165,59165,807808,807808,0.16528946713544623,155424,784890,1.0,0.3799091999999291,27f4a5f29f243fdf0cbeb18eb11a85854847f20032a95804e2db6be6607c3785,
case_023,3,ok,41619,39686,1045908,1045908,0.24701706035321477,273190,832766,1.0487073527188429,0.4300852000001214,5d4f4aea4559787ef163f224f74ae7b49625bcb1634507f6d30ccbcac301d200,
case_023,4,ok,34143,32691,1131684,1131684,0.2108636765041492,255016,954372,1.04441589428283,0.45283999999992375,aee538013f46f586d1a655d209d21ab455706b8cbf8727ebf937afaede7e9ebc,
case_024,1,ok,2555343,2555343,0,0,0.0,0,393216,1.0,2.667715400000361,76e5b9257fb09e13e0ecaaab4039acb94e3eab1a70c3c7c4dd67ad0f65ad98f4,
case_024,2,ok,1376112,1376112,2824,2824,0.0,0,394628,1.0,2.9805035999997926,5a1717fb49aa119092ca3bff220de419ebc27c669fd2e6a41950af444b483a93,
case_024,3,ok,955894,955894,1608,1608,0.0005075884472869397,200,393820,1.0,2.308557600000313,79a5d28e1278fe56c3f43426dd16a90ffcfc3ac32ff029f6263181301bb9c459,
case_024,4,ok,743623,743623,4836,4836,0.0010110354519581228,400,395234,1.0,3.046795999999631,fae1eaeda762d440324354630a77c0b5507ae17c6fd398f7ff4f2225bf3fe408,
case_025,1,ok,4863026,4863026,0,0,0.0,0,4122624,1.0,22.547317999999905,599407c93e5d42698ea920b72b71f3c8ad03ccb16739a144d1ca81b66ea21597,
case_025,2,ok,2431840,2431840,27648,27648,0.0,0,4150272,1.0,15.284537,a5fff6afbed8a85e01d1e635bb90448e13b96d5582558e42512d972ca9c86e9a,
case_025,3,ok,1622164,1622164,55296,55296,0.0,0,4177920,1.0,12.673187700000199,49bb0fcd9b932f015165169092971b4e0dda3d3ca24621db4c814a276c7b2749,
case_025,4,ok,1217444,1217444,82944,82944,0.0,0,4205568,1.0,11.635991500000273,8e00701890b2bf8478c92622d4a978ba4b15c8e9bdaa7149dc3aedde24377bb9,
case_026,1,ok,99203,99203,0,0,0.0,0,488886,1.0,0.16715770000018892,485961e17b29a64988bfd251662861be9b8263889870380e55374b39e958cf9b,
case_026,2,ok,56363,55004,1011308,1011308,0.2624879211043163,300976,845652,1.0247072940149806,0.2529638999999406,564c68b96e779e0bc31e8f32483ab55cd46e6f53f3e12048f9953ce5bd786f2b,
