case,cores,strategy,status,makespan_cycles,added_copy_bytes,scheduled_copy_bytes,subgraphs,wall_seconds,error
case_077,5,valley_mode_heft,ok,149314,1385906,3527266,43,1.717,
case_078,5,valley_mode_heft,ok,658093,13626072,15971160,45,0.348,
case_080,5,valley_mode_heft,ok,188209,9142272,11120640,10,0.618,
case_082,5,valley_mode_heft,ok,209633,2741962,3333968,60,0.934,
case_085,5,valley_mode_heft,ok,803219,9757250,11446984,150,7.207,
case_086,5,valley_mode_heft,ok,53291,1845290,2183312,60,1.366,
case_090,5,valley_mode_heft,ok,490208,19107648,21336000,45,0.606,
case_094,5,valley_mode_heft,ok,36967,1062020,1588712,25,0.217,
case_096,5,valley_mode_heft,ok,27053,134784,354342,5,0.335,
case_098,5,valley_mode_heft,ok,87242,1913070,2611064,29,0.387,
case_100,5,valley_mode_heft,ok,58085,211968,666566,5,0.516,
case_003,5,band_6,ok,292030,7097458,8381722,243,4.918,
case_003,5,band_12,ok,274196,5169204,6453468,114,5.136,
case_003,5,band_24,ok,347406,3328758,4613022,45,4.878,
case_003,5,mask_stage_16,ok,257148,5602812,6887076,129,5.292,
case_003,5,mask_band_32,ok,358661,3514776,4799040,61,5.329,
case_005,5,band_6,ok,73558,2485962,2819376,107,1.651,
case_005,5,band_12,ok,69467,1859722,2193136,52,1.232,
case_005,5,band_24,ok,74595,909834,1243248,22,1.265,
case_005,5,mask_stage_16,ok,58473,1723700,2057114,68,1.136,
case_005,5,mask_band_32,ok,71503,942802,1276216,35,1.227,
case_006,5,band_6,ok,34050,1127144,1670492,16,0.259,
case_006,5,band_12,ok,32394,639104,1182452,10,0.205,
case_006,5,mask_stage_16,ok,44778,358664,902012,50,0.174,
case_006,5,mask_band_32,ok,44675,358636,901984,48,0.154,
case_009,5,band_6,ok,83564,1648366,2143698,293,2.781,
case_009,5,band_12,ok,76701,1011164,1506496,135,1.99,
case_009,5,band_24,ok,87784,448508,943840,52,1.597,
case_009,5,mask_stage_16,ok,80790,1086056,1581388,194,1.872,
case_010,5,band_6,ok,36791,1123656,1507806,24,0.18,
case_010,5,band_12,ok,34185,611184,995334,14,0.172,
case_010,5,band_24,ok,33113,155136,539286,7,0.168,
case_010,5,mask_stage_16,ok,43184,383752,767902,45,0.143,
case_010,5,mask_band_32,ok,39784,370176,754326,40,0.132,
case_011,5,band_6,ok,79456,4014080,4620288,20,0.364,
case_011,5,band_12,ok,56316,2494464,3100672,10,0.306,
case_011,5,mask_stage_16,ok,53500,2539520,3145728,66,0.372,
case_011,5,mask_band_32,ok,49484,1622016,2228224,16,0.24,
case_012,5,band_6,ok,23867,489364,1044262,16,0.405,
case_012,5,band_12,ok,16074,205556,760454,10,0.341,
case_012,5,mask_stage_16,ok,21634,314604,869502,98,0.325,
case_012,5,mask_band_32,ok,20651,314580,869478,92,0.313,
case_015,5,band_6,ok,59070,1888714,2773328,18,0.328,
case_015,5,band_12,ok,53817,1106520,1991134,11,0.351,
case_015,5,band_24,ok,43437,321544,1206158,6,0.363,
case_015,5,mask_stage_16,ok,63174,1655484,2540098,83,0.295,
case_015,5,mask_band_32,ok,63043,1475232,2359846,76,0.289,
case_016,5,band_6,ok,6635851,198974224,199367442,611,11.82,
case_016,5,band_12,ok,7833392,79434932,79828150,204,6.07,
case_016,5,band_24,ok,7781072,39715220,40108438,102,4.392,
case_016,5,mask_stage_16,ok,7814171,59769440,60162658,153,4.233,
case_016,5,mask_band_32,ok,7833247,29884720,30277938,77,3.534,
case_019,5,band_6,ok,32125,733840,920824,35,0.154,
case_019,5,band_12,ok,26589,234076,421060,18,0.124,
case_019,5,band_24,ok,27629,133192,320176,11,0.121,
case_019,5,mask_stage_16,ok,30958,386184,573168,47,0.108,
case_019,5,mask_band_32,ok,27284,274564,461548,35,0.105,
case_024,5,band_6,ok,2193071,65276160,65669378,203,1.68,
case_024,5,band_12,ok,2593924,25954020,26347238,68,1.187,
case_024,5,band_24,ok,2576760,12976260,13369478,34,0.876,
case_024,5,mask_stage_16,ok,2587793,19661000,20054218,51,0.905,
case_024,5,mask_band_32,ok,2594068,9830500,10223718,26,0.872,
case_026,5,band_6,ok,55032,1952064,2480918,25,0.145,
case_026,5,band_12,ok,48197,681668,1210522,15,0.13,
case_026,5,band_24,ok,45283,363664,892518,8,0.129,
case_026,5,mask_stage_16,ok,52908,768564,1297418,41,0.116,
case_026,5,mask_band_32,ok,47582,225192,754046,34,0.109,
case_029,5,band_6,ok,14705,344148,774312,10,0.164,
case_029,5,mask_stage_16,ok,19495,430500,860664,105,0.206,
case_029,5,mask_band_32,ok,19495,430500,860664,105,0.203,
case_032,5,band_6,ok,21239,682600,975688,17,0.198,
case_032,5,band_12,ok,14802,411812,704900,11,0.165,
case_032,5,band_24,ok,10654,86088,379176,6,0.176,
case_032,5,mask_stage_16,ok,16036,305576,598664,83,0.193,
case_032,5,mask_band_32,ok,14735,268624,561712,65,0.182,
case_039,5,band_6,ok,432927,20942848,25432064,10,8.41,
case_039,5,mask_stage_16,ok,562938,28483584,32972800,70,1.467,
case_039,5,mask_band_32,ok,562938,28483584,32972800,70,1.466,
case_040,5,band_6,ok,119801,2814670,3725908,183,0.898,
case_040,5,band_12,ok,150321,2060412,2971650,85,0.703,
case_040,5,band_24,ok,164403,993606,1904844,35,0.597,
case_040,5,mask_stage_16,ok,152212,2434244,3345482,110,0.709,
case_040,5,mask_band_32,ok,108955,1058440,1969678,63,0.717,
case_043,5,band_6,ok,277721,9372278,10803400,167,3.728,
case_043,5,band_12,ok,258285,6644382,8075504,82,3.201,
case_043,5,band_24,ok,253147,4260082,5691204,35,3.188,
case_043,5,mask_stage_16,ok,207866,7002472,8433594,244,3.571,
case_043,5,mask_band_32,ok,209011,5139184,6570306,137,3.44,
case_046,5,band_6,ok,132620,5482880,6544352,105,0.24,
case_046,5,band_12,ok,120642,4598144,5659616,55,0.174,
