case,cores,returncode,makespan_cycles,cache_hit_rate,process_wall_s
case_022,3,0,18907,0.05842871392584828,9.318706000005477
case_022,4,0,14654,0.060801182245210326,7.216719400006696
case_023,1,0,106169,0.10220213666341962,5.174136699992232
case_023,2,0,52696,0.2107015703766073,7.52641869999934
case_023,3,0,36179,0.21232663490113957,11.497140499996021
case_023,4,0,30309,0.20562382583430733,7.380036900009145
case_024,1,0,2555343,0.0,32.572762700001476
case_024,2,0,1336312,0.0,59.85143949999474
case_024,3,0,953369,0.0005060319002509918,64.92045429999416
case_024,4,0,743623,0.0010110354519581228,64.9940934000042
case_025,1,0,4863026,0.0,186.85147500000312
case_025,2,0,2431840,0.0,184.20374040000024
case_025,3,0,1622164,0.0,186.33196599999792
case_025,4,0,1217444,0.0,189.60309699999925
case_026,1,0,95268,0.11803982247917323,3.810492200005683
case_026,2,0,54379,0.14955956971788106,5.100513299999875
case_026,3,0,39633,0.24115903240495506,4.591177099995548
case_026,4,0,39669,0.28586898890215584,7.825162799999816
case_027,1,0,2359515,0.2689393939393939,9.137346200004686
case_027,2,0,1120962,0.08904109589041095,15.053357500000857
case_027,3,0,778952,0.3874488403819918,23.982592200001818
case_027,4,0,559196,0.0,15.504407900007209
case_028,1,0,41093839,0.01424958141854583,190.05299620000005
case_028,2,0,20446265,0.6543362620054971,183.1164992999984
case_028,3,0,13548624,0.10661050406453518,195.75216550000187
case_028,4,0,10143313,0.2280089408528198,194.68271869998716
case_029,1,0,37555,0.0,1.791082899988396
case_029,2,0,19009,0.23854371193716928,6.610092999995686
case_029,3,0,12743,0.0,2.6632513999938965
case_029,4,0,11028,0.0,4.789138799998909
case_030,1,0,2807891,0.259867995341012,50.73046609999437
case_030,2,0,1396787,0.3982404913524197,152.38295680000738
case_030,3,0,933208,0.4820039400886049,163.55661130000954
case_030,4,0,697872,0.5003713366905146,174.61042610000004
case_031,1,0,1405969,0.2539619694882336,72.02125459999661
case_031,2,0,710197,0.3977272931908578,121.70787080000446
case_031,3,0,483293,0.53975922556476,106.93233279998822
case_031,4,0,364695,0.5073438462490805,130.2733680000092
case_032,1,0,37094,0.0,3.7572552999918116
case_032,2,0,19129,0.22870366327555341,6.451936600002227
case_032,3,0,13399,0.04239904499238464,10.025431700007175
case_032,4,0,12791,0.11426028426000612,13.001124900009017
case_033,1,0,1774080,0.09627692445862406,11.029844899996533
case_033,2,0,894719,0.2803465833041587,52.29153459999361
case_033,3,0,592230,0.3027008415919377,58.30876729999727
case_033,4,0,447805,0.34616889744317486,54.781391299999086
case_034,1,0,842733,0.309046599146855,22.787453800003277
case_034,2,0,417299,0.4108998523328656,44.444624199997634
case_034,3,0,281348,0.5036099016930243,56.40957810000691
case_034,4,0,212928,0.5757127065991514,43.64801699999953
case_035,1,0,157542,0.13161602698365205,15.452827100001741
case_035,2,0,95406,0.0,18.969102999995812
case_035,3,0,91278,0.21722764797522423,39.12422250000236
case_035,4,0,70276,0.3428840928608636,56.6648727000138
case_036,1,0,931510,0.0,4.17041189999145
case_036,2,0,466068,0.0,16.374798299992108
case_036,3,0,311345,0.0,24.19271590000426
case_036,4,0,233584,0.0,22.952968199999304
case_037,1,0,210001,0.0,1.2593592000048375
case_037,2,0,105374,0.0,3.5952950000064448
case_037,3,0,73423,0.6076555023923444,7.100004699997953
case_037,4,0,53320,0.0,5.438612300000386
case_038,1,0,1363312,0.1736168151396097,41.894342699990375
case_038,2,0,683021,0.2422994707452746,77.07249330000195
case_038,3,0,453892,0.36430637841703567,82.50655269999697
case_038,4,0,339347,0.3382142013326962,96.24005849999958
case_039,1,0,1435262,0.0,28.094403699986287
case_039,2,0,705615,0.3701716738197425,60.89834200000041
case_039,3,0,473625,0.18445448062752556,82.42544249999628
case_039,4,0,361849,0.22564734895191121,79.48124049999751
case_040,1,0,247681,0.0,13.942310200000065
case_040,2,0,137163,0.020081614720436073,24.234375
case_040,3,0,110105,0.0,23.777837100002216
case_040,4,0,106718,0.18789079926511565,33.16532410000218
case_041,1,0,6001575,0.10163681549404405,115.97110059999977
case_041,2,0,2987473,0.19188530117887687,183.7208677000017
case_041,3,0,1993622,0.22694924599679647,182.11387909999758
case_041,4,0,1497441,0.26674362222306197,194.82895179999468
case_042,1,0,1675633,0.3186917583766532,35.669377400001395
case_042,2,0,845602,0.39215025963021705,53.92459389999567
case_042,3,0,567180,0.3748580052133352,60.09541650000028
case_042,4,0,423065,0.42703203061036943,61.585990599996876
case_043,1,0,656758,0.08806457695267313,67.43405360000907
case_043,2,0,347584,0.27564879564879563,111.05624059999536
case_043,3,0,261640,0.4458893005847438,111.46405350000714
case_043,4,0,217083,0.4788989049341686,142.55344719999994
case_044,1,0,74753,0.0,7.847222199998214
case_044,2,0,41678,0.27957855177504864,9.412391400008346
case_044,3,0,41984,0.48501531098877193,13.825542299993685
case_044,4,0,41678,0.27957855177504864,15.635942799999611
case_045,1,0,125614,0.0,2.7051229999924544
case_045,2,0,63059,0.0,5.7842260000034
case_045,3,0,42601,0.0,7.908384599999408
case_045,4,0,31878,0.0,7.540278599990415
case_046,1,0,210263,0.0,4.97470940000494
case_046,2,0,105918,0.0,6.145417100007762
case_046,3,0,79904,0.64149294859588,6.334191699992516
case_046,4,0,77771,0.015338533121303144,6.725966800004244
case_047,1,0,289969,0.0,165.28046480000194
case_047,2,0,175437,0.11782341517916523,165.95006290001038
case_047,3,0,126621,0.38612803813042906,151.6451640000014
case_047,4,0,101709,0.330168368087474,149.049752299994
case_048,1,0,191380,0.0,5.9314744000002975
case_048,2,0,130798,0.19007383353799834,11.050236099996255
case_048,3,0,94653,0.11325331011382571,11.450949000005494
case_048,4,0,94366,0.19558358893936947,12.69286490000377
case_049,1,0,175821,2.529308360628786e-05,11.185495400000946
case_049,2,0,117482,0.050613386685196056,38.708115200002794
case_049,3,0,100305,0.11889298687143707,43.138347600004636
case_049,4,0,85826,0.17294080766267317,48.849749899993185
case_050,1,0,141257,0.1613668699442453,37.688423200001125
case_050,2,0,74691,0.24297673481575283,42.74542890000157
case_050,3,0,56653,0.2548651978603078,49.33285029999388
case_050,4,0,43771,0.34423041107451774,35.352737799999886
case_051,1,0,607628,0.0,3.0247441999963485
case_051,2,0,318295,0.0,8.331024300001445
case_051,3,0,227413,0.00011684260792700894,8.039783200001693
case_051,4,0,178135,0.00023362943324546835,8.08787439999287
case_052,1,0,163464,0.04038117622006163,4.136661599986837
case_052,2,0,84226,0.1590160077049777,7.065370800002711
case_052,3,0,60218,0.2330042480547414,7.696199600002728
case_052,4,0,44972,0.1988269960366399,8.826617500002612
case_053,1,0,1287503,0.004386666057671813,107.29537689998688
case_053,2,0,700858,0.14403923050281792,140.9297469000012
case_053,3,0,486416,0.20916689165025817,141.0090024999954
case_053,4,0,400583,0.19119907733023678,137.68877419999626
case_054,1,0,784507,1.2031856654310875e-05,191.004039499996
case_054,2,0,419294,0.040343581629511883,188.8239232999913
case_054,3,0,295132,0.22216597454689144,187.10297849999915
case_054,4,0,230893,0.2213748611942524,181.7861552999966
case_055,1,0,110071,0.11730659604122969,2.47723039999255
case_055,2,0,59583,0.24190794710207897,9.468361999999615
case_055,3,0,43284,0.15607145362042826,7.648483400000259
case_055,4,0,31297,0.15607019058280844,8.374418399995193
case_056,1,0,252735,0.13780569662736356,58.94617149999249
case_056,2,0,153129,0.047349563804515,89.36210019999999
case_056,3,0,101321,0.1576514538322645,93.38352820000728
case_056,4,0,101498,0.16286245677979855,98.36973119998584
case_057,1,0,59545,0.2166109473509949,3.227481000008993
case_057,2,0,30139,0.045676039299483315,6.5464693999965675
case_057,3,0,22023,0.04567913797587147,5.552026800010935
case_057,4,0,16208,0.04528284968111459,6.5949365999986185
case_058,1,0,4539717,0.0,114.88131460000295
case_058,2,0,2260642,0.18406091370558375,182.9406342000002
case_058,3,0,1526146,0.08068145290903246,186.4084950000106
case_058,4,0,1142629,0.2689844464775846,187.549070699999
case_059,1,0,815938,0.6100443131462334,10.770300500007579
case_059,2,0,369318,0.0,17.879271800004062
case_059,3,0,259680,0.7048543689320388,25.15105549999862
case_059,4,0,185216,0.0,18.636000099999364
case_060,1,0,887801,0.4231432279268349,22.462719100003596
case_060,2,0,440889,0.40193457155419293,55.101629500000854
case_060,3,0,307927,0.3923975928034609,61.20496880001156
case_060,4,0,228949,0.5140795399243071,51.41430560000299
case_061,1,0,77191,0.0,1.4463263000070583
case_061,2,0,39272,0.05973079661802017,5.052718899998581
case_061,3,0,28345,0.06977306718723916,5.634979899987229
case_061,4,0,27166,0.10261214956354207,5.71375129999069
case_062,1,0,2854809,0.0,180.57823729999654
case_062,2,0,1428424,0.0,184.60810060000222
case_062,3,0,955129,0.0,199.13510659999156
case_062,4,0,717090,0.0,182.73630360000243
case_063,1,0,1070397,0.0,43.65646710000874
case_063,2,0,536188,0.0,83.49724100000458
case_063,3,0,350979,0.005816002819880155,75.96676470000239
case_063,4,0,263646,0.005099439061703213,79.73712639999576
case_064,1,0,16691,0.0,2.137305299998843
case_064,2,0,13625,0.14437966842776462,5.659886099994765
case_064,3,0,10657,0.2423348598928821,4.7309485000005225
case_064,4,0,10463,0.2985340682537821,6.638901099999202
case_065,1,0,47023,0.0,1.9698509000008926
