case,cores,stage1_cycles,final_cycles,branch_called,feedback_calls,status,reused_checkpoint
case_036,1,931510,931510,False,0,ok,True
case_036,2,466068,466068,False,0,ok,True
case_036,3,311345,311345,False,0,ok,True
case_036,4,233584,233584,False,0,ok,True
case_037,1,210001,210001,False,0,ok,True
case_037,2,105374,105374,False,0,ok,True
case_037,3,73423,73423,False,0,ok,True
case_037,4,53320,53320,False,0,ok,True
case_038,1,1363312,1363312,False,0,ok,True
case_038,2,683021,683021,False,0,ok,True
case_038,3,453892,453892,False,2,ok,True
case_038,4,339347,339270,False,3,ok,True
case_039,1,1435262,1435262,False,0,ok,True
case_039,2,705615,705615,False,0,ok,True
case_039,3,473625,473625,False,0,ok,True
case_039,4,361849,361849,False,0,ok,True
case_040,1,247681,247681,False,0,ok,True
case_040,2,137163,137163,False,0,ok,True
case_040,3,110105,110105,False,0,ok,True
case_040,4,106718,106718,True,0,ok,True
case_041,1,6001575,6001575,False,0,ok,True
case_041,2,2987473,2987473,False,0,ok,True
case_041,3,1993622,1993622,False,0,ok,True
case_041,4,1497441,1497441,False,0,ok,True
case_042,1,1675633,1675633,False,0,ok,True
case_042,2,845602,845602,False,0,ok,True
case_042,3,567180,567180,False,0,ok,True
case_042,4,423065,423065,False,0,ok,True
case_043,1,656758,656758,False,0,ok,True
case_043,2,347584,347584,False,0,ok,True
case_043,3,261640,261640,False,0,ok,True
case_043,4,217083,217083,False,1,ok,True
case_044,1,74753,74753,False,0,ok,True
case_044,2,41678,41678,False,0,ok,True
case_044,3,41984,41984,False,0,ok,True
case_044,4,41678,41678,True,0,ok,True
case_045,1,125614,125614,False,0,ok,True
case_045,2,63059,63059,False,0,ok,True
case_045,3,42601,42601,False,0,ok,True
case_045,4,31878,31878,False,0,ok,True
case_046,1,210263,210263,False,0,ok,True
case_046,2,105918,105918,False,0,ok,True
case_046,3,79904,79904,False,0,ok,True
case_046,4,77771,77771,False,0,ok,True
case_047,1,289969,289969,False,0,ok,True
case_047,2,175437,175437,False,0,ok,True
case_047,3,126621,126621,False,0,ok,True
case_047,4,101709,101709,False,0,ok,True
case_048,1,191380,191380,False,0,ok,True
case_048,2,130798,130798,False,0,ok,True
case_048,3,94653,94653,False,0,ok,True
case_048,4,94366,94366,True,0,ok,True
case_049,1,175821,175821,False,0,ok,True
case_049,2,117482,117482,False,0,ok,True
case_049,3,100305,100305,True,0,ok,True
case_049,4,85826,85826,True,0,ok,True
case_050,1,141257,141257,False,0,ok,True
case_050,2,74691,74691,False,0,ok,True
case_050,3,56653,56653,False,0,ok,True
case_050,4,43771,43771,False,0,ok,True
case_051,1,607628,607628,False,0,ok,True
case_051,2,318295,318295,False,0,ok,True
case_051,3,227413,227413,False,0,ok,True
case_051,4,178135,178135,False,0,ok,True
case_052,1,163464,163464,False,0,ok,True
case_052,2,84226,84226,False,0,ok,True
case_052,3,60218,60218,False,2,ok,True
case_052,4,44972,44972,False,0,ok,True
case_053,1,1287503,1287503,False,0,ok,True
case_053,2,700858,700858,False,0,ok,True
case_053,3,486416,486416,False,0,ok,True
case_053,4,400583,400583,False,0,ok,True
case_054,1,784507,784507,False,0,ok,True
case_054,2,419294,419294,False,0,ok,True
case_054,3,295132,295132,False,0,ok,True
case_054,4,230893,230893,False,0,ok,True
case_055,1,110071,110071,False,0,ok,True
case_055,2,59583,59583,False,0,ok,True
case_055,3,43284,43284,False,0,ok,True
case_055,4,31297,31297,False,0,ok,True
case_056,1,252735,252735,False,0,ok,True
case_056,2,153129,153129,False,0,ok,True
case_056,3,101321,101321,False,0,ok,True
case_056,4,101498,101498,True,0,ok,True
case_057,1,59545,59545,False,0,ok,True
case_057,2,30139,30139,False,0,ok,True
case_057,3,22023,22023,False,0,ok,True
case_057,4,16208,16208,False,0,ok,True
case_058,1,4539717,4539717,False,0,ok,True
case_058,2,2260642,2260642,False,0,ok,True
case_058,3,1526146,1526146,False,0,ok,True
case_058,4,1142629,1142629,False,0,ok,True
case_059,1,815938,815938,False,0,ok,True
case_059,2,369318,369318,False,0,ok,True
case_059,3,259680,259680,False,0,ok,True
case_059,4,185216,185216,False,0,ok,True
case_060,1,887801,887801,False,0,ok,True
case_060,2,440889,440889,False,0,ok,True
case_060,3,307927,307927,False,0,ok,True
case_060,4,228949,228949,False,0,ok,True
case_061,1,77191,77191,False,0,ok,True
case_061,2,39272,39272,False,0,ok,True
case_061,3,28345,28345,False,0,ok,True
case_061,4,27166,22102,True,0,ok,True
case_062,1,2854809,2854809,False,0,ok,True
case_062,2,1428424,1428424,False,0,ok,True
case_062,3,955129,955129,False,0,ok,True
case_062,4,717090,717090,False,0,ok,True
case_063,1,1070397,1070397,False,0,ok,True
case_063,2,536188,536188,False,0,ok,True
case_063,3,350979,350979,False,0,ok,True
case_063,4,263646,263646,False,0,ok,True
case_064,1,16691,16691,False,0,ok,True
case_064,2,13625,13625,True,0,ok,True
case_064,3,10657,10657,True,0,ok,True
case_064,4,10463,10463,True,0,ok,True
case_065,1,47023,47023,False,0,ok,True
case_065,2,25554,25554,False,0,ok,True
case_065,3,17814,17814,False,0,ok,True
case_065,4,14387,14387,False,0,ok,True
case_066,1,335294,335294,False,0,ok,True
case_066,2,185574,185574,False,0,ok,True
case_066,3,136969,136969,False,2,ok,True
case_066,4,111221,111221,False,2,ok,True
case_067,1,60825415,60825415,False,0,ok,True
case_067,2,30464020,30464020,False,0,ok,True
case_067,3,20198592,20198592,False,0,ok,True
case_067,4,15126245,15126245,False,0,ok,True
case_068,1,340538,340538,False,0,ok,True
case_068,2,185824,185824,False,0,ok,True
case_068,3,134625,134625,False,0,ok,True
case_068,4,112483,112483,False,1,ok,True
case_069,1,21985,21985,False,0,ok,True
case_069,2,13519,13519,False,0,ok,True
case_069,3,10169,10169,False,2,ok,True
case_069,4,9200,9200,True,2,ok,True
case_070,1,117300,117300,False,0,ok,True
case_070,2,58257,58257,False,0,ok,True
case_070,3,45647,45647,False,0,ok,True
case_070,4,36335,36335,False,0,ok,True
case_071,1,16560,16560,False,0,ok,True
case_071,2,10120,10120,False,0,ok,True
case_071,3,8517,8517,True,1,ok,True
case_071,4,7944,7944,True,0,ok,True
case_072,1,23883003,23883003,False,0,ok,True
case_072,2,11819724,11819724,False,0,ok,True
case_072,3,7911642,7911642,False,1,ok,True
case_072,4,5950082,5950082,False,0,ok,True
case_073,1,8209463,8209463,False,0,ok,True
case_073,2,4145668,4145668,False,0,ok,True
case_073,3,2794261,2794261,False,0,ok,True
case_073,4,2116842,2116842,False,0,ok,True
case_074,1,1678120,1678120,False,0,ok,True
case_074,2,818777,818777,False,0,ok,True
case_074,3,546634,546634,False,0,ok,True
case_074,4,410399,410399,False,0,ok,True
case_075,1,1307188,1307188,False,0,ok,True
case_075,2,733447,733447,False,0,ok,True
case_075,3,546687,546687,False,0,ok,True
case_075,4,397884,397884,False,0,ok,True
case_076,1,6183098,6183098,False,0,ok,True
case_076,2,3067211,3067211,False,0,ok,True
case_076,3,2057661,2057661,False,0,ok,True
case_076,4,1543754,1543754,False,0,ok,True
case_077,1,490809,490809,False,0,ok,True
case_077,2,250631,250631,False,0,ok,True
case_077,3,178517,178517,False,0,ok,True
case_077,4,144734,144734,False,0,ok,True
case_078,1,2065085,2065085,False,0,ok,True
case_078,2,1024634,1024634,False,0,ok,True
case_078,3,759650,759650,False,0,ok,True
case_078,4,520320,520320,False,0,ok,True
case_079,1,31052251,31052251,False,0,ok,True
case_079,2,15390110,15390110,False,0,ok,True
case_079,3,10173788,10173788,False,0,ok,True
case_079,4,7619754,7619754,False,0,ok,True
case_080,1,291826,291826,False,0,ok,True
case_080,2,145674,145674,False,0,ok,True
case_080,3,100098,100098,False,0,ok,True
case_080,4,78988,78988,False,0,ok,True
case_081,1,151795,151795,False,0,ok,True
case_081,2,76860,76860,False,0,ok,True
case_081,3,51943,51943,False,0,ok,True
case_081,4,39588,39588,False,0,ok,True
case_082,1,667395,667395,False,0,ok,True
case_082,2,363831,363831,False,0,ok,True
case_082,3,243315,243315,False,1,ok,True
case_082,4,200364,200364,False,1,ok,True
case_083,1,835352,835352,False,0,ok,True
case_083,2,412089,412089,False,0,ok,True
case_083,3,284243,284243,False,0,ok,True
case_083,4,210963,210963,False,0,ok,True
case_084,1,1371156,1371156,False,0,ok,True
case_084,2,686924,686924,False,0,ok,True
case_084,3,458172,458172,False,0,ok,True
case_084,4,384788,384788,False,0,ok,True
case_085,1,3184392,3184392,False,0,ok,True
case_085,2,1660634,1660634,False,0,ok,True
case_085,3,1126373,1126373,False,0,ok,True
case_085,4,835476,835476,False,0,ok,True
case_086,1,104652,104652,False,0,ok,True
case_086,2,60966,60966,False,0,ok,True
case_086,3,46467,46467,False,0,ok,True
case_086,4,34728,34728,False,2,ok,True
case_087,1,3967587,3967587,False,0,ok,True
case_087,2,1983266,1983266,False,0,ok,True
case_087,3,1356517,1356517,False,0,ok,True
case_087,4,1021202,1021202,False,0,ok,True
case_088,1,223964,223964,False,0,ok,True
case_088,2,135313,135313,False,0,ok,True
case_088,3,95879,95879,False,0,ok,True
case_088,4,81446,81446,True,1,ok,True
case_089,1,595298,595298,False,0,ok,True
case_089,2,295856,295856,False,0,ok,True
case_089,3,205090,205090,False,0,ok,True
case_089,4,148856,148856,False,0,ok,True
case_090,1,842323,842323,False,0,ok,True
case_090,2,451762,451762,False,0,ok,True
case_090,3,318063,318063,False,2,ok,True
case_090,4,246034,246034,False,0,ok,True
case_091,1,9163162,9163162,False,0,ok,True
case_091,2,4568939,4568939,False,0,ok,True
case_091,3,3047058,3047058,False,0,ok,True
case_091,4,2296610,2296610,False,0,ok,True
case_092,1,4007801,4007801,False,0,ok,True
case_092,2,2010779,2010779,False,0,ok,True
case_092,3,1348359,1348359,False,0,ok,True
case_092,4,976594,976594,False,0,ok,True
case_093,1,74205,74205,False,0,ok,True
case_093,2,37827,37827,False,0,ok,True
case_093,3,25103,25103,False,0,ok,True
case_093,4,19779,19779,False,0,ok,True
case_094,1,94739,94739,False,0,ok,True
case_094,2,45604,45604,False,0,ok,True
case_094,3,34843,34843,False,1,ok,True
case_094,4,29056,29056,False,1,ok,True
case_095,1,1144413,1144413,False,0,ok,True
case_095,2,573788,573788,False,0,ok,True
case_095,3,474501,474501,False,0,ok,True
case_095,4,468207,468207,False,0,ok,True
case_096,1,76345,76345,False,0,ok,True
case_096,2,45512,45512,False,0,ok,True
case_096,3,33645,33645,False,0,ok,True
case_096,4,26984,26984,False,0,ok,True
case_097,1,11491509,11491509,False,0,ok,False
case_097,2,5562335,5562335,False,0,ok,False
case_097,3,3633841,3633841,False,0,ok,False
case_097,4,2610557,2610557,False,0,ok,False
case_098,1,177430,177430,False,0,ok,False
case_098,2,89756,89756,False,0,ok,False
case_098,3,79320,79320,True,0,ok,False
case_098,4,58495,58495,False,0,ok,False
case_099,1,1618902,1618902,False,0,ok,False
case_099,2,807009,807009,False,0,ok,False
case_099,3,537450,537450,False,0,ok,False
case_099,4,403560,403560,False,0,ok,False
case_100,1,144355,144355,False,0,ok,False
case_100,2,80069,80069,False,0,ok,False
case_100,3,57811,57811,False,0,ok,False
case_100,4,45587,45587,False,0,ok,False
