case,scene,cores,speedup,makespan_cycles,added_copy_bytes,spill_added_copy_bytes,other_added_copy_bytes
case_058,A,5,4.517945022934478,1004819,32104448,13721600,18382848
case_059,A,2,2.2459587672412393,369318,360448,0,360448
case_059,A,3,3.1157777301975456,266217,2998272,835584,2162688
case_059,A,4,4.478408992743607,185216,1081344,0,1081344
case_059,A,5,5.501140719714555,150782,4325376,0,4325376
case_060,A,2,1.8933083672569482,469437,2768912,1570832,1198080
case_060,A,3,2.656098523109658,334622,3439756,1033228,2406528
case_060,A,4,3.8746942885915696,229383,3699968,146432,3553536
case_060,A,5,4.849562399057139,183272,4290944,81920,4209024
case_061,A,2,1.9641975622789385,39299,34560,0,34560
case_061,A,3,2.7171318948220633,28409,43008,0,43008
case_061,A,4,2.8414562320547745,27166,62208,0,62208
case_061,A,5,3.6342278719397365,21240,147464,0,147464
case_062,A,2,1.9930500383277645,1432382,453120,0,453120
case_062,A,3,2.9800827380598207,957963,453120,0,453120
case_062,A,4,3.96434626958525,720121,453120,0,453120
case_062,A,5,4.908931930654763,581554,453120,0,453120
case_063,A,2,1.9876385028048733,538527,192000,0,192000
case_063,A,3,2.964177219746837,361111,192000,0,192000
case_063,A,4,3.959667067418848,270325,6948864,0,6948864
case_063,A,5,4.8543861479086265,220501,6948864,0,6948864
case_064,A,2,1.0868156234009894,17589,21128,0,21128
case_064,A,3,1.4148471615720524,13511,106920,0,106920
case_064,A,4,1.3890422903647726,13762,66058,0,66058
case_064,A,5,1.7688535208661054,10807,104956,0,104956
case_065,A,2,1.970736779560309,26928,13968,0,13968
case_065,A,3,2.921442334159097,18165,27792,0,27792
case_065,A,4,3.659357330023445,14502,41616,0,41616
case_065,A,5,4.365580783152352,12156,55584,0,55584
case_066,A,2,1.8487702153732088,194221,1503212,0,1503212
case_066,A,3,2.450270569047993,146543,2060548,0,2060548
case_066,A,4,2.885950811766597,124420,2080348,0,2080348
case_066,A,5,3.3277726805126924,107901,2170250,0,2170250
case_067,A,2,1.9549136661514492,32653531,286394624,0,286394624
case_067,A,3,2.8601877365172164,22318407,286373248,0,286373248
case_067,A,4,3.766388212233327,16948554,286394624,0,286394624
case_067,A,5,4.405194630610341,14490809,276070656,0,276070656
case_068,A,2,1.7258973980104957,209801,1998586,0,1998586
case_068,A,3,2.18425576836073,165775,2629054,0,2629054
case_068,A,4,2.7873187178618717,129908,2916530,0,2916530
case_068,A,5,2.6981140511016894,134203,3108894,0,3108894
case_069,A,2,1.6674845812056502,15079,166470,0,166470
case_069,A,3,2.2280903854674348,11285,218794,0,218794
case_069,A,4,2.220024721878863,11326,271118,0,271118
case_069,A,5,2.75309317858316,9133,267954,0,267954
case_070,A,2,2.0042716787697565,58525,129536,0,129536
case_070,A,3,2.568931911259061,45661,259072,0,259072
case_070,A,4,3.228203434610304,36336,360960,0,360960
case_070,A,5,4.240167727009832,27664,462848,0,462848
case_071,A,2,1.6210264758803872,11671,117990,0,117990
case_071,A,3,1.8720562042351079,10106,193450,0,193450
case_071,A,4,2.342040108937856,8078,185678,0,185678
case_071,A,5,2.4088362617774384,7854,233394,0,233394
case_072,A,2,2.0195727057745,11833111,113945376,102996424,10948952
case_072,A,3,3.007669751507401,7945629,114002720,94198216,19804504
case_072,A,4,3.9867228395253265,5994354,122293024,93632968,28660056
case_072,A,5,4.9141039376037146,4863110,121488048,81879040,39609008
case_073,A,2,1.6857713910872192,5980423,141121024,137399424,3721600
case_073,A,3,2.232806013961203,4515227,140671616,133228416,7443200
case_073,A,4,2.5825246100773427,3903787,140222208,129057408,11164800
case_073,A,5,2.8661216796516857,3517515,139772800,124886400,14886400
case_074,A,2,2.0452505136715664,822510,7077888,4792320,2285568
case_074,A,3,3.0375523190096314,553814,7614464,3043328,4571136
