case,cores,singlecore_cycles,q1_cycles,q2_cycles,q3_cycles,q1_speedup,q2_speedup,q3_speedup,q3_cache_hit_rate,q3_cache_hit_bytes
case_024,1,2555343.0,,2555343.0,2555343.0,,1.0,1.0,0.0,0
case_024,2,2555343.0,2555343.0,2555343.0,2555343.0,1.0,1.0,1.0,0.0,0
case_024,3,2555343.0,2555343.0,2555343.0,2555343.0,1.0,1.0,1.0,0.0,0
case_024,4,2555343.0,2555343.0,2555343.0,2555343.0,1.0,1.0,1.0,0.0,0
case_024,5,2555343.0,2555343.0,2555343.0,2555343.0,1.0,1.0,1.0,0.0,0
case_025,1,4863026.0,,4863026.0,4863026.0,,1.0,1.0,0.0,0
case_025,2,4863026.0,2431840.0,2431840.0,2431840.0,1.9997310678334101,1.9997310678334101,1.0,0.0,0
case_025,3,4863026.0,1622164.0,1622164.0,1622164.0,2.9978633479722148,2.9978633479722148,1.0,0.0,0
case_025,4,4863026.0,1217444.0,1217444.0,1217444.0,3.9944555971362954,3.9944555971362954,1.0,0.0,0
case_025,5,4863026.0,975282.0,975282.0,975282.0,4.986276789687495,4.986276789687495,1.0,0.0,0
case_026,1,99203.0,,99203.0,99203.0,,1.0,1.0,0.0,0
case_026,2,99203.0,58112.0,58112.0,58112.0,1.707100082599119,1.707100082599119,1.0,0.0005887475622171252,288
case_026,3,99203.0,41655.0,41655.0,41655.0,2.3815388308726444,2.3815388308726444,1.0,0.16365409289196817,95664
case_026,4,99203.0,42226.0,42226.0,42208.0,2.3493345332259743,2.3493345332259743,1.000426459438969,0.1844424435895337,121680
case_026,5,99203.0,44114.0,44114.0,43698.0,2.2487872330779344,2.2487872330779344,1.009519886493661,0.16183485924238403,113376
case_027,1,2363952.0,,2363952.0,2359515.0,,1.0,1.0018804711985303,0.2689393939393939,872448
case_027,2,2363952.0,1120962.0,1120962.0,1120962.0,2.10886006840553,2.10886006840553,1.0,0.08904109589041095,319488
case_027,3,2363952.0,837049.0,837049.0,837049.0,2.8241500796249683,2.8241500796249683,1.0,0.43037037037037035,2379776
case_027,4,2363952.0,559196.0,559196.0,559196.0,4.227412213249022,4.227412213249022,1.0,0.0,0
case_027,5,2363952.0,558753.0,558753.0,558753.0,4.230763861670542,4.230763861670542,1.0,0.044444444444444446,327680
case_028,1,43836040.0,,43836040.0,43836040.0,,1.0,1.0,0.0,0
case_028,2,43836040.0,23638628.0,23638628.0,23615145.0,1.8544240384848054,1.8544240384848054,1.0009944042266097,0.0047431470336763695,1319688
case_028,3,43836040.0,16770711.0,16770711.0,16770711.0,2.613845054034978,2.613845054034978,1.0,0.0,0
case_028,4,43836040.0,13608312.0,13608312.0,13585418.0,3.2212694711879033,3.2212694711879033,1.0016851892227387,0.0026682384304864775,743688
case_028,5,43836040.0,11491035.0,11491035.0,11450794.0,3.814803453300769,3.814803453300769,1.0035142541207187,0.010627459809132753,2963736
case_029,1,37555.0,,37555.0,37555.0,,1.0,1.0,0.0,0
case_029,2,37555.0,19740.0,19740.0,19740.0,1.9024822695035462,1.9024822695035462,1.0,0.0,0
case_029,3,37555.0,12743.0,12743.0,12743.0,2.9471082162756024,2.9471082162756024,1.0,0.0,0
case_029,4,37555.0,11028.0,11028.0,11028.0,3.405422560754443,3.405422560754443,1.0,0.0,0
case_029,5,37555.0,9383.0,9383.0,9383.0,4.002451241607162,4.002451241607162,1.0,0.0,0
case_030,1,2808034.0,,2808034.0,2807891.0,,1.0,1.0000509279028282,0.259867995341012,2056192
case_030,2,2808034.0,1401423.0,1401423.0,1401161.0,2.003701951516423,2.003701951516423,1.0001869877908391,0.3936368623148656,3674112
case_030,3,2808034.0,933969.0,933969.0,933287.0,3.0065601749094455,3.0065601749094455,1.00073075056226,0.49374776705966417,5660672
case_030,4,2808034.0,699591.0,699591.0,699285.0,4.0138223619228945,4.0138223619228945,1.0004375898238915,0.480403083495867,5296640
case_030,5,2808034.0,561192.0,561192.0,561199.0,5.0036957048568045,5.0036957048568045,0.9999875267062129,0.5517014990699202,7744512
case_031,1,1414369.0,,1414369.0,1414159.0,,1.0,1.0001484981533193,0.26059362793218216,1479168
case_031,2,1414369.0,735345.0,735345.0,734212.0,1.923408740115184,1.923408740115184,1.0015431510244996,0.3403093881246203,2637312
case_031,3,1414369.0,486363.0,486363.0,485410.0,2.9080522161430866,2.9080522161430866,1.0019632887661976,0.4160439110073509,2996736
case_031,4,1414369.0,398198.0,398198.0,397727.0,3.5519239172471986,3.5519239172471986,1.0011842293834716,0.4606490716436309,4678656
case_031,5,1414369.0,308135.0,308135.0,307852.0,4.590095250458403,4.590095250458403,1.0009192728973664,0.4264361562021145,4435968
case_032,1,41443.0,,41443.0,41443.0,,1.0,1.0,0.0,0
case_032,2,41443.0,21880.0,21880.0,21880.0,1.8941042047531993,1.8941042047531993,1.0,0.0217820949497498,6216
case_032,3,41443.0,15402.0,15402.0,15402.0,2.690754447474354,2.690754447474354,1.0,0.04239904499238464,12360
case_032,4,41443.0,14274.0,14274.0,14274.0,2.9033907804399606,2.9033907804399606,1.0,0.04239904499238464,12360
case_032,5,41443.0,10415.0,10415.0,10391.0,3.9791646663466156,3.9791646663466156,1.0023096910788183,0.028348358237626752,8264
case_033,1,1774196.0,,1774196.0,1774080.0,,1.0,1.000065386002886,0.09627692445862406,720384
case_033,2,1774196.0,897883.0,897883.0,897326.0,1.975976825488399,1.975976825488399,1.000620733156066,0.28072644076658415,2560032
case_033,3,1774196.0,604202.0,604202.0,603886.0,2.9364285454202403,2.9364285454202403,1.000523277572257,0.4194892619930064,4485696
case_033,4,1774196.0,460454.0,460454.0,460140.0,3.853144939559652,3.853144939559652,1.0006824010083888,0.3173536208074558,3307104
case_033,5,1774196.0,376794.0,376794.0,376499.0,4.708663089115007,4.708663089115007,1.000783534617622,0.364232907452884,4074624
case_034,1,842996.0,,842996.0,842733.0,,1.0,1.0003120798639664,0.309046599146855,1038336
case_034,2,842996.0,418129.0,418129.0,417777.0,2.016114644045259,2.016114644045259,1.0008425547600754,0.4113609795240054,1615872
case_034,3,842996.0,282515.0,282515.0,282073.0,2.9838982000955703,2.9838982000955703,1.0015669702523815,0.5217521430081816,2566144
case_034,4,842996.0,213112.0,213112.0,212928.0,3.955647734524569,3.955647734524569,1.000864141869552,0.5757127065991514,3141632
case_034,5,842996.0,178096.0,178096.0,177225.0,4.733379750247058,4.733379750247058,1.0049146565100862,0.571335836393393,3323392
case_035,1,169571.0,,169571.0,169571.0,,1.0,1.0,0.0,0
case_035,2,169571.0,95406.0,95406.0,95406.0,1.7773620107750037,1.7773620107750037,1.0,0.0,0
case_035,3,169571.0,95424.0,95424.0,95424.0,1.77702674379611,1.77702674379611,1.0,0.0,0
case_035,4,169571.0,95442.0,95442.0,95442.0,1.7766916032773832,1.7766916032773832,1.0,0.01147736160164987,4608
case_035,5,169571.0,95460.0,95460.0,95460.0,1.7763565891472868,1.7763565891472868,1.0,0.0,0
