case,cores,q1_speedup,q2_speedup,q1_cycles,q2_cycles,q1_extra_bytes,q2_extra_bytes
case_055,4,3.788535722255874,3.788535722255874,31367,31367,115712,115712
case_055,5,4.437287629289422,4.437287629289422,26781,26781,198656,198656
case_056,2,1.650378244540601,1.4813657296107532,168013,187182,2372334,1022802
case_056,3,2.338655263734966,1.9171097298754813,118566,144637,2182548,1371916
case_056,4,1.8987961542675578,2.2907596348465447,146032,121045,4613390,1936314
case_056,5,3.506252924142989,2.456131803888569,79083,112895,1286732,2504008
case_057,2,1.7707085680403203,1.7707085680403203,33730,33730,288,288
case_057,3,2.3653861386138613,2.3653861386138613,25250,25250,288,288
case_057,4,2.8499308107076393,2.8499308107076393,20957,20957,288,288
case_057,5,3.6114403192647235,3.6114403192647235,16538,16538,27936,27936
case_058,2,1.9987166030618373,1.9594104828089858,2271316,2316879,33431552,31506432
case_058,3,2.9197494775959574,2.9197494775959574,1554831,1554831,30400512,30400512
case_058,4,3.9321284448328697,3.562314173322881,1154519,1274373,42622976,27066368
case_058,5,4.517945022934478,4.517945022934478,1004819,1004819,32104448,32104448
case_059,2,2.2459587672412393,2.2459587672412393,369318,369318,360448,360448
case_059,3,3.1157777301975456,3.1157777301975456,266217,266217,2998272,2998272
case_059,4,4.478408992743607,4.478408992743607,185216,185216,1081344,1081344
case_059,5,5.501140719714555,5.501140719714555,150782,150782,4325376,4325376
case_060,2,1.8933083672569482,1.8933083672569482,469437,469437,2768912,2768912
case_060,3,2.656098523109658,2.656098523109658,334622,334622,3439756,3439756
case_060,4,3.8746942885915696,3.8746942885915696,229383,229383,3699968,3699968
case_060,5,4.849562399057139,4.849562399057139,183272,183272,4290944,4290944
case_061,2,1.9641975622789385,1.9641975622789385,39299,39299,34560,34560
case_061,3,2.7171318948220633,2.7171318948220633,28409,28409,43008,43008
case_061,4,2.8414562320547745,2.8414562320547745,27166,27166,62208,62208
case_061,5,3.6342278719397365,3.684710487374099,21240,20949,147464,157028
case_062,2,1.9930500383277645,1.7566768956611793,1432382,1625119,453120,16422912
case_062,3,2.9800827380598207,2.5352710434914663,957963,1126037,453120,15585792
case_062,4,3.96434626958525,3.2245996371941508,720121,885322,453120,14976000
case_062,5,4.908931930654763,5.028241054680276,581554,567755,453120,15037440
case_063,2,1.9876385028048733,1.828100983051079,538527,585524,192000,5064192
case_063,3,2.964177219746837,3.0493990353798512,361111,351019,192000,4792320
case_063,4,3.959667067418848,4.056408643388233,270325,263878,6948864,5203968
case_063,5,4.8543861479086265,2.8671220217766886,220501,373335,6948864,9785856
case_064,2,1.0868156234009894,1.38793291221956,17589,13773,21128,40166
case_064,3,1.4148471615720524,1.7897200636644508,13511,10681,106920,65868
case_064,4,1.3890422903647726,1.8266602962255136,13762,10465,66058,83824
case_064,5,1.7688535208661054,1.85736494364555,10807,10292,104956,83728
case_065,2,1.970736779560309,1.970736779560309,26928,26928,13968,13968
case_065,3,2.921442334159097,2.921442334159097,18165,18165,27792,27792
case_065,4,3.659357330023445,3.659357330023445,14502,14502,41616,41616
case_065,5,4.365580783152352,4.365580783152352,12156,12156,55584,55584
case_066,2,1.8487702153732088,1.918764962380301,194221,187136,1503212,962412
case_066,3,2.450270569047993,2.585097192224622,146543,138900,2060548,1875416
case_066,4,2.885950811766597,3.2039510667344806,124420,112071,2080348,2276914
case_066,5,3.3277726805126924,3.7835075444659867,107901,94904,2170250,2420166
case_067,2,1.9549136661514492,1.9815408136385741,32653531,32214746,286394624,183980416
case_067,3,2.8601877365172164,2.7586713951631703,22318407,23139702,286373248,179768064
case_067,4,3.766388212233327,3.5350617736138004,16948554,18057629,286394624,177194112
case_067,5,4.405194630610341,4.164231833405766,14490809,15329318,276070656,175668736
case_068,2,1.7258973980104957,1.8856855689162235,209801,192023,1998586,1290782
case_068,3,2.18425576836073,2.682681978144101,165775,134975,2629054,2190516
case_068,4,2.7873187178618717,2.95358701415229,129908,122595,2916530,3057330
case_068,5,2.6981140511016894,2.923020415412062,134203,123877,3108894,3420288
case_069,2,1.6674845812056502,1.8297191092999563,15079,13742,166470,111846
case_069,3,2.2280903854674348,2.119352663519892,11285,11864,218794,330444
case_069,4,2.220024721878863,2.621351125938282,11326,9592,271118,262578
case_069,5,2.75309317858316,1.7205419460791023,9133,14614,267954,331026
case_070,2,2.0042716787697565,2.0042716787697565,58525,58525,129536,129536
case_070,3,2.568931911259061,2.568931911259061,45661,45661,259072,259072
case_070,4,3.228203434610304,3.228203434610304,36336,36336,360960,360960
case_070,5,4.240167727009832,4.240167727009832,27664,27664,462848,462848
case_071,2,1.6210264758803872,1.6570903039327318,11671,11417,117990,80358
case_071,3,1.8720562042351079,1.7470680579924278,10106,10829,193450,277100
case_071,4,2.342040108937856,2.2221047686163966,8078,8514,185678,211122
case_071,5,2.4088362617774384,1.5890307408029565,7854,11906,233394,219474
case_072,2,2.0195727057745,2.0101255609937616,11833111,11888724,113945376,113611640
case_072,3,3.007669751507401,3.015053676618089,7945629,7926170,114002720,118470700
case_072,4,3.9867228395253265,3.9867228395253265,5994354,5994354,122293024,122293024
case_072,5,4.9141039376037146,4.9141039376037146,4863110,4863110,121488048,121488048
case_073,2,1.6857713910872192,1.8997182162261776,5980423,5306906,141121024,91712384
case_073,3,2.232806013961203,2.318713763003575,4515227,4347939,140671616,93073664
case_073,4,2.5825246100773427,2.7693594526782364,3903787,3640418,140222208,94434944
case_073,5,2.8661216796516857,3.1267904423725907,3517515,3224273,139772800,95796224
case_074,2,2.0452505136715664,2.0452505136715664,822510,822510,7077888,7077888
case_074,3,3.0375523190096314,3.0375523190096314,553814,553814,7614464,7614464
case_074,4,3.9760971712740614,3.9760971712740614,423088,423088,8429568,8429568
case_074,5,4.847364295964177,4.123437997892002,347042,407970,9035776,12185740
case_075,2,1.8431115127916355,1.9519303926851128,782269,738658,2960082,1401990
case_075,3,2.3183861766001717,2.576315131155743,621902,559640,4795646,4018700
case_075,4,3.149822061724592,3.6222989320088335,457743,398037,4319402,3455122
case_075,5,3.641501952325869,3.902064687590494,395938,369499,6346198,6786072
case_076,2,2.015046600970072,2.015046600970072,3069464,3069464,30744576,30744576
case_076,3,3.0001387265965564,3.0001387265965564,2061609,2061609,35117056,35117056
case_076,4,3.9899964842225453,3.9899964842225453,1550155,1550155,35703808,35703808
case_076,5,4.995568280942074,4.995568280942074,1238120,1238120,37194752,37194752
case_077,2,1.9754721119907472,1.9754721119907472,250735,250735,57344,57344
case_077,3,2.771191513883372,2.771191513883372,178739,178739,114688,114688
case_077,4,3.4222781101883455,3.4222781101883455,144734,144734,172032,172032
case_077,5,4.090815239385205,4.090815239385205,121081,121081,172032,172032
case_078,2,1.8218180866071385,2.1749133309337525,1260358,1055740,12535344,2148480
case_078,3,2.7898078724544284,2.967137381793559,823047,773858,17398656,5034240
case_078,4,3.3232931552529656,4.117430926149079,690924,557664,13146912,6445440
case_078,5,4.002131664720339,4.347940442985122,573730,528099,16722816,9331200
case_079,2,2.010311665708304,2.010311665708304,15446486,15446486,31780864,31780864
