case,cores,q1_speedup,q2_speedup,q1_cycles,q2_cycles,q1_extra_bytes,q2_extra_bytes
case_094,4,3.090038750854798,3.090038750854798,30709,30709,318816,318816
case_094,5,3.716882099490795,3.716882099490795,25530,25530,259200,259200
case_095,2,1.9991111238960964,1.9991111238960964,1042890,1042890,0,0
case_095,3,2.9964471273040854,2.9964471273040854,695775,695775,0,0
case_095,4,3.9755254356224565,3.9755254356224565,524422,524422,0,0
case_095,5,4.953886401870491,4.953886401870491,420852,420852,0,0
case_096,2,1.7847164811870695,1.7847164811870695,47175,47175,67392,67392
case_096,3,2.5011585764363375,2.5011585764363375,33662,33662,67392,67392
case_096,4,3.120145271271865,3.120145271271865,26984,26984,78336,78336
case_096,5,3.112187188112224,3.112187188112224,27053,27053,134784,134784
case_097,2,2.045625339780212,2.045625339780212,5617602,5617602,11796480,11796480
case_097,3,3.1393628503966307,3.1393628503966307,3660459,3660459,16031744,16031744
case_097,4,4.37453805005733,4.37453805005733,2626908,2626908,14221312,14221312
case_097,5,5.466035594487687,5.466035594487687,2102348,2102348,21311488,21311488
case_098,2,1.9768037791345425,1.9768037791345425,89756,89756,0,0
case_098,3,2.028884416594246,2.0816810193115423,87452,85234,3007272,901280
case_098,4,2.2999844446748936,2.2740147388657483,77144,78025,3007276,1020112
case_098,5,2.219456362658394,2.5003523012316453,79943,70962,3007280,987336
case_099,2,2.0002649767313456,2.0002649767313456,811392,811392,7303168,7303168
case_099,3,3.008155200886693,2.895410156598435,539533,560542,8011776,7594740
case_099,4,3.989604407003813,3.796133695092857,406807,427540,9322496,7745504
case_099,5,4.81286456062938,4.81286456062938,337221,337221,10698752,10698752
case_100,2,1.6757310816351407,1.6757310816351407,90243,90243,12288,12288
case_100,3,2.6158170590372074,2.6158170590372074,57811,57811,72192,72192
case_100,4,1.9712311803428273,2.603432840959956,76715,58086,2934762,144384
case_100,5,2.603477662047,2.603477662047,58085,58085,211968,211968
