case,cores,singlecore_cycles,q1_makespan_cycles,q1_added_copy_bytes,q1_speedup,q2_makespan_cycles,q2_added_copy_bytes,q2_speedup
case_020,3,532746.0,177950,0,2.993796010115201,177950,0,2.993796010115201
case_020,4,532746.0,133704,0,3.984518039849219,133704,0,3.984518039849219
case_020,5,532746.0,107650,0,4.948871342313051,107650,0,4.948871342313051
case_021,2,6567937.0,3194570,3174400,2.0559690349561914,3194570,3174400,2.0559690349561914
case_021,3,6567937.0,2144024,7766016,3.063369160046716,2155304,8882176,3.047336709809846
case_021,4,6567937.0,1550324,4608000,4.236493145948847,1550324,4608000,4.236493145948847
case_021,5,6567937.0,1250168,11431936,5.253643510312214,1250168,11431936,5.253643510312214
case_022,2,56780.0,28333,6912,2.004023576747962,28333,6912,2.004023576747962
case_022,3,56780.0,19128,13824,2.968423253868674,19128,13824,2.968423253868674
case_022,4,56780.0,14654,13824,3.874709976798144,14654,13824,3.874709976798144
case_022,5,56780.0,11828,20736,4.800473452823808,11828,20736,4.800473452823808
case_023,2,122614.0,61227,84384,2.0026132261910594,61227,84384,2.0026132261910594
case_023,3,122614.0,41662,196896,2.943065623349815,41662,196896,2.943065623349815
case_023,4,122614.0,31519,281280,3.890161489894984,31519,281280,3.890161489894984
case_023,5,122614.0,25191,280992,4.867373268230717,25191,280992,4.867373268230717
case_024,2,2555343.0,1506718,39327048,1.6959663321205427,1583353,39720044,1.6138807960069548
case_024,3,2555343.0,1918543,38931176,1.3319185444371067,955894,1608,2.6732493351773314
case_024,4,2555343.0,1841433,38931274,1.3876926285126856,796719,5644,3.2073328237433776
case_024,5,2555343.0,1839343,38931372,1.3892694293560255,795102,6448,3.2138555807934077
case_025,2,4863026.0,2431840,27648,1.9997310678334101,2431840,27648,1.9997310678334101
case_025,3,4863026.0,1622164,55296,2.9978633479722148,1622164,55296,2.9978633479722148
case_025,4,4863026.0,1217444,82944,3.9944555971362954,1217444,82944,3.9944555971362954
case_025,5,4863026.0,975282,110592,4.986276789687495,975282,110592,4.986276789687495
case_026,2,99203.0,58112,288,1.707100082599119,58112,288,1.707100082599119
case_026,3,99203.0,41655,95664,2.3815388308726444,41655,95664,2.3815388308726444
case_026,4,99203.0,42226,170832,2.3493345332259743,42226,170832,2.3493345332259743
case_026,5,99203.0,44114,211680,2.2487872330779344,44114,211680,2.2487872330779344
case_027,2,2363952.0,1120962,1744896,2.10886006840553,1120962,1744896,2.10886006840553
