returncode,process_wall_s,case,cores,makespan_cycles,initial_cycles,singlecore_cycles,speedup,component_baseline_cycles,baseline_speedup,selected,evaluations,added_copy_bytes
0,4.874661499998183,case_020,2,266580,266580,532746,1.9984469952734638,266580,1.9984469952734638,component_baseline,1,0
0,3.6690873999978066,case_020,3,177950,177950,532746,2.993796010115201,177950,2.993796010115201,component_baseline,1,0
0,3.207982700005232,case_020,4,133704,133704,532746,3.984518039849219,133704,3.984518039849219,component_baseline,1,0
0,2.87378660000104,case_020,5,107650,107650,532746,4.948871342313051,107650,4.948871342313051,component_baseline,1,0
0,4.818637599993963,case_021,2,3194570,3194570,6567937,2.0559690349561914,3194570,2.0559690349561914,component_baseline,2,3174400
0,6.816577799996594,case_021,3,2144024,2144024,6567937,3.063369160046716,2144024,3.063369160046716,component_baseline,2,7766016
0,1.8008732999951462,case_021,4,1550324,1550324,6567937,4.236493145948847,1550324,4.236493145948847,component_baseline,1,4608000
0,4.90681819999736,case_021,5,1250168,1250168,6567937,5.253643510312214,1250168,5.253643510312214,component_baseline,1,11431936
0,0.9613600000011502,case_022,2,28333,28333,56780,2.004023576747962,28333,2.004023576747962,component_baseline,2,6912
0,1.011970300001849,case_022,3,19128,19128,56780,2.968423253868674,19128,2.968423253868674,component_baseline,2,13824
0,0.981932800001232,case_022,4,14654,14654,56780,3.874709976798144,14654,3.874709976798144,component_baseline,2,13824
0,1.0024619000032544,case_022,5,11828,11828,56780,4.800473452823808,11828,4.800473452823808,component_baseline,2,20736
0,1.2673861000002944,case_023,2,61227,61227,122614,2.0026132261910594,61227,2.0026132261910594,component_baseline,4,84384
0,1.1889173000017763,case_023,3,41662,41662,122614,2.943065623349815,41662,2.943065623349815,component_baseline,4,196896
0,1.1708013999959803,case_023,4,31519,31519,122614,3.890161489894984,31519,3.890161489894984,component_baseline,4,281280
0,1.276008599998022,case_023,5,25191,25191,122614,4.867373268230717,25191,4.867373268230717,component_baseline,4,280992
0,3.8530785999973887,case_024,2,2056594,2100694,2555343,1.2425121341402339,2555343,1.0,greedy_schedule,2,38931078
0,4.121922999998787,case_024,3,1918543,1918543,2555343,1.3319185444371067,2555343,1.0,fork_join_w10,2,38931176
0,4.324114399998507,case_024,4,1841433,1841433,2555343,1.3876926285126856,2555343,1.0,fork_join_w13,2,38931274
0,3.705183300000499,case_024,5,2197193,2218793,2555343,1.1630034321063283,2555343,1.0,greedy_schedule,2,19269072
0,152.05723679999937,case_025,2,2431840,2431840,4863026,1.9997310678334101,2431840,1.9997310678334101,component_baseline,2,27648
0,111.16786860000138,case_025,3,1622164,1622164,4863026,2.9978633479722148,1622164,2.9978633479722148,component_baseline,2,55296
0,68.59900850000122,case_025,4,1217444,1217444,4863026,3.9944555971362954,1217444,3.9944555971362954,component_baseline,2,82944
0,63.7876311,case_025,5,975282,975282,4863026,4.986276789687495,975282,4.986276789687495,component_baseline,2,110592
0,0.6822926999957417,case_026,2,58112,58112,99203,1.707100082599119,58112,1.707100082599119,component_baseline,2,288
0,0.515772200000356,case_026,3,41655,41655,99203,2.3815388308726444,41655,2.3815388308726444,component_baseline,2,95664
0,0.5042727999971248,case_026,4,41655,42226,99203,2.3815388308726444,42226,2.3493345332259743,reuse_pack_k3,2,95664
0,0.6307457000002614,case_026,5,41655,44114,99203,2.3815388308726444,44114,2.2487872330779344,reuse_pack_k3,3,95664
0,0.7503759999963222,case_027,2,1120962,1120962,2363952,2.10886006840553,1120962,2.10886006840553,component_baseline,1,1744896
0,1.3859301999982563,case_027,3,837049,837049,2363952,2.8241500796249683,837049,2.8241500796249683,component_baseline,2,3686400
0,0.7533441999985371,case_027,4,559196,559196,2363952,4.227412213249022,559196,4.227412213249022,component_baseline,1,3317760
0,1.9993715999953565,case_027,5,558753,681447,2363952,4.230763861670542,558753,4.230763861670542,component_baseline,3,5529600
0,169.17400199999975,case_028,2,20232039,21935178,43836040,2.1666644671849435,23638628,1.8544240384848054,data_band_w2,3,118305408
0,82.66408590000356,case_028,3,13752644,16770711,43836040,3.1874627162602334,16770711,2.613845054034978,data_band_w2,3,118487808
0,74.73924889999762,case_028,4,10332290,12928802,43836040,4.2426257877005,13608312,3.2212694711879033,data_band_w2,3,119014272
0,63.88746600000013,case_028,5,8377037,10637370,43836040,5.232881268162,11491035,3.814803453300769,data_band_w3,3,95899392
0,0.7860921000028611,case_029,2,19740,19740,37555,1.9024822695035462,19740,1.9024822695035462,component_baseline,2,0
0,0.451628000002529,case_029,3,12743,12743,37555,2.9471082162756024,12743,2.9471082162756024,component_baseline,1,0
0,0.49379709999629995,case_029,4,11028,11028,37555,3.405422560754443,11028,3.405422560754443,component_baseline,1,0
0,0.4759542999963742,case_029,5,9383,9383,37555,4.002451241607162,9383,4.002451241607162,component_baseline,1,0
0,27.336953500001982,case_030,2,1401423,1401423,2808034,2.003701951516423,1401423,2.003701951516423,component_baseline,1,6940672
0,27.32545460000256,case_030,3,933969,933969,2808034,3.0065601749094455,933969,3.0065601749094455,component_baseline,1,9071616
0,25.80133080000087,case_030,4,699591,699591,2808034,4.0138223619228945,699591,4.0138223619228945,component_baseline,1,8632320
0,27.620698799997626,case_030,5,561192,561192,2808034,5.0036957048568045,561192,5.0036957048568045,component_baseline,1,11644416
0,30.338723200002278,case_031,2,728285,735345,1414369,1.9420542782015282,735345,1.923408740115184,valley_w2,5,6281892
0,23.04927260000113,case_031,3,486363,486363,1414369,2.9080522161430866,486363,2.9080522161430866,component_baseline,4,5018112
0,30.089713400004257,case_031,4,390820,398198,1414369,3.618978046159357,398198,3.5519239172471986,greedy_schedule,5,8281048
0,30.44396820000111,case_031,5,303368,308135,1414369,4.66222211966984,308135,4.590095250458403,greedy_schedule,5,8737756
0,0.8153893999988213,case_032,2,21880,21880,41443,1.8941042047531993,21880,1.8941042047531993,component_baseline,3,6216
0,0.4872055999949225,case_032,3,15402,15402,41443,2.690754447474354,15402,2.690754447474354,component_baseline,1,12360
0,0.7483799000037834,case_032,4,14274,14274,41443,2.9033907804399606,14274,2.9033907804399606,component_baseline,2,12360
0,0.6304952999998932,case_032,5,10415,10415,41443,3.9791646663466156,10415,3.9791646663466156,component_baseline,2,12360
0,13.728708900001948,case_033,2,897883,897883,1774196,1.975976825488399,897883,1.975976825488399,component_baseline,4,6229536
0,19.574457300004724,case_033,3,600373,604202,1774196,2.9551562112220235,604202,2.9364285454202403,greedy_coarsen,6,7082596
0,19.395847899999353,case_033,4,453882,460454,1774196,3.908936683983943,460454,3.853144939559652,greedy_schedule,6,8027268
0,19.352634200004104,case_033,5,361866,376794,1774196,4.902908811549026,376794,4.708663089115007,greedy_schedule,6,8115360
0,12.721036700000695,case_034,2,418129,418129,842996,2.016114644045259,418129,2.016114644045259,component_baseline,4,1648128
0,12.98111329999665,case_034,3,282515,282515,842996,2.9838982000955703,282515,2.9838982000955703,component_baseline,4,2638336
0,9.693429100007052,case_034,4,213112,213112,842996,3.955647734524569,213112,3.955647734524569,component_baseline,3,3176960
0,9.839943700004369,case_034,5,178096,178096,842996,4.733379750247058,178096,4.733379750247058,component_baseline,3,3536896
0,4.910510699999577,case_035,2,95406,95406,169571,1.7773620107750037,95406,1.7773620107750037,component_baseline,3,0
0,7.030114699999103,case_035,3,95406,95424,169571,1.7773620107750037,95424,1.77702674379611,reuse_pack_k2,4,0
